categorie,Nombre,Gain_moyen,MAE_V1,MAE_V2,dimension
DE,12,1647.9,2266.0,618.1,Pays
"CH,ES",1,1235.9,1584.7,348.8,Pays
AU,5,646.5,1067.2,420.7,Pays
CH,10,590.2,849.3,259.1,Pays
FR,9,543.0,700.4,157.4,Pays
"CH,DE",3,501.3,626.3,125.0,Pays
NZ,2,496.3,533.7,37.4,Pays
"EU,IT",2,271.9,375.6,103.8,Pays
GB,11,248.2,336.8,88.5,Pays
JP,9,188.3,231.1,42.8,Pays
US,28,166.9,235.3,68.4,Pays
IT,11,139.5,276.1,136.7,Pays
ES,8,127.9,251.0,123.1,Pays
EU,9,57.1,133.8,76.7,Pays
Interest Rate,2,745.8,915.3,169.6,Type
Inflation,36,685.9,915.6,229.6,Type
Retail Sales,6,584.4,688.8,104.4,Type
Consumer Confidence,23,536.6,801.3,264.8,Type
Other,8,373.2,481.2,108.0,Type
GDP,4,285.1,323.8,38.6,Type
PMI,28,104.8,241.5,136.7,Type
Trade,1,91.6,94.2,2.6,Type
Employment,12,88.2,156.1,68.0,Type
2024,60,511.5,702.2,190.7,Année
2025,60,325.8,484.9,159.1,Année
1,49,425.2,598.4,173.2,Nombre_evt
2,34,533.6,743.1,209.5,Nombre_evt
3,14,361.7,472.7,111.0,Nombre_evt
4,7,211.5,315.5,103.9,Nombre_evt
5,7,431.7,778.3,346.6,Nombre_evt
6,9,188.6,262.9,74.3,Nombre_evt
