ts_utc,event_title,country,tranche,surprise_pct,empirical_score,amplification_factor_v2,impact_v87,impact_v872,impact_reel,ecart_pct_v87,ecart_pct_v872,amelioration_pct,amelioration_v1,delta_amelioration
2025-04-23 15:45:00+02:00,S&P Global Manufacturing PMI,US,0-5%,3.26,71.84,1.0,17.45,17.45,52.3,66.6,66.6,0.0,0.0,0.0
2025-07-24 10:30:00+02:00,S&P Global Manufacturing PMI,GB,0-5%,0.42,55.0,1.0,12.1,12.1,9.8,23.5,23.5,0.0,0.0,0.0
2024-03-01 11:00:00+01:00,Inflation Rate,EU,0-5%,4.0,57.93,1.0,13.03,13.03,20.5,36.4,36.4,0.0,0.0,0.0
2024-12-11 14:30:00+01:00,Inflation Rate,US,0-5%,0.0,81.7,1.0,20.58,20.58,22.4,8.1,8.1,0.0,0.0,0.0
2025-08-01 14:30:00+02:00,Unemployment Rate,US,0-5%,0.0,86.4,1.0,22.07,22.07,118.9,81.4,81.4,0.0,0.0,0.0
2023-01-04 09:50:00+01:00,S&P Global Composite PMI,FR,0-5%,2.29,69.75,1.0,16.79,16.79,12.5,34.3,34.3,0.0,0.0,0.0
2023-10-02 10:30:00+02:00,S&P Global/CIPS Manufacturing PMI,GB,0-5%,0.23,58.29,1.0,13.15,13.15,18.5,28.9,28.9,0.0,0.0,0.0
2024-09-23 10:00:00+02:00,HCOB Composite PMI,EU,0-5%,3.36,63.94,1.0,14.94,14.94,17.32,13.7,13.7,0.0,0.0,0.0
2025-04-01 09:50:00+02:00,HCOB Manufacturing PMI,FR,0-5%,0.82,66.24,1.0,15.67,15.67,14.3,9.6,9.6,0.0,0.0,0.0
2023-06-13 14:30:00+02:00,Inflation Rate,US,0-5%,2.44,81.7,1.0,20.58,20.58,18.7,10.1,10.1,0.0,0.0,0.0
2024-04-24 03:30:00+02:00,RBA Weighted Median CPI,AU,5-10%,7.32,36.48,1.0,6.22,6.22,3.8,63.7,63.7,0.0,-151.7,151.7
2025-02-21 09:15:00+01:00,HCOB Services PMI,FR,5-10%,9.0,68.83,1.6,16.49,26.39,11.7,41.0,125.5,-84.5,-225.4,140.9
2023-05-05 12:30:00+02:00,Inflation Rate,CH,5-10%,7.14,57.48,1.32,12.89,17.03,9.3,38.6,83.1,-44.5,-118.8,74.3
2024-07-17 00:45:00+02:00,Inflation Rate,NZ,5-10%,5.71,32.27,1.0,4.88,4.88,2.4,103.4,103.4,0.0,-58.1,58.1
2024-02-22 09:15:00+01:00,HCOB Manufacturing PMI,FR,5-10%,7.59,66.24,1.39,15.67,21.75,20.1,22.0,8.2,13.8,-36.6,50.400000000000006
2023-04-28 15:00:00+02:00,GDP Growth Rate,EU,5-10%,7.14,51.44,1.32,10.97,14.5,30.6,64.1,52.6,11.5,30.7,-19.2
2024-07-31 11:00:00+02:00,Inflation Rate,EU,5-10%,8.33,57.93,1.5,13.03,19.55,3.85,238.5,407.7,-169.2,-451.3,282.1
2025-06-03 11:00:00+02:00,Core Inflation Rate,EU,5-10%,8.0,56.98,1.45,12.73,18.46,7.4,72.0,149.4,-77.4,-206.4,129.0
2023-03-24 13:30:00+01:00,S&P Global Services PMI,DE,5-10%,5.69,69.19,1.1,16.61,18.32,21.9,24.2,16.4,7.8,20.8,-13.0
2022-10-04 05:30:00+02:00,RBA Interest Rate Decision,AU,5-10%,8.77,41.43,1.57,7.79,12.2,17.6,55.7,30.7,25.0,44.7,-19.700000000000003
2022-10-28 15:00:00+02:00,Harmonised Inflation Rate,IT,10-50%,29.29,57.88,2.5,13.02,32.54,14.5,10.2,124.4,-114.2,-699.5,585.3
2023-03-10 19:30:00+01:00,Nonfarm Payrolls Private,US,10-50%,26.19,85.72,2.5,21.86,54.65,15.3,42.9,257.2,-214.3,-1098.4,884.1000000000001
2024-04-30 10:00:00+02:00,GDP Growth Rate YoY Adv,IT,10-50%,50.0,61.96,2.5,14.31,35.78,10.1,41.7,254.3,-212.6,-1335.9,1123.3000000000002
2023-09-29 08:00:00+02:00,GDP Growth Rate,GB,10-50%,50.0,55.37,2.5,12.22,30.55,13.1,6.7,133.2,-126.5,-865.9,739.4
2024-08-16 08:00:00+02:00,Retail Sales ex Fuel,GB,10-50%,12.5,49.93,2.13,10.49,22.29,3.15,233.1,607.7,-374.7,-1500.6,1125.8999999999999
2025-01-30 14:30:00+01:00,GDP Growth Rate,US,10-50%,11.54,79.91,1.98,20.01,39.64,54.9,63.5,27.8,35.8,-13.7,49.5
2023-07-27 14:30:00+02:00,GDP Growth Rate QoQ Adv,US,10-50%,33.33,79.55,2.5,19.9,49.75,61.8,67.8,19.5,48.3,-134.3,182.60000000000002
2025-03-17 13:30:00+01:00,Retail Sales,US,10-50%,11.43,78.48,1.96,19.56,38.42,13.3,47.1,188.9,-141.8,-555.1,413.3
2022-09-16 08:00:00+02:00,Retail Sales,GB,10-50%,28.57,50.25,2.5,10.59,26.48,14.9,28.9,77.7,-48.8,-507.2,458.4
2023-09-01 10:00:00+02:00,GDP Growth Rate,IT,10-50%,33.33,59.12,2.5,13.41,33.52,5.8,131.2,478.0,-346.8,-1938.4,1591.6000000000001
