date,status,cluster_anchor_time,cluster_country,cluster_events,core_events,identical_clusters,identical_clusters_sample,trends_calculated,impacts_mesures,trend_start,trend_r2,trend_duration_h,trend_amplitude_pips,trend_direction,trend_timeframe,trend_price_start,trend_price_extreme,trend_price_event,trend_exists,tradable,trading_reason,impact_base_pips,amplification_predite,impact_predit_pips,impact_real_pips,impact_real_direction,impact_time_to_peak_min,pattern_type,pattern_confidence,pattern_direction,pattern_wave1_pips,pattern_pullback_pips,pattern_pullback_ratio,pattern_wave2_pips,pattern_impact_pips,pattern_movement_start,pattern_wave1_peak,pattern_pullback_time,pattern_wave2_peak,pattern_wave2_peak_detected,pattern_wave2_peak_price_detected,pattern_wave2_peak_time_absolute,pattern_wave2_peak_price_absolute,pattern_wave2_peak_pips_absolute,pattern_baseline_price,pattern_mode,amplification_ideale,amplification_erreur,erreur_amplitude
2025-10-24,SUCCESS,2025-10-24T14:30:00+02:00,US,5,5,28,"2023-04-12, 2023-05-10, 2023-06-13, 2023-07-12, 2023-08-10",25,25,2025-10-17T07:57:00+02:00,0.746233760721445,174.55,151.49999999999997,DOWN,M1,1.17285,1.1577,1.16128,True,True,Tendance détectée (R²=0.746),46.23208474428957,1.4475839388730227,66.92482333645009,37.400000000000766,UP,0.0,DOUBLE_WAVE,0.9,UP,37.5,29.9,0.797,15.5,23.1,2025-10-24T12:32:00+02:00,2025-10-24T14:30:00+02:00,2025-10-24T15:50:00+02:00,2025-10-24T16:24:00+02:00,2025-10-24T16:24:00+02:00,1.16359,2025-10-24 14:30:00+02:00,1.16503,37.5,1.16128,early,0.8089620056473937,0.638621933225629,29.524823336449323
2025-09-11,SUCCESS,2025-09-11T14:30:00+02:00,US,9,7,25,"2023-01-12, 2023-07-12, 2023-08-10, 2023-09-13, 2023-10-12",22,22,2025-09-09T07:45:00+02:00,0.6436267865044597,54.75,115.89999999999988,DOWN,M15,1.17801,1.16642,1.16823,True,True,Tendance détectée (R²=0.644),35.494277288824435,1.5868264593969414,56.32325835907855,60.7000000000002,UP,97.0,DOUBLE_WAVE,0.9,UP,38.7,28.7,0.742,46.8,56.8,2025-09-11T12:30:00+02:00,2025-09-11T14:35:00+02:00,2025-09-11T14:51:00+02:00,2025-09-11T15:09:00+02:00,2025-09-11T15:09:00+02:00,1.17391,2025-09-11 17:22:00+02:00,1.17461,63.8,1.16823,early,1.710134834020467,0.12330837462352551,4.376741640921651
2025-08-12,SUCCESS,2025-08-12T14:30:00+02:00,US,5,5,26,"2023-04-12, 2023-05-10, 2023-06-13, 2023-07-12, 2023-08-10",23,23,2025-08-08T02:01:00+02:00,0.4313187667009422,108.48333333333332,89.20000000000039,DOWN,M1,1.16794,1.15902,1.16053,True,True,Tendance détectée (R²=0.431),31.632216181205035,1.4986276983781788,47.404915330240286,62.699999999999974,UP,75.0,DOUBLE_WAVE,0.9,UP,45.1,25.9,0.574,31.4,50.6,2025-08-12T12:30:00+02:00,2025-08-12T14:30:00+02:00,2025-08-12T14:38:00+02:00,2025-08-12T14:44:00+02:00,2025-08-12T14:44:00+02:00,1.16559,2025-08-12 17:44:00+02:00,1.16974,92.1,1.16053,early,1.9821564079109493,0.4835287095327705,15.295084669759689
2025-07-15,SUCCESS,2025-07-15T14:30:00+02:00,US,6,5,25,"2023-04-12, 2023-05-10, 2023-06-13, 2023-07-12, 2023-08-10",22,22,2025-07-08T16:15:00+02:00,0.5836294240856407,166.25,54.89999999999995,UP,M15,1.16948,1.17497,1.16658,True,True,Tendance détectée (R²=0.584),31.928027145438698,1.700293827281838,54.28702747267637,44.29999999999934,DOWN,120.0,DOUBLE_WAVE,0.85,DOWN,38.2,12.9,0.338,39.7,65.0,2025-07-15T14:40:00+02:00,2025-07-15T16:02:00+02:00,2025-07-15T16:06:00+02:00,2025-07-15T17:35:00+02:00,2025-07-15T17:35:00+02:00,1.16008,2025-07-15 17:35:00+02:00,1.16008,65.0,1.16658,early,1.3874956882930405,0.3127981389887975,9.987027472677028
2025-05-13,SUCCESS,2025-05-13T14:30:00+02:00,US,5,5,23,"2023-04-12, 2023-05-10, 2023-06-13, 2023-07-12, 2023-08-10",21,21,2025-05-06T21:00:00+02:00,0.871112560571037,161.5,315.9000000000001,DOWN,H1,1.13813,1.10654,1.11306,True,True,Tendance détectée (R²=0.871),46.23208474428957,1.365271949476216,63.11936846718585,34.4000000000011,UP,68.0,DOUBLE_WAVE,0.9,UP,31.8,15.4,0.484,18.3,34.7,2025-05-13T14:30:00+02:00,2025-05-13T15:09:00+02:00,2025-05-13T15:16:00+02:00,2025-05-13T15:28:00+02:00,2025-05-13T15:28:00+02:00,1.11481,2025-05-13 18:01:00+02:00,1.11784,65.0,1.11134,early,0.7440720051944028,0.6211999442818132,28.71936846718475
2025-03-12,SUCCESS,2025-03-12T13:30:00+01:00,US,5,5,22,"2023-04-12, 2023-05-10, 2023-06-13, 2023-07-12, 2023-08-10",21,21,2025-02-28T20:00:00+01:00,0.7692226665753136,281.5,579.3999999999988,UP,H1,1.03678,1.09472,1.0878,True,True,Tendance détectée (R²=0.769),46.23208474428957,0.9703274508974394,44.8602609396009,38.200000000001566,UP,0.0,DOUBLE_WAVE,0.9,UP,38.4,22.2,0.578,18.0,34.2,2025-03-12T11:30:00+01:00,2025-03-12T13:30:00+01:00,2025-03-12T16:07:00+01:00,2025-03-12T17:15:00+01:00,2025-03-12T17:15:00+01:00,1.0928,2025-03-12 13:30:00+01:00,1.09322,38.4,1.08938,early,0.8262660057682105,0.14406144512922892,6.660260939599333
2025-01-15,SUCCESS,2025-01-15T14:30:00+01:00,US,6,5,20,"2023-04-12, 2023-05-10, 2023-06-13, 2023-07-12, 2023-08-10",19,19,2025-01-13T10:15:00+01:00,0.929762861800388,52.25,130.50000000000006,UP,M15,1.01869,1.03174,1.03031,True,True,Tendance détectée (R²=0.930),31.928027145438698,1.733790008035084,55.356494441034535,52.09999999999937,UP,2.0,DOUBLE_WAVE,0.9,UP,51.7,29.6,0.573,25.6,47.7,2025-01-15T12:30:00+01:00,2025-01-15T14:32:00+01:00,2025-01-15T14:44:00+01:00,2025-01-15T14:58:00+01:00,2025-01-15T14:58:00+01:00,1.03508,2025-01-15 14:32:00+01:00,1.03548,51.7,1.03031,early,1.631795154854799,0.101994853180285,3.2564944410351657
2024-12-11,SUCCESS,2024-12-11T14:30:00+01:00,US,5,5,19,"2023-04-12, 2023-05-10, 2023-06-13, 2023-07-12, 2023-08-10",18,18,2024-12-09T17:01:00+01:00,0.7226004143391696,45.483333333333334,107.29999999999906,DOWN,M1,1.05944,1.04871,1.05154,True,True,Tendance détectée (R²=0.723),31.632216181205035,1.862264424743319,58.90755087004811,24.399999999999977,DOWN,92.0,DOUBLE_WAVE,0.9,DOWN,21.4,11.0,0.514,22.4,32.8,2024-12-11T12:30:00+01:00,2024-12-11T15:51:00+01:00,2024-12-11T15:55:00+01:00,2024-12-11T16:35:00+01:00,2024-12-11T16:35:00+01:00,1.04826,2024-12-11 16:49:00+01:00,1.04802,35.2,1.05154,early,0.771365492073798,1.090898932669521,34.507550870048135
2024-11-13,SUCCESS,2024-11-13T14:30:00+01:00,US,5,5,18,"2023-04-12, 2023-05-10, 2023-06-13, 2023-07-12, 2023-08-10",17,17,2024-11-07T16:30:00+01:00,0.914494460946158,142.0,231.4000000000016,DOWN,M15,1.08248,1.05934,1.06266,True,True,Tendance détectée (R²=0.914),31.632216181205035,1.2715572538767643,40.22217394140923,72.20000000000005,DOWN,98.0,DOUBLE_WAVE,0.9,DOWN,24.4,13.4,0.549,39.4,50.4,2024-11-13T12:30:00+01:00,2024-11-13T15:37:00+01:00,2024-11-13T15:44:00+01:00,2024-11-13T15:53:00+01:00,2024-11-13T15:53:00+01:00,1.05762,2024-11-13 16:08:00+01:00,1.05558,70.8,1.06266,early,2.2824831363823077,1.0109258825055434,31.977826058590814
2024-09-11,SUCCESS,2024-09-11T14:30:00+02:00,US,5,5,16,"2023-04-12, 2023-05-10, 2023-06-13, 2023-07-12, 2023-08-10",15,15,2024-09-06T14:30:00+02:00,0.6553028369836105,120.0,140.3000000000021,DOWN,M15,1.11556,1.10153,1.1043,True,True,Tendance détectée (R²=0.655),46.23208474428957,1.7020497530913852,78.68930842391806,39.39999999999833,DOWN,16.0,DOUBLE_WAVE,0.9,DOWN,28.8,7.6,0.264,16.2,37.4,2024-09-11T14:03:00+02:00,2024-09-11T14:30:00+02:00,2024-09-11T14:57:00+02:00,2024-09-11T16:05:00+02:00,2024-09-11T16:05:00+02:00,1.10056,2024-09-11 16:48:00+02:00,1.1002,41.0,1.1043,early,0.8522220059493397,0.8498277471420455,39.289308423919735
