timeframe,status,trend_exists,trend_timeframe,trend_r2,trend_direction,cluster_direction,is_breakout,distance_to_directional_barrier_normalized,support_resistance_adjustment_factor,impact_base_pips,amplification_predite,impact_predit_pips,impact_real_pips,error,tradable,trading_reason,wave1_error_min,pullback_error_min,wave2_error_min,avg_timing_error_min,date
M1,SUCCESS,True,M1,0.8614575815136214,UP,UP,False,0.2289190970797486,1.0,44.64300930058932,1.43997061846909,64.28462171289095,58.00000000000027,6.284621712890683,True,Tendance détectée (R²=0.861),0.0,0.0,0.0,0.0,2024-01-11
M5,SUCCESS,True,M5,0.8630992639744304,UP,UP,False,0.1039054966247902,0.9,44.64300930058932,1.2994076214102976,58.00946652787656,58.00000000000027,0.0094665278762917,True,Tendance détectée (R²=0.863),0.0,0.0,0.0,0.0,2024-01-11
M15,SUCCESS,True,M15,0.8646744516632788,UP,UP,False,0.057638425617029,0.7,44.64300930058932,1.0322518384260917,46.08282842340643,58.00000000000027,11.917171576593836,True,Tendance détectée (R²=0.865),0.0,0.0,0.0,0.0,2024-01-11
M1,SUCCESS,True,M1,0.3291139158109474,DOWN,UP,True,0.0,1.15,46.23208474428957,1.7668021399599436,81.68294626102028,33.90000000000004,47.78294626102024,True,Tendance détectée (R²=0.329),0.0,0.0,0.0,0.0,2024-03-12
M5,SUCCESS,True,M5,0.3284249910579777,DOWN,UP,True,0.0,1.15,46.23208474428957,1.766094640281507,81.65023707593024,33.90000000000004,47.750237075930194,True,Tendance détectée (R²=0.328),0.0,0.0,0.0,0.0,2024-03-12
M15,SUCCESS,True,M15,0.7800011588850543,UP,UP,False,0.0,0.7,46.23208474428957,1.6336234391387754,75.52581727852164,33.90000000000004,41.6258172785216,True,Tendance détectée (R²=0.780),0.0,0.0,0.0,0.0,2024-03-12
M1,SUCCESS,True,M1,0.5563926047655618,UP,DOWN,True,0.1205813166610188,1.15,42.160093026782846,1.8423928426926837,77.67545363980244,38.10000000000091,39.57545363980153,True,Tendance détectée (R²=0.556),0.0,0.0,0.0,0.0,2024-05-15
M5,SUCCESS,True,M5,0.6831900087053516,UP,DOWN,True,0.0516798630422052,1.15,42.160093026782846,1.7142999401383183,72.27504495203978,38.10000000000091,34.17504495203887,True,Tendance détectée (R²=0.683),0.0,0.0,0.0,0.0,2024-05-15
M15,SUCCESS,True,M15,0.5563862491290972,UP,DOWN,True,0.6116972477058945,1.0,42.160093026782846,1.602169784991918,67.54762717995993,38.10000000000091,29.44762717995902,True,Tendance détectée (R²=0.556),0.0,0.0,0.0,0.0,2024-05-15
M30,SUCCESS,True,M30,0.5596520299967215,UP,DOWN,True,0.6707746478872088,1.0,42.160093026782846,1.5847504163937742,66.81322497939438,38.10000000000091,28.713224979393463,True,Tendance détectée (R²=0.560),0.0,0.0,0.0,0.0,2024-05-15
M1,SUCCESS,True,M1,0.8708536449708498,DOWN,DOWN,False,0.0,0.7,46.23208474428957,1.1375198387395848,52.589913582919095,77.19999999999949,24.610086417080396,True,Tendance détectée (R²=0.871),0.0,0.0,0.0,0.0,2024-06-12
M5,SUCCESS,True,M5,0.8550089241764728,DOWN,DOWN,False,0.0,0.7,46.23208474428957,1.1460723271142863,52.985312950232846,77.19999999999949,24.21468704976665,True,Tendance détectée (R²=0.855),0.0,0.0,0.0,0.0,2024-06-12
M15,SUCCESS,True,M15,0.8709854461510806,DOWN,DOWN,False,0.0471618976603317,0.7,46.23208474428957,1.1358408195122545,52.51228902371386,77.19999999999949,24.68771097628563,True,Tendance détectée (R²=0.871),0.0,0.0,0.0,0.0,2024-06-12
M30,SUCCESS,True,M30,0.8702156335127278,DOWN,DOWN,False,0.0319657689402015,0.7,46.23208474428957,1.1363184220558562,52.53436958498375,77.19999999999949,24.66563041501574,True,Tendance détectée (R²=0.870),0.0,0.0,0.0,0.0,2024-06-12
M1,SUCCESS,True,M1,0.5919888141371071,UP,DOWN,True,0.0,1.15,44.64300930058932,1.933806952629811,86.33096177179694,52.00000000000094,34.330961771796,True,Tendance détectée (R²=0.592),0.0,0.0,0.0,0.0,2024-07-11
M5,SUCCESS,True,M5,0.5909780219833615,UP,DOWN,True,0.0,1.15,44.64300930058932,1.934848973148651,86.37748070351091,52.00000000000094,34.377480703509974,True,Tendance détectée (R²=0.591),0.0,0.0,0.0,0.0,2024-07-11
M15,SUCCESS,True,M15,0.6903039965694323,DOWN,DOWN,False,0.0930795467047296,0.7,44.64300930058932,0.8019790485913666,35.802758125142155,52.00000000000094,16.197241874858783,True,Tendance détectée (R²=0.690),0.0,0.0,0.0,0.0,2024-07-11
M1,SUCCESS,True,M1,0.6441095625178347,DOWN,DOWN,False,0.0,0.7,46.23208474428957,1.1926007321389485,55.13641811434965,39.39999999999833,15.736418114351324,True,Tendance détectée (R²=0.644),0.0,0.0,0.0,0.0,2024-09-11
M5,SUCCESS,True,M5,0.6211617490158163,DOWN,DOWN,False,0.0,0.7,46.23208474428957,1.1913288125355848,55.07761461945902,39.39999999999833,15.677614619460693,True,Tendance détectée (R²=0.621),0.0,0.0,0.0,0.0,2024-09-11
M15,SUCCESS,True,M15,0.6553028369836105,DOWN,DOWN,False,0.0,0.7,46.23208474428957,1.1914348271639696,55.08251589674264,39.39999999999833,15.682515896744311,True,Tendance détectée (R²=0.655),0.0,0.0,0.0,0.0,2024-09-11
M30,SUCCESS,True,M30,0.6645948060893044,DOWN,DOWN,False,0.033522502309841,0.7,46.23208474428957,1.1905374233538435,55.04102704774306,39.39999999999833,15.641027047744728,True,Tendance détectée (R²=0.665),0.0,0.0,0.0,0.0,2024-09-11
M1,SUCCESS,True,M1,0.9143599651220804,DOWN,UP,True,0.0,1.15,31.632216181205035,1.4622498481520887,46.2542033076811,72.20000000000005,25.945796692318943,True,Tendance détectée (R²=0.914),0.0,0.0,0.0,0.0,2024-11-13
M5,SUCCESS,True,M5,0.9123009397180736,DOWN,UP,True,0.0,1.15,31.632216181205035,1.461249495819828,46.22255994644966,72.20000000000005,25.97744005355039,True,Tendance détectée (R²=0.912),0.0,0.0,0.0,0.0,2024-11-13
M15,SUCCESS,True,M15,0.914494460946158,DOWN,UP,True,0.0,1.15,31.632216181205035,1.4622908419582792,46.25550003262061,72.20000000000005,25.944499967379436,True,Tendance détectée (R²=0.914),0.0,0.0,0.0,0.0,2024-11-13
M30,SUCCESS,True,M30,0.9132970657775078,DOWN,UP,True,0.0,1.15,31.632216181205035,1.4617223939218027,46.237518761443006,72.20000000000005,25.96248123855704,True,Tendance détectée (R²=0.913),0.0,0.0,0.0,0.0,2024-11-13
M1,SUCCESS,True,M1,0.7226004143391696,DOWN,UP,True,0.0,1.15,31.632216181205035,2.0,63.26443236241007,24.399999999999977,38.86443236241009,True,Tendance détectée (R²=0.723),0.0,0.0,0.0,0.0,2024-12-11
M5,SUCCESS,True,M5,0.7208080278884655,DOWN,UP,True,0.3309912270256918,1.05,31.632216181205035,1.9549273720097435,61.83868524996724,24.399999999999977,37.438685249967264,True,Tendance détectée (R²=0.721),0.0,0.0,0.0,0.0,2024-12-11
M15,SUCCESS,True,M15,0.7217936935025191,DOWN,UP,True,0.1806076276665432,1.05,31.632216181205035,1.955145925416304,61.84559857857071,24.399999999999977,37.44559857857073,True,Tendance détectée (R²=0.722),0.0,0.0,0.0,0.0,2024-12-11
M30,SUCCESS,True,M30,0.4370329213986385,DOWN,UP,True,0.1297362555721307,1.15,31.632216181205035,1.8010448133301915,56.97103888729869,24.399999999999977,32.57103888729871,True,Tendance détectée (R²=0.437),0.0,0.0,0.0,0.0,2024-12-11
