Date,Direction,Impact_Réel_pips,Impact_Prédit_pips,Erreur_pips,Biais_pips,Biais_pourcent,Type_Erreur,Détail_Erreur
2023-03-10,UP,63.6,56.57,7.03,-7.03,-11.1,Sous-estimé,Sous-estimation de 7.03 pips (11.1%)
2023-04-12,UP,65.4,63.4,2.0,-2.0,-3.1,Sous-estimé,Sous-estimation de 2.00 pips (3.1%)
2023-05-10,UP,53.22,60.6,7.38,7.38,13.9,Sur-estimé,Sur-estimation de 7.38 pips (13.9%)
2023-05-26,DOWN,18.64,30.6,11.96,11.96,64.2,Sur-estimé,Sur-estimation de 11.96 pips (64.2%)
2023-07-07,UP,39.44,38.7,0.74,-0.74,-1.9,Sous-estimé,Sous-estimation de 0.74 pips (1.9%)
2023-07-12,UP,63.78,52.5,11.28,-11.28,-17.7,Sous-estimé,Sous-estimation de 11.28 pips (17.7%)
2023-08-04,UP,80.86,48.2,32.66,-32.66,-40.4,Sous-estimé,Sous-estimation de 32.66 pips (40.4%)
2023-10-06,DOWN,71.3,72.2,0.9,0.9,1.3,Sur-estimé,Sur-estimation de 0.90 pips (1.3%)
2023-10-12,DOWN,51.02,48.7,2.32,-2.32,-4.5,Sous-estimé,Sous-estimation de 2.32 pips (4.5%)
2023-10-27,UP,29.06,51.1,22.04,22.04,75.8,Sur-estimé,Sur-estimation de 22.04 pips (75.8%)
2023-11-30,UP,32.78,40.68,7.9,7.9,24.1,Sur-estimé,Sur-estimation de 7.90 pips (24.1%)
2024-01-11,DOWN,47.04,48.85,1.81,1.81,3.9,Sur-estimé,Sur-estimation de 1.81 pips (3.9%)
2024-03-12,DOWN,32.3,33.7,1.4,1.4,4.3,Sur-estimé,Sur-estimation de 1.40 pips (4.3%)
2024-04-05,DOWN,41.2,45.0,3.8,3.8,9.2,Sur-estimé,Sur-estimation de 3.80 pips (9.2%)
2024-05-15,UP,44.32,28.19,16.13,-16.13,-36.4,Sous-estimé,Sous-estimation de 16.13 pips (36.4%)
2024-06-12,UP,77.62,80.9,3.28,3.28,4.2,Sur-estimé,Sur-estimation de 3.28 pips (4.2%)
2024-07-11,UP,49.76,42.0,7.76,-7.76,-15.6,Sous-estimé,Sous-estimation de 7.76 pips (15.6%)
2024-09-11,DOWN,46.82,45.52,1.3,-1.3,-2.8,Sous-estimé,Sous-estimation de 1.30 pips (2.8%)
2024-09-27,UP,38.48,39.0,0.52,0.52,1.4,Sur-estimé,Sur-estimation de 0.52 pips (1.4%)
2024-10-04,DOWN,70.52,72.2,1.68,1.68,2.4,Sur-estimé,Sur-estimation de 1.68 pips (2.4%)
2024-11-13,UP,17.86,50.4,32.54,32.54,182.2,Sur-estimé,Sur-estimation de 32.54 pips (182.2%)
2024-11-27,UP,51.68,44.0,7.68,-7.68,-14.9,Sous-estimé,Sous-estimation de 7.68 pips (14.9%)
2024-12-11,UP,31.8,32.8,1.0,1.0,3.1,Sur-estimé,Sur-estimation de 1.00 pips (3.1%)
2025-01-10,DOWN,88.42,77.8,10.62,-10.62,-12.0,Sous-estimé,Sous-estimation de 10.62 pips (12.0%)
2025-01-15,UP,53.32,47.7,5.62,-5.62,-10.5,Sous-estimé,Sous-estimation de 5.62 pips (10.5%)
2025-02-07,UP,33.12,70.7,37.58,37.58,113.5,Sur-estimé,Sur-estimation de 37.58 pips (113.5%)
2025-03-12,UP,32.38,32.14,0.24,-0.24,-0.8,Sous-estimé,Sous-estimation de 0.24 pips (0.8%)
2025-04-04,UP,55.5,60.1,4.6,4.6,8.3,Sur-estimé,Sur-estimation de 4.60 pips (8.3%)
2025-04-10,UP,51.16,3.43,47.73,-47.73,-93.3,Sous-estimé,Sous-estimation de 47.73 pips (93.3%)
2025-04-30,UP,28.24,17.44,10.8,-10.8,-38.2,Sous-estimé,Sous-estimation de 10.80 pips (38.2%)
2025-05-13,UP,42.3,34.7,7.6,-7.6,-18.0,Sous-estimé,Sous-estimation de 7.60 pips (18.0%)
2025-06-11,UP,50.9,39.8,11.1,-11.1,-21.8,Sous-estimé,Sous-estimation de 11.10 pips (21.8%)
2025-07-03,DOWN,77.54,69.4,8.14,-8.14,-10.5,Sous-estimé,Sous-estimation de 8.14 pips (10.5%)
2025-07-15,DOWN,21.72,65.0,43.28,43.28,199.3,Sur-estimé,Sur-estimation de 43.28 pips (199.3%)
2025-08-12,UP,46.3,55.83,9.53,9.53,20.6,Sur-estimé,Sur-estimation de 9.53 pips (20.6%)
2025-09-05,UP,60.26,41.6,18.66,-18.66,-31.0,Sous-estimé,Sous-estimation de 18.66 pips (31.0%)
2025-09-11,UP,54.36,56.8,2.44,2.44,4.5,Sur-estimé,Sur-estimation de 2.44 pips (4.5%)
2025-10-24,UP,39.52,23.1,16.42,-16.42,-41.5,Sous-estimé,Sous-estimation de 16.42 pips (41.5%)
