Date,Direction,Impact Réel,Impact Prédit,Erreur (pips),Biais,Biais (%),Type Erreur
2024-01-11,UP,58.00,48.85,9.15,-9.15,-15.8%,Sous-estimation de 9.15 pips (15.8%)
2024-03-12,UP,33.90,33.70,0.20,-0.20,-0.6%,Sous-estimation de 0.20 pips (0.6%)
2024-05-15,UP,38.10,28.19,9.91,-9.91,-26.0%,Sous-estimation de 9.91 pips (26.0%)
2024-06-12,UP,77.20,80.90,3.70,+3.70,+4.8%,Sur-estimation de 3.70 pips (4.8%)
2024-07-11,UP,52.00,42.00,10.00,-10.00,-19.2%,Sous-estimation de 10.00 pips (19.2%)
2024-09-11,UP,39.40,45.52,6.12,+6.12,+15.5%,Sur-estimation de 6.12 pips (15.5%)
2024-11-13,UP,72.20,50.40,21.80,-21.80,-30.2%,Sous-estimation de 21.80 pips (30.2%)
2024-12-11,UP,24.40,32.80,8.40,+8.40,+34.4%,Sur-estimation de 8.40 pips (34.4%)
2025-01-15,UP,52.10,47.70,4.40,-4.40,-8.4%,Sous-estimation de 4.40 pips (8.4%)
2025-03-12,UP,38.20,32.14,6.06,-6.06,-15.9%,Sous-estimation de 6.06 pips (15.9%)
2025-04-10,UP,41.60,3.43,38.17,-38.17,-91.8%,Sous-estimation de 38.17 pips (91.8%)
2025-05-13,UP,34.40,34.70,0.30,+0.30,+0.9%,Sur-estimation de 0.30 pips (0.9%)
2025-06-11,UP,55.30,39.80,15.50,-15.50,-28.0%,Sous-estimation de 15.50 pips (28.0%)
2025-07-15,UP,44.30,65.00,20.70,+20.70,+46.7%,Sur-estimation de 20.70 pips (46.7%)
2025-08-12,UP,62.70,55.83,6.87,-6.87,-11.0%,Sous-estimation de 6.87 pips (11.0%)
2025-09-11,UP,60.70,56.80,3.90,-3.90,-6.4%,Sous-estimation de 3.90 pips (6.4%)
2025-10-24,UP,37.40,23.10,14.30,-14.30,-38.2%,Sous-estimation de 14.30 pips (38.2%)
2025-04-04,UP,123.60,60.10,63.50,-63.50,-51.4%,Sous-estimation de 63.50 pips (51.4%)
2023-03-10,UP,109.80,56.57,53.23,-53.23,-48.5%,Sous-estimation de 53.23 pips (48.5%)
2023-07-12,UP,108.50,52.50,56.00,-56.00,-51.6%,Sous-estimation de 56.00 pips (51.6%)
2025-01-10,UP,93.00,77.80,15.20,-15.20,-16.3%,Sous-estimation de 15.20 pips (16.3%)
2023-08-04,UP,92.00,48.20,43.80,-43.80,-47.6%,Sous-estimation de 43.80 pips (47.6%)
2023-07-07,UP,82.00,38.70,43.30,-43.30,-52.8%,Sous-estimation de 43.30 pips (52.8%)
2023-10-12,UP,81.60,48.70,32.90,-32.90,-40.3%,Sous-estimation de 32.90 pips (40.3%)
2024-10-04,UP,79.60,72.20,7.40,-7.40,-9.3%,Sous-estimation de 7.40 pips (9.3%)
2023-04-12,UP,75.20,63.40,11.80,-11.80,-15.7%,Sous-estimation de 11.80 pips (15.7%)
2023-10-06,UP,72.20,72.20,0.00,-0.00,-0.0%,Sous-estimation de 0.00 pips (0.0%)
2025-07-03,UP,71.00,69.40,1.60,-1.60,-2.2%,Sous-estimation de 1.60 pips (2.2%)
2025-02-07,UP,70.70,70.70,0.00,+0.00,+0.0%,Sur-estimation de 0.00 pips (0.0%)
2023-05-10,UP,60.60,60.60,0.00,+0.00,+0.0%,Sur-estimation de 0.00 pips (0.0%)
2025-09-05,UP,60.20,41.60,18.60,-18.60,-30.9%,Sous-estimation de 18.60 pips (30.9%)
2025-04-30,UP,54.30,17.44,36.86,-36.86,-67.9%,Sous-estimation de 36.86 pips (67.9%)
2023-05-26,UP,53.80,30.60,23.20,-23.20,-43.1%,Sous-estimation de 23.20 pips (43.1%)
2024-04-05,UP,53.80,45.00,8.80,-8.80,-16.4%,Sous-estimation de 8.80 pips (16.4%)
2023-10-27,UP,53.30,51.10,2.20,-2.20,-4.1%,Sous-estimation de 2.20 pips (4.1%)
2024-11-27,UP,52.90,44.00,8.90,-8.90,-16.8%,Sous-estimation de 8.90 pips (16.8%)
2023-11-30,UP,49.40,40.68,8.72,-8.72,-17.6%,Sous-estimation de 8.72 pips (17.6%)
2024-09-27,UP,47.50,39.00,8.50,-8.50,-17.9%,Sous-estimation de 8.50 pips (17.9%)
