Date,Direction,Impact_Réel_pips,Impact_Prédit_pips,Erreur_pips,Biais_pips,Biais_pourcent,Type_Erreur,Détail_Erreur
2023-03-10,UP,100.1,56.57,43.53,-43.53,-43.5,Sous-estimé,Sous-estimation de 43.53 pips (43.5%)
2023-04-12,UP,76.4,63.4,13.0,-13.0,-17.0,Sous-estimé,Sous-estimation de 13.00 pips (17.0%)
2023-05-10,UP,58.7,60.6,1.9,1.9,3.2,Sur-estimé,Sur-estimation de 1.90 pips (3.2%)
2023-05-26,DOWN,34.8,30.6,4.2,-4.2,-12.1,Sous-estimé,Sous-estimation de 4.20 pips (12.1%)
2023-07-07,UP,43.6,38.7,4.9,-4.9,-11.2,Sous-estimé,Sous-estimation de 4.90 pips (11.2%)
2023-07-12,UP,82.4,52.5,29.9,-29.9,-36.3,Sous-estimé,Sous-estimation de 29.90 pips (36.3%)
2023-08-04,UP,85.5,48.2,37.3,-37.3,-43.6,Sous-estimé,Sous-estimation de 37.30 pips (43.6%)
2023-10-06,DOWN,72.8,72.2,0.6,-0.6,-0.8,Sous-estimé,Sous-estimation de 0.60 pips (0.8%)
2023-10-12,DOWN,78.8,48.7,30.1,-30.1,-38.2,Sous-estimé,Sous-estimation de 30.10 pips (38.2%)
2023-10-27,UP,51.1,51.1,0.0,0.0,0.0,Sur-estimé,Sur-estimation de 0.00 pips (0.0%)
2023-11-30,DOWN,49.8,40.68,9.12,-9.12,-18.3,Sous-estimé,Sous-estimation de 9.12 pips (18.3%)
2024-01-11,DOWN,58.0,48.85,9.15,-9.15,-15.8,Sous-estimé,Sous-estimation de 9.15 pips (15.8%)
2024-03-12,DOWN,12.7,33.7,21.0,21.0,165.3,Sur-estimé,Sur-estimation de 21.00 pips (165.3%)
2024-04-05,DOWN,53.4,45.0,8.4,-8.4,-15.7,Sous-estimé,Sous-estimation de 8.40 pips (15.7%)
2024-05-15,UP,38.1,28.19,9.91,-9.91,-26.0,Sous-estimé,Sous-estimation de 9.91 pips (26.0%)
2024-06-12,UP,77.2,80.9,3.7,3.7,4.8,Sur-estimé,Sur-estimation de 3.70 pips (4.8%)
2024-07-11,UP,52.0,42.0,10.0,-10.0,-19.2,Sous-estimé,Sous-estimation de 10.00 pips (19.2%)
2024-09-11,DOWN,39.4,45.52,6.12,6.12,15.5,Sur-estimé,Sur-estimation de 6.12 pips (15.5%)
2024-09-27,UP,47.3,39.0,8.3,-8.3,-17.6,Sous-estimé,Sous-estimation de 8.30 pips (17.6%)
2024-10-04,DOWN,72.1,72.2,0.1,0.1,0.1,Sur-estimé,Sur-estimation de 0.10 pips (0.1%)
2024-11-13,DOWN,72.2,50.4,21.8,-21.8,-30.2,Sous-estimé,Sous-estimation de 21.80 pips (30.2%)
2024-11-27,UP,44.4,44.0,0.4,-0.4,-0.9,Sous-estimé,Sous-estimation de 0.40 pips (0.9%)
2024-12-11,DOWN,24.4,32.8,8.4,8.4,34.4,Sur-estimé,Sur-estimation de 8.40 pips (34.4%)
2025-01-10,DOWN,92.8,77.8,15.0,-15.0,-16.2,Sous-estimé,Sous-estimation de 15.00 pips (16.2%)
2025-01-15,UP,52.1,47.7,4.4,-4.4,-8.4,Sous-estimé,Sous-estimation de 4.40 pips (8.4%)
2025-02-07,UP,37.9,70.7,32.8,32.8,86.5,Sur-estimé,Sur-estimation de 32.80 pips (86.5%)
2025-03-12,UP,30.7,32.14,1.44,1.44,4.7,Sur-estimé,Sur-estimation de 1.44 pips (4.7%)
2025-04-04,DOWN,97.1,60.1,37.0,-37.0,-38.1,Sous-estimé,Sous-estimation de 37.00 pips (38.1%)
2025-04-10,UP,41.6,3.43,38.17,-38.17,-91.8,Sous-estimé,Sous-estimation de 38.17 pips (91.8%)
2025-04-30,DOWN,26.9,17.44,9.46,-9.46,-35.2,Sous-estimé,Sous-estimation de 9.46 pips (35.2%)
2025-05-13,UP,34.4,34.7,0.3,0.3,0.9,Sur-estimé,Sur-estimation de 0.30 pips (0.9%)
2025-06-11,UP,55.3,39.8,15.5,-15.5,-28.0,Sous-estimé,Sous-estimation de 15.50 pips (28.0%)
2025-07-03,DOWN,71.0,69.4,1.6,-1.6,-2.2,Sous-estimé,Sous-estimation de 1.60 pips (2.2%)
2025-07-15,DOWN,44.3,65.0,20.7,20.7,46.7,Sur-estimé,Sur-estimation de 20.70 pips (46.7%)
2025-08-12,UP,62.7,55.83,6.87,-6.87,-11.0,Sous-estimé,Sous-estimation de 6.87 pips (11.0%)
2025-09-05,UP,59.9,41.6,18.3,-18.3,-30.6,Sous-estimé,Sous-estimation de 18.30 pips (30.6%)
2025-09-11,UP,60.7,56.8,3.9,-3.9,-6.4,Sous-estimé,Sous-estimation de 3.90 pips (6.4%)
2025-10-24,UP,37.4,23.1,14.3,-14.3,-38.2,Sous-estimé,Sous-estimation de 14.30 pips (38.2%)
