Date,TF_Avant,Erreur_Avant,TF_Après,Erreur_Après,Amélioration
2024-01-11,M1,0.00,M1,0.00,=
2024-03-12,M1,0.00,M1,0.00,=
2024-05-15,M1,0.00,M1,0.00,=
2024-06-12,M1,0.00,M1,0.00,=
2024-07-11,M1,0.00,M1,0.00,=
2024-09-11,M1,0.00,M1,0.00,=
2024-11-13,M1,0.00,M1,0.00,=
2024-12-11,M1,0.00,M1,0.00,=
2025-01-15,M1,0.00,M1,0.00,=
2025-03-12,M1,0.00,M1,0.00,=
2025-05-13,M1,0.00,M1,0.00,=
2025-06-11,M30,0.00,M30,0.00,=
2025-07-15,M1,0.00,M1,0.00,=
2025-08-12,M1,0.00,M1,0.00,=
2025-09-11,M1,0.00,M1,0.00,=
2025-10-24,M1,5.00,M1,0.00,✅
