date,pattern_mode,pattern_type,pattern_direction,pattern_baseline_price,pattern_wave1_peak,pattern_wave1_pips,pattern_pullback_time,pattern_pullback_pips,pattern_pullback_ratio,pattern_wave2_peak,pattern_wave2_pips,trend_timeframe,trend_r2,trend_duration_h,trend_amplitude_pips,impact_base_pips,amplification_predite,impact_predit_pips,impact_real_pips,impact_real_direction,impact_time_to_peak_min
2024-01-11,early,DOUBLE_WAVE,DOWN,1.09879,2024-01-11T14:32:00+01:00,47.6,2024-01-11T15:17:00+01:00,15.3,0.321,2024-01-11T16:14:00+01:00,25.3,M5,0.8630992639744304,45.416666666666664,79.40000000000057,44.64300930058932,1.443786246011442,64.45496280875174,58.00000000000027,DOWN,104.0
2024-03-12,early,DOUBLE_WAVE,DOWN,1.0936,2024-03-12T13:30:00+01:00,32.9,2024-03-12T14:16:00+01:00,14.2,0.432,2024-03-12T14:49:00+01:00,15.0,M15,0.7800011588850543,283.0,183.99999999999972,46.23208474428957,2.3337477701982507,107.89402468360235,33.90000000000004,DOWN,79.0
2024-05-15,early,DOUBLE_WAVE,UP,1.08313,2024-05-15T14:31:00+02:00,38.2,2024-05-15T14:41:00+02:00,20.8,0.545,2024-05-15T14:45:00+02:00,16.6,M5,0.6831900087053516,144.83333333333334,110.70000000000137,42.160093026782846,1.4906956001202771,62.84786517568676,38.10000000000091,UP,1.0
2024-06-12,early,DOUBLE_WAVE,UP,1.07672,2024-06-12T15:33:00+02:00,70.3,2024-06-12T16:12:00+02:00,19.9,0.283,2024-06-12T16:39:00+02:00,30.5,M1,0.8708536449708498,203.58333333333337,196.3999999999988,46.23208474428957,1.6250283410565498,75.1284479755987,77.19999999999949,UP,118.0
2024-07-11,early,DOUBLE_WAVE,UP,1.0848,2024-07-11T14:33:00+02:00,45.8,2024-07-11T15:43:00+02:00,25.2,0.55,2024-07-11T16:06:00+02:00,21.4,M1,0.5919888141371071,218.26666666666668,148.00000000000148,44.64300930058932,1.6815712631563575,75.070401540693,52.00000000000094,UP,21.0
2024-09-11,early,DOUBLE_WAVE,DOWN,1.1043,2024-09-11T14:30:00+02:00,28.8,2024-09-11T14:57:00+02:00,7.6,0.264,2024-09-11T16:05:00+02:00,16.2,M15,0.6553028369836105,120.0,140.3000000000021,46.23208474428957,1.7020497530913852,78.68930842391806,39.39999999999833,DOWN,16.0
2024-11-13,early,DOUBLE_WAVE,DOWN,1.06266,2024-11-13T15:37:00+01:00,24.4,2024-11-13T15:44:00+01:00,13.4,0.549,2024-11-13T15:53:00+01:00,39.4,M15,0.914494460946158,142.0,231.4000000000016,31.632216181205035,1.2715572538767643,40.22217394140923,72.20000000000005,DOWN,98.0
2024-12-11,early,DOUBLE_WAVE,DOWN,1.05154,2024-12-11T15:51:00+01:00,21.4,2024-12-11T15:55:00+01:00,11.0,0.514,2024-12-11T16:35:00+01:00,22.4,M1,0.7226004143391696,45.483333333333334,107.29999999999906,31.632216181205035,1.862264424743319,58.90755087004811,24.399999999999977,DOWN,92.0
2025-01-15,early,DOUBLE_WAVE,UP,1.03031,2025-01-15T14:32:00+01:00,51.7,2025-01-15T14:44:00+01:00,29.6,0.573,2025-01-15T14:58:00+01:00,25.6,M15,0.929762861800388,52.25,130.50000000000006,31.928027145438698,1.733790008035084,55.356494441034535,52.09999999999937,UP,2.0
2025-03-12,early,DOUBLE_WAVE,UP,1.08938,2025-03-12T13:30:00+01:00,38.4,2025-03-12T16:07:00+01:00,22.2,0.578,2025-03-12T17:15:00+01:00,18.0,H1,0.7692226665753136,281.5,579.3999999999988,46.23208474428957,0.9703274508974394,44.8602609396009,38.200000000001566,UP,0.0
