date,pattern_type,m1_count,m30_count,h1_count,m1_available,m30_available,h1_available,all_available
2025-10-24,DOUBLE_WAVE,721,25,12,True,True,True,True
2025-09-11,DOUBLE_WAVE,721,25,12,True,True,True,True
2025-08-12,DOUBLE_WAVE,721,25,12,True,True,True,True
2025-07-15,DOUBLE_WAVE,721,25,12,True,True,True,True
2025-06-11,DOUBLE_WAVE,721,25,12,True,True,True,True
2025-05-13,DOUBLE_WAVE,721,25,12,True,True,True,True
2025-04-10,DOUBLE_WAVE,721,25,12,True,True,True,True
2025-03-12,DOUBLE_WAVE,721,25,12,True,True,True,True
2025-02-12,SINGLE_WAVE_FORT,721,25,12,True,True,True,True
2025-01-15,DOUBLE_WAVE,721,25,12,True,True,True,True
2024-12-11,DOUBLE_WAVE,721,25,12,True,True,True,True
2024-11-13,DOUBLE_WAVE,721,25,0,True,True,False,False
2024-10-10,SINGLE_WAVE_STANDARD,721,25,12,True,True,True,True
2024-09-11,DOUBLE_WAVE,721,25,12,True,True,True,True
2024-08-14,SINGLE_WAVE_STANDARD,721,25,12,True,True,True,True
2024-07-11,DOUBLE_WAVE,721,25,12,True,True,True,True
2024-06-12,DOUBLE_WAVE,721,25,12,True,True,True,True
2024-05-15,DOUBLE_WAVE,721,25,0,True,True,False,False
2024-04-10,SINGLE_WAVE_FORT,721,0,12,True,False,True,False
2024-03-12,DOUBLE_WAVE,721,25,12,True,True,True,True
2024-02-13,SINGLE_WAVE_FORT,721,25,12,True,True,True,True
2024-01-11,DOUBLE_WAVE,721,25,12,True,True,True,True
