date,cluster_anchor_time,jaccard_similarity,n_events,n_core_events,impact_real,n_core_total
2024-10-04,2024-10-04 14:30:00+02:00,1.0,9,9,,
2023-01-06 00:00:00,2023-01-06 14:30:00+01:00,1.0,9,9,,9.0
2023-02-03 00:00:00,2023-02-03 14:30:00+01:00,1.0,9,9,,9.0
2023-03-10 00:00:00,2023-03-10 14:30:00+01:00,1.0,9,9,,9.0
2023-04-07 00:00:00,2023-04-07 14:30:00+02:00,1.0,9,9,,9.0
2023-06-02 00:00:00,2023-06-02 14:30:00+02:00,1.0,9,9,,9.0
2023-08-04 00:00:00,2023-08-04 14:30:00+02:00,0.9,10,9,,9.0
2023-10-06 00:00:00,2023-10-06 14:30:00+02:00,0.9,10,9,,9.0
2023-11-03 00:00:00,2023-11-03 13:30:00+01:00,0.9,10,9,,9.0
2023-12-08 00:00:00,2023-12-08 14:30:00+01:00,0.9,10,9,,9.0
2024-02-02 00:00:00,2024-02-02 14:30:00+01:00,0.9,10,9,,9.0
2024-03-08 00:00:00,2024-03-08 14:30:00+01:00,0.9,10,9,,9.0
2024-04-05 00:00:00,2024-04-05 14:30:00+02:00,0.9,10,9,,9.0
2024-05-03 00:00:00,2024-05-03 14:30:00+02:00,0.9,10,9,,9.0
2024-06-07 00:00:00,2024-06-07 14:30:00+02:00,0.9,10,9,,9.0
2024-08-02 00:00:00,2024-08-02 14:30:00+02:00,0.9,10,9,,9.0
2024-09-06 00:00:00,2024-09-06 14:30:00+02:00,0.9,10,9,,9.0
2023-05-05 00:00:00,2023-05-05 14:30:00+02:00,0.8181818181818182,11,9,,9.0
2023-07-07 00:00:00,2023-07-07 14:30:00+02:00,0.8181818181818182,11,9,,9.0
2023-09-01 00:00:00,2023-09-01 12:30:00+02:00,0.8181818181818182,11,9,,9.0
2024-07-05 00:00:00,2024-07-05 12:30:00+02:00,0.8181818181818182,11,9,,9.0
2024-01-05 00:00:00,2024-01-05 14:30:00+01:00,0.7272727272727273,10,8,,9.0
