name,factor_up,factor_down,exit_pct,total_gain,global_efficiency,all_reachable,capped_count,gain_per_trade
Facteurs ×1.2/×1.2,1.9008,1.3619999999999999,0.8,578.8652976098763,72.56679172745106,True,9,41.34752125784831
Exit 95%,1.584,1.135,0.95,576.9004276558754,72.32047482209806,True,9,41.2071734039911
"Optimisé (×1.450/×1.394, 90%)",1.4501469773694307,1.393779176053932,0.9,567.7670694944387,71.17551328750653,True,3,40.55479067817419
Facteurs ×1.2/×1.1,1.9008,1.2485000000000002,0.8,563.1463379778703,70.59625648462719,True,9,40.22473842699073
Facteurs ×1.1/×1.2,1.7424000000000002,1.3619999999999999,0.8,557.2930256650116,69.86248284630969,True,3,39.80664469035797
Exit 90%,1.584,1.135,0.9,551.946203897392,69.19220307100325,True,3,39.42472884981372
Facteurs ×1.2/×1.0,1.9008,1.135,0.8,547.4273783458642,68.62572124180332,True,9,39.10195559613316
Facteurs ×1.1/×1.1,1.7424000000000002,1.2485000000000002,0.8,541.5740660330056,67.89194760348582,True,3,38.6838618595004
"Optimisé (×1.450/×1.394, 85%)",1.4501469773694307,1.393779176053932,0.85,540.9577878558588,67.81469071779611,True,3,38.6398419897042
Facteurs ×1.0/×1.2,1.584,1.3619999999999999,0.8,531.5234338394719,66.6319962190639,True,3,37.96595955996228
Exit 85%,1.584,1.135,0.85,526.0158592364259,65.94156440220968,True,3,37.57256137403042
Facteurs ×1.1/×1.0,1.7424000000000002,1.135,0.8,525.8551064009994,65.92141236066192,True,3,37.561079028642816
Facteurs ×1.0/×1.1,1.584,1.2485000000000002,0.8,515.8044742074658,64.66146097624001,True,3,36.8431767291047
"Optimisé (×1.450/×1.394, 80%)",1.4501469773694307,1.393779176053932,0.8,513.5244492947439,64.37563611567566,True,2,36.68031780676743
Exit 80%,1.584,1.135,0.8,500.0855145754597,62.69092573341612,True,3,35.72039389824712
Facteurs ×1.0/×1.0,1.584,1.135,0.8,500.0855145754597,62.69092573341612,True,3,35.72039389824712
