date,method,component,error_minutes
2025-10-24,M1_uniquement,wave1,0.0
2025-10-24,M1_uniquement,pullback,0.0
2025-10-24,M1_uniquement,wave2,0.0
2025-10-24,M5+M1,wave1,0.0
2025-10-24,M5+M1,pullback,0.0
2025-10-24,M5+M1,wave2,43.0
2025-09-11,M1_uniquement,wave1,0.0
2025-09-11,M1_uniquement,pullback,0.0
2025-09-11,M1_uniquement,wave2,0.0
2025-09-11,M5+M1,wave1,34.0
2025-09-11,M5+M1,pullback,0.0
2025-09-11,M5+M1,wave2,58.0
2025-08-12,M1_uniquement,wave1,0.0
2025-08-12,M1_uniquement,pullback,0.0
2025-08-12,M1_uniquement,wave2,0.0
2025-08-12,M5+M1,wave1,14.0
2025-08-12,M5+M1,pullback,18.0
2025-08-12,M5+M1,wave2,61.0
2025-07-15,M1_uniquement,wave1,0.0
2025-07-15,M1_uniquement,pullback,0.0
2025-07-15,M1_uniquement,wave2,0.0
2025-06-11,M1_uniquement,wave1,0.0
2025-06-11,M1_uniquement,pullback,0.0
2025-06-11,M1_uniquement,wave2,0.0
2025-06-11,M5+M1,wave1,0.0
2025-06-11,M5+M1,pullback,0.0
2025-06-11,M5+M1,wave2,58.0
2025-05-13,M1_uniquement,wave1,0.0
2025-05-13,M1_uniquement,pullback,0.0
2025-05-13,M1_uniquement,wave2,0.0
2025-04-10,M1_uniquement,wave1,0.0
2025-04-10,M1_uniquement,pullback,0.0
2025-04-10,M1_uniquement,wave2,0.0
2025-04-10,M5+M1,wave1,84.0
2025-04-10,M5+M1,pullback,60.0
2025-04-10,M5+M1,wave2,17.0
2025-03-12,M1_uniquement,wave1,0.0
2025-03-12,M1_uniquement,pullback,0.0
2025-03-12,M1_uniquement,wave2,0.0
2025-01-15,M1_uniquement,wave1,0.0
2025-01-15,M1_uniquement,pullback,0.0
2025-01-15,M1_uniquement,wave2,0.0
2025-01-15,M5+M1,wave1,0.0
2025-01-15,M5+M1,pullback,22.0
2025-01-15,M5+M1,wave2,0.0
2024-12-11,M1_uniquement,wave1,0.0
2024-12-11,M1_uniquement,pullback,0.0
2024-12-11,M1_uniquement,wave2,0.0
2024-12-11,M5+M1,wave1,44.0
2024-12-11,M5+M1,pullback,10.0
2024-12-11,M5+M1,wave2,14.0
2024-11-13,M1_uniquement,wave1,0.0
2024-11-13,M1_uniquement,pullback,0.0
2024-11-13,M1_uniquement,wave2,0.0
2024-09-11,M1_uniquement,wave1,0.0
2024-09-11,M1_uniquement,pullback,0.0
2024-09-11,M1_uniquement,wave2,0.0
2024-09-11,M5+M1,wave1,138.0
2024-07-11,M1_uniquement,wave1,0.0
2024-07-11,M1_uniquement,pullback,0.0
2024-07-11,M1_uniquement,wave2,0.0
2024-07-11,M5+M1,wave1,18.0
2024-07-11,M5+M1,pullback,76.0
2024-07-11,M5+M1,wave2,75.0
2024-06-12,M1_uniquement,wave1,0.0
2024-06-12,M1_uniquement,pullback,0.0
2024-06-12,M1_uniquement,wave2,0.0
2024-05-15,M1_uniquement,wave1,0.0
2024-05-15,M1_uniquement,pullback,0.0
2024-05-15,M1_uniquement,wave2,0.0
2024-03-12,M1_uniquement,wave1,0.0
2024-03-12,M1_uniquement,pullback,0.0
2024-03-12,M1_uniquement,wave2,0.0
2024-03-12,M5+M1,wave1,79.0
2024-03-12,M5+M1,pullback,35.0
2024-03-12,M5+M1,wave2,0.0
2024-01-11,M1_uniquement,wave1,0.0
2024-01-11,M1_uniquement,pullback,0.0
2024-01-11,M1_uniquement,wave2,0.0
2024-01-11,M5+M1,wave1,102.0
