date,method,component,error_minutes
2025-09-11,M1_uniquement,wave1,0.0
2025-09-11,M1_uniquement,pullback,0.0
2025-09-11,M1_uniquement,wave2,0.0
2025-09-11,M5+M1,wave1,34.0
2025-09-11,M5+M1,pullback,0.0
2025-09-11,M5+M1,wave2,58.0
2024-09-11,M1_uniquement,wave1,0.0
2024-09-11,M1_uniquement,pullback,0.0
2024-09-11,M1_uniquement,wave2,0.0
2024-09-11,M5+M1,wave1,138.0
2025-08-12,M1_uniquement,wave1,0.0
2025-08-12,M1_uniquement,pullback,0.0
2025-08-12,M1_uniquement,wave2,0.0
2025-08-12,M5+M1,wave1,14.0
2025-08-12,M5+M1,pullback,18.0
2025-08-12,M5+M1,wave2,61.0
