date,trend_exists,trend_candle_count_m1,trend_pips_per_candle_m1,distance_to_support_pips,distance_to_resistance_pips,distance_to_directional_barrier_pips,support_level,resistance_level,directional_barrier_level,atr_window_pips,support_resistance_window_hours
2025-10-24,True,7539.0,-0.020095503382411457,0.0,0.0,0.0,1.16128,1.16128,1.16128,1.1419369894982185,72.0
2025-09-11,True,3272.0,-0.03542176039119801,0.10000000000065512,3.0999999999981043,0.10000000000065512,1.16822,1.16854,1.16822,5.967361111111039,72.0
2025-08-12,True,3611.0,-0.024702298532262638,0.0,0.0,0.0,1.16053,1.16053,1.16053,1.294387755102009,72.0
2025-07-15,True,7062.0,0.007774001699235337,0.0,0.10000000000065512,0.10000000000065512,1.16658,1.16659,1.16659,5.742038216560408,72.0
2025-06-11,False,,,,,,,,,,
2025-05-13,True,6758.0,-0.04674459899378516,15.899999999999803,0.8000000000008001,15.899999999999803,1.11147,1.11314,1.11147,21.248717948718177,72.0
2025-04-10,False,,,,,,,,,,
2025-03-12,True,11168.0,0.05188037249283657,0.0,13.999999999998458,13.999999999998458,1.08824,1.08964,1.08964,17.861538461538476,72.0
2025-01-15,True,3127.0,0.041733290693955885,0.5999999999994898,0.2999999999997449,0.2999999999997449,1.03025,1.03034,1.03034,6.813095238095225,72.0
2024-12-11,True,2710.0,-0.03959409594095906,0.1999999999990898,0.0,0.1999999999990898,1.05152,1.05154,1.05152,1.4697963501719322,72.0
2024-11-13,True,5608.0,-0.04126248216833124,0.9999999999998899,0.0,0.9999999999998899,1.06256,1.06266,1.06256,6.183464566929203,72.0
2024-09-11,True,4251.0,-0.03300399905904542,0.0,0.0,0.0,1.1043,1.1043,1.1043,4.199604743082993,72.0
2024-07-11,True,10008.0,0.014788169464428605,0.0,0.0,0.0,1.0848,1.0848,1.0848,0.7667770941789138,72.0
2024-06-12,True,9232.0,-0.02127383015597907,0.0,0.0,0.0,1.07672,1.07672,1.07672,0.9842077230359809,72.0
2024-05-15,True,5728.0,0.01932611731843599,0.09999999999843467,0.20000000000131024,0.20000000000131024,1.08312,1.08315,1.08315,1.9349896480330824,72.0
2024-03-12,True,2918.0,-0.02494859492803274,5.20000000000076,3.2999999999994145,5.20000000000076,1.09099,1.09184,1.09099,3.6097560975609033,72.0
2024-01-11,True,2695.0,0.02946196660482396,0.09999999999843467,0.2999999999997449,0.2999999999997449,1.09878,1.09882,1.09882,2.8872389791183526,72.0
