date,impact_real,impact_pred_baseline,error_baseline,amp_parfaite,error_parfait,r_squared,duration_hours,amplitude_pips,direction,score_composite,slope_pips_per_hour,volatility_std
2025-10-15,5.800,56.259,50.459,0.500,5.452,0.080,5.769,100.400,UP,35.609,0.382,24.675
2025-09-11,57.100,56.259,0.841,2.537,0.000,0.742,72.000,114.300,DOWN,89.689,-1.173,28.216
2025-08-12,62.600,56.259,6.341,2.782,0.000,0.572,72.000,84.700,DOWN,78.293,-1.477,22.120
2025-07-15,24.700,56.259,31.559,1.098,0.000,0.008,0.597,42.500,DOWN,13.331,-0.076,9.434
2025-06-11,53.900,56.259,2.359,2.395,0.000,0.132,9.532,71.300,UP,30.657,0.241,12.119
2025-05-13,34.800,56.259,21.459,1.546,0.000,0.553,72.000,175.400,DOWN,82.140,-3.578,54.835
2025-04-10,40.200,56.259,16.059,1.786,0.000,0.366,72.000,212.500,UP,74.650,1.428,48.895
2025-02-12,5.000,56.259,51.259,0.500,6.252,0.661,72.000,95.600,UP,85.107,1.129,25.401
2025-01-15,49.900,56.259,6.359,2.217,0.000,0.754,72.000,135.600,UP,90.149,1.754,36.908
2024-12-11,21.600,56.259,34.659,0.960,0.000,0.613,72.000,105.000,DOWN,84.521,-0.977,22.818
2024-11-13,26.400,56.259,29.859,1.173,0.000,0.770,72.000,133.500,DOWN,90.817,-1.709,35.666
2024-10-10,22.400,56.259,33.859,0.995,0.000,0.782,72.000,67.300,DOWN,81.468,-0.765,17.950
2024-09-11,0.000,56.259,56.259,0.500,11.252,0.460,72.000,75.600,DOWN,71.073,-0.693,18.639
2024-08-14,18.700,56.259,37.559,0.831,0.000,0.804,72.000,117.800,UP,92.148,1.693,34.446
2024-07-11,51.400,56.259,4.859,2.284,0.000,0.102,7.309,51.800,UP,22.646,0.155,9.954
2024-06-12,77.700,56.259,21.441,3.453,0.000,0.277,19.927,60.400,DOWN,37.493,-0.406,13.984
2024-05-15,37.900,56.259,18.359,1.684,0.000,0.838,72.000,69.400,UP,84.323,0.991,19.661
2024-04-10,0.100,56.259,56.159,0.500,11.152,0.459,72.000,63.300,UP,67.334,0.479,12.886
2024-03-12,7.300,56.259,48.959,0.500,3.952,0.251,18.083,38.200,DOWN,29.041,-0.316,7.344
2024-02-13,6.500,56.259,49.759,0.500,4.752,0.426,72.000,48.200,DOWN,61.492,-0.647,11.261
2024-02-09,23.300,56.259,32.959,1.035,0.000,0.380,72.000,59.700,UP,63.104,0.333,11.198
2024-01-11,11.000,56.259,45.259,0.500,0.252,0.159,11.413,78.600,UP,34.676,0.343,17.874
2023-12-12,17.800,56.259,38.459,0.791,0.000,0.306,72.000,68.100,UP,62.656,0.636,13.060
2023-11-14,117.400,56.259,61.141,5.000,4.882,0.562,72.000,64.800,UP,71.901,0.809,12.241
2023-10-12,1.400,56.259,54.859,0.500,9.852,0.802,72.000,115.300,UP,92.076,1.083,25.048
2023-09-13,23.300,56.259,32.959,1.035,0.000,0.129,9.289,58.300,UP,26.521,0.275,13.981
2023-08-10,35.300,56.259,20.959,1.569,0.000,0.001,0.076,99.000,UP,29.773,0.031,20.019
2023-07-12,81.400,56.259,25.141,3.617,0.000,0.740,72.000,92.300,UP,87.293,1.196,25.269
2023-06-13,27.300,56.259,28.959,1.213,0.000,0.632,72.000,76.400,UP,78.201,1.373,19.548
2023-06-13,27.300,56.259,28.959,1.213,0.000,0.632,72.000,76.400,UP,78.201,1.373,19.548
2023-06-13,27.300,56.259,28.959,1.213,0.000,0.632,72.000,76.400,UP,78.201,1.373,19.548
2023-06-13,27.300,56.259,28.959,1.213,0.000,0.632,72.000,76.400,UP,78.201,1.373,19.548
