date,impact_real,base_score_real,surprise_real,num_events_real,adjusted_score,impact_pred_baseline,error_baseline,amp_parfaite,error_parfait,trend_type_optimized,trend_reversal_datetime,trend_reversal_price,trend_duration_optimized,trend_amplitude_optimized,trend_r2_optimized,trend_direction,trend_end_price,trend_strength_score,is_outlier_low,is_outlier_high,is_outlier
2025-10-15,5.8,44.66,0.0,10,44.66,20.528,14.728,0.706,0.0,LOW_TO_HIGH,2025-10-10 11:59:00+02:00,1.15612,120.5,100.40000000000047,0.0449649315023345,UP,1.16264,61.79859726009338,False,False,False
2025-09-11,57.1,44.31,200.0,11,84.189,56.259,0.841,2.537,0.0,HIGH_TO_LOW,2025-09-09 05:56:00+02:00,1.178,54.55,114.29999999999828,0.6377126484848682,DOWN,1.16874,85.50850593939472,False,False,False
2025-08-12,62.6,44.31,233.33,11,84.189,56.259,6.341,2.782,0.0,HIGH_TO_LOW,2025-08-08 00:00:00+02:00,1.16788,108.48333333333332,87.99999999999919,0.5917526766668905,DOWN,1.16056,83.67010706667563,False,False,False
2025-07-15,24.7,44.31,233.33,11,84.189,56.259,31.559,1.098,0.0,HIGH_TO_LOW,2025-07-07 00:16:00+02:00,1.17894,204.21666666666667,134.40000000000117,0.7020617510432371,DOWN,1.16668,88.08247004172948,False,False,False
2025-06-11,53.9,44.31,66.67,11,84.189,56.259,2.359,2.395,0.0,HIGH_TO_LOW,2025-06-06 01:45:00+02:00,1.14477,130.73333333333332,75.60000000000011,0.0447374884156086,DOWN,1.14358,60.139499536624385,False,False,False
2025-05-13,34.8,44.31,116.67,11,84.189,56.259,21.459,1.546,0.0,HIGH_TO_LOW,2025-05-07 08:43:00+02:00,1.13736,147.76666666666668,306.49999999999847,0.8564353497355963,DOWN,1.11141,94.25741398942384,False,False,False
2025-04-10,40.2,44.31,200.0,11,84.189,56.259,16.059,1.786,0.0,HIGH_TO_LOW,2025-04-04 05:27:00+02:00,1.11074,151.03333333333333,223.5000000000009,0.0402137185866275,DOWN,1.11037,61.6085487434651,False,False,False
2025-02-12,5.0,43.8,66.67,8,83.22,55.383,50.383,0.5,6.077,LOW_TO_HIGH,2025-02-09 21:01:00+01:00,1.02896,63.46666666666667,95.60000000000014,0.6604511499777272,UP,1.03696,86.4180459991091,False,False,False
2025-01-15,49.9,44.31,200.0,11,84.189,56.259,6.359,2.217,0.0,LOW_TO_HIGH,2025-01-13 08:27:00+01:00,1.018,52.03333333333333,135.60000000000016,0.8878957353244481,UP,1.03048,95.51582941297792,False,False,False
2024-12-11,21.6,44.82,0.05,9,44.82,20.673,0.927,2.612,0.0,HIGH_TO_LOW,2024-12-06 12:39:00+01:00,1.06222,119.83333333333331,134.19999999999987,0.6032765276640554,DOWN,1.05159,84.13106110656221,False,False,False
2024-11-13,26.4,44.31,0.05,11,44.31,20.212,6.188,3.265,0.0,HIGH_TO_LOW,2024-11-05 22:56:00+01:00,1.09369,181.55,342.9000000000015,0.6938140935472581,DOWN,1.06277,87.75256374189033,False,False,False
2024-10-10,22.4,44.82,100.0,9,85.158,57.135,34.735,0.98,0.0,HIGH_TO_LOW,2024-10-02 08:39:00+02:00,1.10823,195.83333333333337,153.6000000000004,0.8293865201280416,DOWN,1.09329,93.17546080512167,False,False,False
2024-09-11,0.0,44.82,50.0,9,85.158,57.135,57.135,0.5,11.427,LOW_TO_HIGH,2024-09-09 11:31:00+02:00,1.10373,48.96666666666667,39.29999999999989,0.0270677229043855,UP,1.10444,45.820208916175375,False,False,False
