date,impact_real,base_score_real,surprise_real,num_events_real,adjusted_score,impact_pred_baseline,error_baseline,amp_parfaite,error_parfait
2025-10-15,5.800,44.660,0.000,10,44.660,20.528,14.728,0.706,0.000
2025-09-11,57.100,44.310,200.000,11,84.189,56.259,0.841,2.537,0.000
2025-08-12,62.600,44.310,233.330,11,84.189,56.259,6.341,2.782,0.000
2025-07-15,24.700,44.310,233.330,11,84.189,56.259,31.559,1.098,0.000
2025-06-11,53.900,44.310,66.670,11,84.189,56.259,2.359,2.395,0.000
2025-05-13,34.800,44.310,116.670,11,84.189,56.259,21.459,1.546,0.000
2025-04-10,40.200,44.310,200.000,11,84.189,56.259,16.059,1.786,0.000
2025-02-12,5.000,43.800,66.670,8,83.220,55.383,50.383,0.500,6.077
2025-01-15,49.900,44.310,200.000,11,84.189,56.259,6.359,2.217,0.000
2024-12-11,21.600,44.820,0.050,9,44.820,20.673,0.927,2.612,0.000
2024-11-13,26.400,44.310,0.050,11,44.310,20.212,6.188,3.265,0.000
2024-10-10,22.400,44.820,100.000,9,85.158,57.135,34.735,0.980,0.000
2024-09-11,0.000,44.820,50.000,9,85.158,57.135,57.135,0.500,11.427
2024-08-14,18.700,44.820,3.330,9,44.820,20.673,1.973,2.261,0.000
2024-07-11,51.400,44.820,200.000,9,85.158,57.135,5.735,2.249,0.000
2024-06-12,77.700,56.450,33.330,21,107.255,77.109,0.591,2.519,0.000
2024-05-15,37.900,44.660,25.000,8,78.899,51.478,13.578,1.841,0.000
2024-04-10,0.100,44.920,33.330,10,85.348,57.307,57.207,0.500,11.361
2024-03-12,7.300,44.820,33.330,9,85.158,57.135,49.835,0.500,4.127
2024-02-13,6.500,44.820,50.000,9,85.158,57.135,50.635,0.500,4.927
2024-02-09,23.300,44.380,0.230,6,44.380,20.275,3.025,2.873,0.000
2024-01-11,11.000,45.240,50.000,7,85.956,57.856,46.856,0.500,0.571
2023-12-12,17.800,44.820,0.100,9,44.820,20.673,2.873,2.153,0.000
2023-11-14,117.400,44.820,33.330,9,85.158,57.135,60.265,5.000,3.130
2023-10-12,1.400,44.820,33.330,9,85.158,57.135,55.735,0.500,10.027
2023-09-13,23.300,44.820,50.000,9,85.158,57.135,33.835,1.020,0.000
2023-08-10,35.300,44.820,3.030,9,44.820,20.673,14.627,4.269,0.000
2023-07-12,81.400,44.820,33.330,9,85.158,57.135,24.265,3.562,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
2023-06-13,27.300,44.780,50.000,10,85.082,57.066,29.766,1.196,0.000
