event_date,event_hour,num_events,avg_score,min_score
2025-10-17,2025-10-17 14:00:00+02:00,10,60.992502433146925,57.69826407074845
2025-10-15,2025-10-15 14:00:00+02:00,10,44.66269482192716,42.012728389432944
2025-10-03,2025-10-03 14:00:00+02:00,9,61.999070439578986,59.90047788837122
2025-10-01,2025-10-01 16:00:00+02:00,6,95.01085819288018,92.51628728932027
2025-09-17,2025-09-17 20:00:00+02:00,13,63.67829035395111,45.77832801413763
2025-09-11,2025-09-11 14:00:00+02:00,11,44.30998119579335,40.7828449344552
2025-09-05,2025-09-05 14:00:00+02:00,12,61.455776527094514,57.69826407074845
2025-09-02,2025-09-02 16:00:00+02:00,6,95.01085819288018,92.51628728932027
2025-08-12,2025-08-12 14:00:00+02:00,11,44.30998119579335,40.7828449344552
2025-08-01,2025-08-01 14:00:00+02:00,9,61.999070439578986,59.90047788837122
2025-08-01,2025-08-01 16:00:00+02:00,6,95.01085819288018,92.51628728932027
2025-07-15,2025-07-15 14:00:00+02:00,11,44.30998119579335,40.7828449344552
2025-07-03,2025-07-03 14:00:00+02:00,12,61.455776527094514,57.69826407074845
2025-07-01,2025-07-01 16:00:00+02:00,6,95.01085819288018,92.51628728932027
2025-06-18,2025-06-18 20:00:00+02:00,11,61.49049447769542,45.77832801413763
2025-06-11,2025-06-11 14:00:00+02:00,11,44.30998119579335,40.7828449344552
2025-06-06,2025-06-06 14:00:00+02:00,12,61.455776527094514,57.69826407074845
2025-06-02,2025-06-02 16:00:00+02:00,6,95.01085819288018,92.51628728932027
2025-05-13,2025-05-13 14:00:00+02:00,11,44.30998119579335,40.7828449344552
2025-05-02,2025-05-02 14:00:00+02:00,12,61.45577652709452,57.69826407074845
2025-05-01,2025-05-01 16:00:00+02:00,6,95.01085819288018,92.51628728932027
2025-04-10,2025-04-10 14:00:00+02:00,11,44.30998119579335,40.7828449344552
2025-04-04,2025-04-04 14:00:00+02:00,10,61.21272381490921,59.90047788837122
2025-04-01,2025-04-01 16:00:00+02:00,6,95.01085819288018,92.51628728932027
2025-03-19,2025-03-19 19:00:00+01:00,11,61.49049447769542,45.77832801413763
2025-03-12,2025-03-12 13:00:00+01:00,5,43.351877041798716,40.7828449344552
2025-03-07,2025-03-07 14:00:00+01:00,8,61.29347723136465,59.90047788837122
2025-03-03,2025-03-03 16:00:00+01:00,6,95.01085819288018,92.51628728932027
2025-02-12,2025-02-12 14:00:00+01:00,8,43.79989832281229,40.7828449344552
2025-02-07,2025-02-07 14:00:00+01:00,8,61.29347723136465,59.90047788837122
