event_date,price_start,impact_real,direction,peak_time,ttr_minutes
2025-10-15,1.16264,14.899999999999913,DOWN,2025-10-15 13:03:00+02:00,33.0
2025-09-11,1.16874,56.80000000000129,UP,2025-09-11 14:19:00+02:00,109.0
2025-08-12,1.16056,54.3999999999989,UP,2025-08-12 14:05:00+02:00,95.0
2025-07-15,1.16668,44.599999999999085,DOWN,2025-07-15 14:29:00+02:00,119.0
2025-06-11,1.14358,52.799999999999514,UP,2025-06-11 12:36:00+02:00,6.0
2025-05-13,1.11141,34.399999999998876,UP,2025-05-13 13:37:00+02:00,67.0
2025-04-10,1.11037,39.39999999999833,UP,2025-04-10 14:23:00+02:00,113.0
2025-03-12,1.0892,28.200000000000447,UP,2025-03-12 14:26:00+01:00,116.0
2025-02-12,1.03696,51.70000000000119,DOWN,2025-02-12 12:40:00+01:00,10.0
2025-01-15,1.03048,44.899999999998826,UP,2025-01-15 12:32:00+01:00,2.0
2024-12-11,1.05159,22.599999999999287,DOWN,2024-12-11 14:02:00+01:00,92.0
2024-11-13,1.06277,69.20000000000037,DOWN,2024-11-13 14:07:00+01:00,97.0
2024-10-10,1.09329,20.299999999999763,UP,2024-10-10 12:32:00+02:00,2.0
2024-09-11,1.10444,39.100000000000804,DOWN,2024-09-11 14:26:00+02:00,116.0
2024-08-14,1.10255,19.899999999999363,DOWN,2024-08-14 12:32:00+02:00,2.0
2024-07-11,1.08487,48.90000000000061,UP,2024-07-11 13:11:00+02:00,41.0
2024-05-15,1.08318,33.199999999999896,UP,2024-05-15 13:14:00+02:00,44.0
2024-04-10,1.08643,118.00000000000033,DOWN,2024-04-10 14:04:00+02:00,94.0
2024-03-12,1.09152,11.900000000000244,DOWN,2024-03-12 12:39:00+01:00,9.0
2024-02-13,1.07933,91.39999999999927,DOWN,2024-02-13 13:05:00+01:00,35.0
2024-02-09,1.0772,22.500000000000853,UP,2024-02-09 13:14:00+01:00,44.0
2024-01-11,1.09892,58.19999999999936,DOWN,2024-01-11 14:14:00+01:00,104.0
