date,impact_real,base_score_real,surprise_real,num_events_real,events_found
2025-10-15,5.80,44.66,0.00,10,10
2025-09-11,57.10,44.31,200.00,11,11
2025-08-12,62.60,44.31,233.33,11,11
2025-07-15,24.70,44.31,233.33,11,11
2025-06-11,53.90,44.31,66.67,11,11
2025-05-13,34.80,44.31,116.67,11,11
2025-04-10,40.20,44.31,200.00,11,11
2025-02-12,5.00,43.80,66.67,8,8
2025-01-15,49.90,44.31,200.00,11,11
2024-12-11,21.60,44.82,0.05,9,9
2024-11-13,26.40,44.31,0.05,11,11
2024-10-10,22.40,44.82,100.00,9,9
2024-09-11,0.00,44.82,50.00,9,9
2024-08-14,18.70,44.82,3.33,9,9
2024-07-11,51.40,44.82,200.00,9,9
2024-06-12,77.70,56.45,33.33,21,21
2024-05-15,37.90,44.66,25.00,8,8
2024-04-10,0.10,44.92,33.33,10,10
2024-03-12,7.30,44.82,33.33,9,9
2024-02-13,6.50,44.82,50.00,9,9
2024-02-09,23.30,44.38,0.23,6,6
2024-01-11,11.00,45.24,50.00,7,7
2023-12-12,17.80,44.82,0.10,9,9
2023-11-14,117.40,44.82,33.33,9,9
2023-10-12,1.40,44.82,33.33,9,9
2023-09-13,23.30,44.82,50.00,9,9
2023-08-10,35.30,44.82,3.03,9,9
2023-07-12,81.40,44.82,33.33,9,9
2023-06-13,27.30,44.78,50.00,10,10
2023-06-13,27.30,44.78,50.00,10,10
2023-06-13,27.30,44.78,50.00,10,10
2023-06-13,27.30,44.78,50.00,10,10
