event_date,num_events,num_families,max_score,avg_score,num_consumer,num_employment,num_inflation,families,primary_type
2025-10-29,1,1,48.517963191030475,48.517963191030475,0.0,0.0,0.0,Interest Rates,OTHER
2025-10-24,1,1,63.305740150233156,63.305740150233156,0.0,0.0,0.0,Manufacturing,OTHER
2025-10-17,10,2,61.492477137506555,60.992502433146925,0.0,6.0,0.0,Employment|Other,EMPLOYMENT
2025-10-15,10,2,46.131002713643156,44.66269482192716,0.0,0.0,9.0,Inflation|Other,INFLATION
2025-10-14,1,1,100.0,100.0,1.0,0.0,0.0,Consumer,CONSUMER
2025-10-08,1,1,45.77832801413763,45.77832801413763,0.0,0.0,0.0,Interest Rates,OTHER
2025-10-03,9,2,67.6438161052937,61.999070439578986,0.0,6.0,0.0,Employment|Other,EMPLOYMENT
2025-10-01,8,3,100.0,87.08457868221844,2.0,1.0,0.0,Consumer|Manufacturing|Employment,EMPLOYMENT
2025-09-23,2,1,63.305740150233156,63.30574015023315,0.0,0.0,0.0,Manufacturing,OTHER
2025-09-17,13,1,75.71116767335741,63.67829035395111,0.0,0.0,0.0,Interest Rates,OTHER
2025-09-11,11,2,46.131002713643156,44.30998119579335,0.0,0.0,9.0,Other|Inflation,INFLATION
2025-09-05,12,2,67.6438161052937,61.45577652709451,0.0,7.0,0.0,Other|Employment,EMPLOYMENT
2025-09-02,8,3,100.0,87.08457868221844,2.0,1.0,0.0,Consumer|Manufacturing|Employment,EMPLOYMENT
2025-08-21,2,1,63.305740150233156,63.30574015023315,0.0,0.0,0.0,Manufacturing,OTHER
2025-08-12,11,2,46.131002713643156,44.30998119579335,0.0,0.0,9.0,Other|Inflation,INFLATION
2025-08-01,17,4,100.0,73.8040154949387,2.0,7.0,0.0,Manufacturing|Employment|Other|Consumer,EMPLOYMENT
2025-07-15,11,2,46.131002713643156,44.30998119579335,0.0,0.0,9.0,Inflation|Other,INFLATION
2025-07-03,12,2,67.6438161052937,61.45577652709451,0.0,7.0,0.0,Other|Employment,EMPLOYMENT
2025-07-01,8,3,100.0,87.08457868221844,2.0,1.0,0.0,Consumer|Manufacturing|Employment,EMPLOYMENT
2025-06-11,11,2,46.131002713643156,44.30998119579335,0.0,0.0,9.0,Other|Inflation,INFLATION
2025-06-06,12,2,67.6438161052937,61.45577652709451,0.0,7.0,0.0,Other|Employment,EMPLOYMENT
2025-06-02,8,3,100.0,87.08457868221844,2.0,1.0,0.0,Consumer|Employment|Manufacturing,EMPLOYMENT
2025-05-13,11,2,46.131002713643156,44.30998119579335,0.0,0.0,9.0,Other|Inflation,INFLATION
2025-05-02,12,2,67.6438161052937,61.45577652709451,0.0,7.0,0.0,Other|Employment,EMPLOYMENT
2025-05-01,8,3,100.0,87.08457868221844,2.0,1.0,0.0,Consumer|Employment|Manufacturing,EMPLOYMENT
2025-04-10,11,2,46.131002713643156,44.30998119579335,0.0,0.0,9.0,Other|Inflation,INFLATION
2025-04-04,10,2,61.492477137506555,61.212723814909204,0.0,5.0,0.0,Other|Employment,EMPLOYMENT
2025-04-01,8,3,100.0,87.08457868221844,2.0,1.0,0.0,Consumer|Employment|Manufacturing,EMPLOYMENT
2025-03-12,5,2,45.13412286023265,43.35187704179871,0.0,0.0,4.0,Inflation|Other,INFLATION
2025-03-07,8,2,61.492477137506555,61.29347723136465,0.0,5.0,0.0,Other|Employment,EMPLOYMENT
2025-03-03,8,3,100.0,87.08457868221844,2.0,1.0,0.0,Consumer|Employment|Manufacturing,EMPLOYMENT
2025-02-07,8,2,61.492477137506555,61.29347723136465,0.0,5.0,0.0,Other|Employment,EMPLOYMENT
2025-02-03,8,3,100.0,87.08457868221844,2.0,1.0,0.0,Consumer|Manufacturing|Employment,EMPLOYMENT
2025-01-10,10,2,61.492477137506555,61.212723814909204,0.0,5.0,0.0,Other|Employment,EMPLOYMENT
2025-01-03,4,2,92.51628728932027,92.51628728932027,0.0,1.0,0.0,Employment|Manufacturing,EMPLOYMENT
2025-01-02,4,2,100.0,81.65287007511657,2.0,0.0,0.0,Manufacturing|Consumer,CONSUMER
2024-12-06,8,2,61.492477137506555,61.29347723136465,0.0,5.0,0.0,Other|Employment,EMPLOYMENT
2024-12-02,8,3,100.0,87.08457868221844,2.0,1.0,0.0,Manufacturing|Employment|Consumer,EMPLOYMENT
2024-11-01,17,4,100.0,72.63141065767519,2.0,6.0,0.0,Other|Employment|Manufacturing|Consumer,EMPLOYMENT
2024-10-04,12,2,67.6438161052937,61.455776527094514,0.0,7.0,0.0,Employment|Other,EMPLOYMENT
2024-10-01,8,3,100.0,87.08457868221844,2.0,1.0,0.0,Manufacturing|Employment|Consumer,EMPLOYMENT
2024-09-06,12,2,67.6438161052937,61.455776527094514,0.0,7.0,0.0,Employment|Other,EMPLOYMENT
2024-09-03,8,3,100.0,87.08457868221844,2.0,1.0,0.0,Consumer|Employment|Manufacturing,EMPLOYMENT
2024-08-02,12,2,67.6438161052937,61.455776527094514,0.0,7.0,0.0,Employment|Other,EMPLOYMENT
