event_key,actual,estimate,empirical_score,family,surprise,surprise_pct,score_adjusted,factor
inflation rate_yoy,2.9,2.9,46.13100271364315,Inflation,0.0,0.0,46.13100271364315,1.0
core inflation rate_yoy,3.1,3.1,45.85630258750297,Inflation,0.0,0.0,45.85630258750297,1.0
inflation rate_mom,0.4,0.3,45.70384828422969,Inflation,0.3333333333333335,33.33333333333335,86.83731174003641,1.9
cpi,323.98,323.89,45.13412286023265,Inflation,0.0002778721170768,0.02778721170768,45.13412286023265,1.0
core inflation rate_mom,0.3,0.3,45.02330127008234,Inflation,0.0,0.0,45.02330127008234,1.0
cpi s.a,323.364,323.0,44.69221083727704,Inflation,0.00112693498452,0.11269349845200001,44.69221083727704,1.0
inflation rate,2.9,2.9,44.414844512436375,Inflation,0.0,0.0,44.414844512436375,1.0
core inflation rate,0.3,0.3,44.414844512436375,Inflation,0.0,0.0,44.414844512436375,1.0
real earnings_mom,-0.1,,43.24374225199799,Other,,0.0,43.24374225199799,1.0
cpi s a,323.364,323.0,42.012728389432944,Inflation,0.00112693498452,0.11269349845200001,42.012728389432944,1.0
real earnings,-0.1,,40.7828449344552,Other,,0.0,40.7828449344552,1.0
