cluster_id,date,time,timestamp,num_events,score_mean,score_min,score_max,max_surprise,avg_surprise,num_surprises,completeness_pct,cluster_type,dominant_family,is_testable
2022-11-04_17:30,2022-11-04,17:30,2022-11-04 17:30:00+01:00,8,61.29347723136464,59.90047788837122,61.492477137506555,113.33333333333333,32.74074074074074,6,75.0,NFP,Employment,True
2022-11-11_21:00,2022-11-11,21:00,2022-11-11 21:00:00+01:00,5,24.01327815351321,23.7495601289988,24.07920765964181,9.687500000000004,7.882528011204479,3,60.0,CPI,Consumer,True
2022-11-16_19:30,2022-11-16,19:30,2022-11-16 19:30:00+01:00,5,27.977398659684418,27.12952123180804,28.542650278268667,349.99999999999994,162.5,4,80.0,Retail Sales,Consumer,True
2022-12-02_19:30,2022-12-02,19:30,2022-12-02 19:30:00+01:00,8,61.29347723136464,59.90047788837122,61.492477137506555,100.0,29.684274091024662,6,75.0,NFP,Employment,True
2022-12-09_21:00,2022-12-09,21:00,2022-12-09 21:00:00+01:00,4,25.780911680570107,24.07920765964181,30.886023743354997,37.50000000000001,15.192939244663386,3,75.0,CPI,Confidence,True
2022-12-15_14:30,2022-12-15,14:30,2022-12-15 14:30:00+01:00,7,27.225463660469984,26.035577298163243,28.542650278268667,500.0,184.5,4,57.14285714285714,Retail Sales,Consumer,True
2022-12-23_16:00,2022-12-23,16:00,2022-12-23 16:00:00+01:00,6,22.795400316385457,16.70601113074671,24.07920765964181,6.666666666666673,2.894822974558151,4,66.66666666666666,CPI,Consumer,True
2023-01-06_14:30,2023-01-06,14:30,2023-01-06 14:30:00+01:00,8,61.27428679630844,59.90047788837122,61.492477137506555,22.22222222222222,10.774046471720892,7,87.5,NFP,Employment,True
2023-01-13_21:00,2023-01-13,21:00,2023-01-13 21:00:00+01:00,3,23.969325149427476,23.7495601289988,24.07920765964181,6.776859504132222,5.4892700882005645,2,66.66666666666666,CPI,Consumer,True
2023-01-18_14:30,2023-01-18,14:30,2023-01-18 14:30:00+01:00,11,26.900521980016176,25.772522257896668,28.542650278268667,400.0,133.3147001490655,9,81.81818181818183,Retail Sales,Inflation,True
2023-02-03_14:30,2023-02-03,14:30,2023-02-03 14:30:00+01:00,6,61.05180884658591,59.90047788837122,61.492477137506555,179.45945945945948,62.75670699086381,5,83.33333333333334,NFP,Other,True
2023-02-03_19:30,2023-02-03,19:30,2023-02-03 19:30:00+01:00,5,61.14337259158957,59.90047788837122,61.492477137506555,216.66666666666666,56.71834625322998,4,80.0,NFP,Employment,True
2023-02-10_21:00,2023-02-10,21:00,2023-02-10 21:00:00+01:00,5,24.01327815351321,23.7495601289988,24.07920765964181,6.764705882352932,3.290815702580409,3,60.0,CPI,Consumer,True
2023-02-15_19:30,2023-02-15,19:30,2023-02-15 19:30:00+01:00,8,27.68147507248376,21.671326457943184,35.00725344868514,187.49999999999994,127.36111111111107,4,50.0,Retail Sales,Consumer,True
2023-02-24_21:00,2023-02-24,21:00,2023-02-24 21:00:00+01:00,6,22.795400316385457,16.70601113074671,24.07920765964181,8.064516129032265,3.859384481125952,4,66.66666666666666,CPI,Consumer,True
2023-03-10_19:30,2023-03-10,19:30,2023-03-10 19:30:00+01:00,10,61.212723814909204,59.90047788837122,61.492477137506555,133.33333333333331,35.77460289004149,8,80.0,NFP,Employment,True
2023-03-14_17:30,2023-03-14,17:30,2023-03-14 17:30:00+01:00,9,44.82035621858594,42.012728389432944,46.131002713643156,24.999999999999993,3.5723782300263065,7,77.77777777777779,CPI,Inflation,True
2023-03-15_17:30,2023-03-15,17:30,2023-03-15 17:30:00+01:00,14,27.223355140362496,21.671326457943184,35.00725344868514,207.50000000000003,61.453782842671735,9,64.28571428571429,Retail Sales,Consumer,True
2023-04-07_18:30,2023-04-07,18:30,2023-04-07 18:30:00+02:00,10,61.212723814909204,59.90047788837122,61.492477137506555,120.0,17.63338112778452,8,80.0,NFP,Employment,True
2023-04-12_18:30,2023-04-12,18:30,2023-04-12 18:30:00+02:00,9,44.82035621858594,42.012728389432944,46.131002713643156,50.0,11.611843285476915,9,100.0,CPI,Inflation,True
2023-04-14_18:30,2023-04-14,18:30,2023-04-14 18:30:00+02:00,13,27.384143032545545,21.671326457943184,28.822567457072772,500.0,261.9047619047619,7,53.84615384615385,Retail Sales,Consumer,True
2023-04-26_18:30,2023-04-26,18:30,2023-04-26 18:30:00+02:00,10,24.438123200283393,20.88430992285662,27.83346081818901,357.14285714285717,233.6536918138042,8,80.0,Retail Sales,Other,True
2023-05-05_14:30,2023-05-05,14:30,2023-05-05 14:30:00+02:00,8,61.14278548425987,59.90047788837122,61.492477137506555,66.66666666666667,32.56519274376417,7,87.5,NFP,Other,True
2023-05-12_20:00,2023-05-12,20:00,2023-05-12 20:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,10.702341137123744,7.615460944468079,3,60.0,CPI,Consumer,True
2023-05-26_14:30,2023-05-26,14:30,2023-05-26 14:30:00+02:00,15,24.694213328626844,20.88430992285662,27.83346081818901,500.0,137.23623019295485,9,60.0,Retail Sales,Other,True
2023-06-02_14:30,2023-06-02,14:30,2023-06-02 14:30:00+02:00,3,61.49247713750655,61.492477137506555,61.492477137506555,133.33333333333331,72.48955722639933,3,100.0,NFP,Employment,True
2023-06-02_18:30,2023-06-02,18:30,2023-06-02 18:30:00+02:00,7,61.092829533796056,59.90047788837122,61.492477137506555,71.51515151515152,15.270260747004937,5,71.42857142857143,NFP,Other,True
2023-06-13_14:30,2023-06-13,14:30,2023-06-13 14:30:00+02:00,5,45.137568258565594,44.414844512436375,46.131002713643156,50.0,10.975609756097558,5,100.0,CPI,Inflation,True
2023-06-15_14:30,2023-06-15,14:30,2023-06-15 14:30:00+02:00,19,27.322828034930012,21.671326457943184,35.00725344868514,500.0,130.85466045003767,11,57.89473684210527,Retail Sales,Trade Balance,True
2023-06-15_18:30,2023-06-15,18:30,2023-06-15 18:30:00+02:00,5,26.79011129455568,25.339023793709526,28.542650278268667,5.728854229154171,2.4048561392537366,5,100.0,Retail Sales,Employment,True
2023-06-16_16:00,2023-06-16,16:00,2023-06-16 16:00:00+02:00,4,23.99679577698106,23.7495601289988,24.07920765964181,8.495575221238932,6.156184557184352,2,50.0,CPI,Inflation,True
2023-07-12_14:30,2023-07-12,14:30,2023-07-12 14:30:00+02:00,3,45.41656517010307,44.414844512436375,46.131002713643156,33.33333333333333,23.297491039426518,3,100.0,CPI,Inflation,True
2023-07-12_18:30,2023-07-12,18:30,2023-07-12 18:30:00+02:00,6,44.522251742827386,42.012728389432944,45.85630258750297,33.33333333333333,6.910371303388753,6,100.0,CPI,Inflation,True
2023-07-14_16:00,2023-07-14,16:00,2023-07-14 16:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,12.29773462783173,7.250591917470113,5,100.0,CPI,Consumer,True
2023-07-18_14:30,2023-07-18,14:30,2023-07-18 14:30:00+02:00,4,27.462203445540293,26.38175661281192,28.542650278268667,33.33333333333333,20.104166666666664,4,100.0,Retail Sales,Consumer,True
2023-07-18_18:30,2023-07-18,18:30,2023-07-18 18:30:00+02:00,4,26.28459590682311,21.671326457943184,28.542650278268667,60.0,60.0,2,50.0,Retail Sales,Consumer,True
2023-07-27_14:00,2023-07-27,14:00,2023-07-27 14:00:00+02:00,16,30.539598778331374,23.851317490042995,33.282053649144096,400.0,88.53895841140496,16,100.0,Retail Sales,GDP/Growth,True
2023-07-27_14:30,2023-07-27,14:30,2023-07-27 14:30:00+02:00,20,27.343539771457365,20.88430992285662,33.15485453538364,370.0,99.08489138226939,12,60.0,Retail Sales,Other,True
2023-08-04_14:30,2023-08-04,14:30,2023-08-04 14:30:00+02:00,12,61.455776527094514,57.69826407074845,67.6438161052937,140.0,28.11345767573844,8,66.66666666666666,NFP,Employment,True
2023-08-10_14:30,2023-08-10,14:30,2023-08-10 14:30:00+02:00,13,39.173301418689654,25.339023793709526,46.131002713643156,7.82608695652174,1.7846548579991361,11,84.61538461538461,CPI,Inflation,True
2023-08-15_14:30,2023-08-15,14:30,2023-08-15 14:30:00+02:00,14,27.92865091941266,21.671326457943184,35.00725344868514,500.0,156.49549918166937,12,85.71428571428571,Retail Sales,Consumer,True
2023-09-01_14:30,2023-09-01,14:30,2023-09-01 14:30:00+02:00,12,61.455776527094514,57.69826407074845,67.6438161052937,500.0,53.20164665479184,11,91.66666666666666,NFP,Employment,True
2023-09-13_14:30,2023-09-13,14:30,2023-09-13 14:30:00+02:00,9,44.82035621858594,42.012728389432944,46.131002713643156,49.999999999999986,7.938834781975613,7,77.77777777777779,CPI,Inflation,True
2023-09-14_14:30,2023-09-14,14:30,2023-09-14 14:30:00+02:00,17,26.587613587769518,21.671326457943184,28.542650278268667,199.99999999999997,44.17895771878072,11,64.70588235294117,Retail Sales,Consumer,True
2023-09-15_16:00,2023-09-15,16:00,2023-09-15 16:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,7.3041168658698545,3.261570508155797,3,60.0,CPI,Consumer,True
2023-09-29_14:30,2023-09-29,14:30,2023-09-29 14:30:00+02:00,14,26.305412665566173,23.851317490042995,30.886023743354997,500.0,100.1177033492823,11,78.57142857142857,Retail Sales,Consumer,True
2023-10-06_14:30,2023-10-06,14:30,2023-10-06 14:30:00+02:00,12,61.455776527094514,57.69826407074845,67.6438161052937,240.0,55.33865720628288,8,66.66666666666666,NFP,Employment,True
2023-10-12_14:30,2023-10-12,14:30,2023-10-12 14:30:00+02:00,13,39.173301418689654,25.339023793709526,46.131002713643156,33.33333333333335,4.533967632238212,9,69.23076923076923,CPI,Inflation,True
2023-10-13_16:00,2023-10-13,16:00,2023-10-13 16:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,7.3282442748091565,6.277975364330328,3,60.0,CPI,Consumer,True
2023-10-17_14:30,2023-10-17,14:30,2023-10-17 14:30:00+02:00,7,26.63493530445499,21.671326457943184,28.542650278268667,199.99999999999997,166.66666666666663,4,57.14285714285714,Retail Sales,Consumer,True
2023-10-26_14:30,2023-10-26,14:30,2023-10-26 14:30:00+02:00,21,27.358052165930346,20.88430992285662,33.15485453538364,500.0,112.4501807949848,11,52.38095238095239,Retail Sales,Other,True
2023-10-27_16:00,2023-10-27,16:00,2023-10-27 16:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,10.526315789473696,3.932052353104987,3,60.0,CPI,Consumer,True
2023-11-03_13:30,2023-11-03,13:30,2023-11-03 13:30:00+01:00,12,61.455776527094514,57.69826407074845,67.6438161052937,250.0,50.21771678583736,9,75.0,NFP,Employment,True
2023-11-10_16:00,2023-11-10,16:00,2023-11-10 16:00:00+01:00,5,24.01327815351321,23.7495601289988,24.07920765964181,5.467625899280571,5.0059691834675215,3,60.0,CPI,Consumer,True
2023-11-14_14:30,2023-11-14,14:30,2023-11-14 14:30:00+01:00,9,44.82035621858594,42.012728389432944,46.131002713643156,33.33333333333333,12.537785796493885,6,66.66666666666666,CPI,Inflation,True
2023-11-29_14:30,2023-11-29,14:30,2023-11-29 14:30:00+01:00,22,29.767876554040367,23.19257246854641,33.282053649144096,400.0,97.61146014294442,18,81.81818181818183,Retail Sales,GDP/Growth,True
2023-12-08_14:30,2023-12-08,14:30,2023-12-08 14:30:00+01:00,12,61.455776527094514,57.69826407074845,67.6438161052937,33.33333333333335,7.24201127337382,8,66.66666666666666,NFP,Employment,True
2023-12-08_16:00,2023-12-08,16:00,2023-12-08 16:00:00+01:00,5,24.01327815351321,23.7495601289988,24.07920765964181,16.49122807017545,12.151969673811722,3,60.0,CPI,Consumer,True
2023-12-14_14:30,2023-12-14,14:30,2023-12-14 14:30:00+01:00,18,27.066810871805203,21.671326457943184,28.822567457072772,400.0,164.30719489543017,9,50.0,Retail Sales,Consumer,True
2023-12-22_16:00,2023-12-22,16:00,2023-12-22 16:00:00+01:00,6,22.795400316385457,16.70601113074671,24.07920765964181,13.868613138686142,3.3873814015844537,6,100.0,CPI,Consumer,True
2023-12-28_14:30,2023-12-28,14:30,2023-12-28 14:30:00+01:00,12,26.90892735681133,23.851317490042995,30.886023743354997,14.285714285714299,4.6687074829932005,7,58.333333333333336,Retail Sales,Employment,True
2024-01-05_14:30,2024-01-05,14:30,2024-01-05 14:30:00+01:00,12,61.455776527094514,57.69826407074845,67.6438161052937,33.33333333333335,14.965586236848567,8,66.66666666666666,NFP,Employment,True
2024-01-11_14:30,2024-01-11,14:30,2024-01-11 14:30:00+01:00,12,37.32391691749709,25.339023793709526,46.131002713643156,49.999999999999986,13.038287759748842,9,75.0,CPI,Inflation,True
2024-01-25_14:30,2024-01-25,14:30,2024-01-25 14:30:00+01:00,38,28.66321777472551,20.713211827077785,33.282053649144096,233.33333333333334,77.22599615365765,25,65.78947368421053,Retail Sales,Other,True
2024-02-02_14:30,2024-02-02,14:30,2024-02-02 14:30:00+01:00,12,61.455776527094514,57.69826407074845,67.6438161052937,360.0,96.69975087884023,8,66.66666666666666,NFP,Employment,True
2024-02-13_14:30,2024-02-13,14:30,2024-02-13 14:30:00+01:00,9,44.82035621858594,42.012728389432944,46.131002713643156,49.999999999999986,15.439598431189854,7,77.77777777777779,CPI,Inflation,True
2024-02-28_14:30,2024-02-28,14:30,2024-02-28 14:30:00+01:00,20,30.131210680671593,23.851317490042995,33.282053649144096,200.0,43.94926779639246,18,90.0,Retail Sales,GDP/Growth,True
2024-03-08_14:30,2024-03-08,14:30,2024-03-08 14:30:00+01:00,12,61.455776527094514,57.69826407074845,67.6438161052937,140.0,36.686565827190826,8,66.66666666666666,NFP,Employment,True
2024-03-12_13:30,2024-03-12,13:30,2024-03-12 13:30:00+01:00,9,44.82035621858594,42.012728389432944,46.131002713643156,33.33333333333335,10.37193640129405,7,77.77777777777779,CPI,Inflation,True
2024-03-14_13:30,2024-03-14,13:30,2024-03-14 13:30:00+01:00,20,26.513254121185433,21.671326457943184,28.542650278268667,100.0,40.794196186880875,12,60.0,Retail Sales,Inflation,True
2024-03-29_13:30,2024-03-29,13:30,2024-03-29 13:30:00+01:00,14,26.305412665566173,23.851317490042995,30.886023743354997,400.0,139.94214876033058,11,78.57142857142857,Retail Sales,Consumer,True
