cluster_id,date,time,timestamp,num_events,score_mean,score_min,score_max,max_surprise,avg_surprise,num_surprises,completeness_pct,cluster_type,dominant_family,is_testable
2022-11-04_17:30,2022-11-04,17:30,2022-11-04 17:30:00+01:00,8,61.29347723136464,59.90047788837122,61.492477137506555,113.33333333333333,32.74074074074074,6,75.0,NFP,Employment,True
2022-11-11_21:00,2022-11-11,21:00,2022-11-11 21:00:00+01:00,5,24.01327815351321,23.7495601289988,24.07920765964181,9.687500000000004,7.882528011204479,3,60.0,CPI,Consumer,True
2022-11-15_19:30,2022-11-15,19:30,2022-11-15 19:30:00+01:00,3,29.623677894126022,26.730606915833615,35.00725344868514,190.0,66.85296742525658,3,100.0,PPI,Inflation,True
2022-11-16_19:30,2022-11-16,19:30,2022-11-16 19:30:00+01:00,5,27.977398659684418,27.12952123180804,28.542650278268667,349.99999999999994,162.5,4,80.0,Retail Sales,Consumer,True
2022-11-16_20:15,2022-11-16,20:15,2022-11-16 20:15:00+01:00,3,20.23593490359507,20.23593490359507,20.23593490359507,150.00000000000003,75.31094527363186,2,66.66666666666666,Other,Manufacturing,True
2022-12-01_19:30,2022-12-01,19:30,2022-12-01 19:30:00+01:00,7,25.908037574748203,25.206393585313748,26.84356289399415,74.99999999999997,22.96274003237252,5,71.42857142857143,Jobless Claims,Employment,True
2022-12-01_21:00,2022-12-01,21:00,2022-12-01 21:00:00+01:00,5,94.01302983145622,92.51628728932027,100.0,9.473684210526317,3.6933699711125185,3,60.0,Other,Manufacturing,True
2022-12-02_19:30,2022-12-02,19:30,2022-12-02 19:30:00+01:00,8,61.29347723136464,59.90047788837122,61.492477137506555,100.0,29.684274091024662,6,75.0,NFP,Employment,True
2022-12-09_21:00,2022-12-09,21:00,2022-12-09 21:00:00+01:00,4,25.780911680570107,24.07920765964181,30.886023743354997,37.50000000000001,15.192939244663386,3,75.0,CPI,Confidence,True
2022-12-15_14:30,2022-12-15,14:30,2022-12-15 14:30:00+01:00,7,27.225463660469984,26.035577298163243,28.542650278268667,500.0,184.5,4,57.14285714285714,Retail Sales,Consumer,True
2022-12-15_15:15,2022-12-15,15:15,2022-12-15 15:15:00+01:00,3,20.23593490359507,20.23593490359507,20.23593490359507,300.00000000000006,150.06265664160404,2,66.66666666666666,Other,Manufacturing,True
2022-12-22_14:30,2022-12-22,14:30,2022-12-22 14:30:00+01:00,6,30.434964140388406,26.84356289399415,33.282053649144096,10.344827586206906,4.567041686717146,3,50.0,Jobless Claims,Employment,True
2022-12-23_16:00,2022-12-23,16:00,2022-12-23 16:00:00+01:00,6,22.795400316385457,16.70601113074671,24.07920765964181,6.666666666666673,2.894822974558151,4,66.66666666666666,CPI,Consumer,True
2022-12-23_19:30,2022-12-23,19:30,2022-12-23 19:30:00+01:00,4,23.843404636931922,22.480415688550092,25.206393585313748,250.0,94.44444444444446,3,75.0,Other,Other,True
2023-01-04_16:00,2023-01-04,16:00,2023-01-04 16:00:00+01:00,6,69.21893933634435,22.62424343039249,92.51628728932027,7.511737089201885,4.679035529477481,4,66.66666666666666,Other,Manufacturing,True
2023-01-05_14:30,2023-01-05,14:30,2023-01-05 14:30:00+01:00,4,26.102697293804237,25.199964392161,26.84356289399415,15.753424657534246,12.543378995433791,2,50.0,Jobless Claims,Trade Balance,True
2023-01-06_14:30,2023-01-06,14:30,2023-01-06 14:30:00+01:00,8,61.27428679630844,59.90047788837122,61.492477137506555,22.22222222222222,10.774046471720892,7,87.5,NFP,Employment,True
2023-01-06_16:00,2023-01-06,16:00,2023-01-06 16:00:00+01:00,8,34.56334238915411,34.56334238915411,34.56334238915411,9.818181818181817,8.942704354469058,4,50.0,Other,Manufacturing,True
2023-01-06_19:30,2023-01-06,19:30,2023-01-06 19:30:00+01:00,3,60.61114055566526,59.90047788837122,61.492477137506555,25.000000000000007,25.000000000000007,2,66.66666666666666,Other,Other,True
2023-01-13_14:30,2023-01-13,14:30,2023-01-13 14:30:00+01:00,5,28.14534896696688,27.12952123180804,28.822567457072772,420.0,282.22222222222223,4,80.0,Other,Trade Balance,True
2023-01-13_21:00,2023-01-13,21:00,2023-01-13 21:00:00+01:00,3,23.969325149427476,23.7495601289988,24.07920765964181,6.776859504132222,5.4892700882005645,2,66.66666666666666,CPI,Consumer,True
2023-01-18_14:30,2023-01-18,14:30,2023-01-18 14:30:00+01:00,11,26.900521980016176,25.772522257896668,28.542650278268667,400.0,133.3147001490655,9,81.81818181818183,Retail Sales,Inflation,True
2023-01-18_15:15,2023-01-18,15:15,2023-01-18 15:15:00+01:00,7,19.84881685114106,19.558478311800545,20.23593490359507,500.0,333.58458961474037,4,57.14285714285714,Other,Manufacturing,True
2023-01-26_14:30,2023-01-26,14:30,2023-01-26 14:30:00+01:00,14,28.07284880878297,20.713211827077785,33.15485453538364,123.99999999999997,46.13293800081774,8,57.14285714285714,Jobless Claims,Other,True
2023-01-27_14:30,2023-01-27,14:30,2023-01-27 14:30:00+01:00,6,25.206393585313748,25.206393585313748,25.206393585313748,100.0,25.0,4,66.66666666666666,Other,Inflation,True
2023-02-01_16:00,2023-02-01,16:00,2023-02-01 16:00:00+01:00,8,76.91420450225826,22.62424343039249,100.0,12.658227848101266,6.151920078003418,4,50.0,Other,Manufacturing,True
2023-02-02_14:30,2023-02-02,14:30,2023-02-02 14:30:00+01:00,5,22.094290037238366,20.467583678421647,26.84356289399415,26.66666666666666,22.366666666666667,5,100.0,Jobless Claims,Other,True
2023-02-03_14:30,2023-02-03,14:30,2023-02-03 14:30:00+01:00,6,61.05180884658591,59.90047788837122,61.492477137506555,179.45945945945948,62.75670699086381,5,83.33333333333334,NFP,Other,True
2023-02-03_19:30,2023-02-03,19:30,2023-02-03 19:30:00+01:00,5,61.14337259158957,59.90047788837122,61.492477137506555,216.66666666666666,56.71834625322998,4,80.0,NFP,Employment,True
2023-02-10_21:00,2023-02-10,21:00,2023-02-10 21:00:00+01:00,5,24.01327815351321,23.7495601289988,24.07920765964181,6.764705882352932,3.290815702580409,3,60.0,CPI,Consumer,True
2023-02-15_19:30,2023-02-15,19:30,2023-02-15 19:30:00+01:00,8,27.68147507248376,21.671326457943184,35.00725344868514,187.49999999999994,127.36111111111107,4,50.0,Retail Sales,Consumer,True
2023-02-16_19:30,2023-02-16,19:30,2023-02-16 19:30:00+01:00,20,24.318381027331746,13.493496884140557,27.133173317859306,228.37837837837833,38.2090220361396,11,55.00000000000001,Jobless Claims,Inflation,True
2023-02-21_20:45,2023-02-21,20:45,2023-02-21 20:45:00+01:00,6,41.766197340227556,30.82095851027352,63.305740150233156,6.991525423728808,4.720645175138714,6,100.0,Other,Manufacturing,True
2023-02-24_19:30,2023-02-24,19:30,2023-02-24 19:30:00+01:00,8,22.69238719077651,13.493496884140557,25.206393585313748,49.999999999999986,34.44096601073345,4,50.0,Other,Inflation,True
2023-02-24_21:00,2023-02-24,21:00,2023-02-24 21:00:00+01:00,6,22.795400316385457,16.70601113074671,24.07920765964181,8.064516129032265,3.859384481125952,4,66.66666666666666,CPI,Consumer,True
2023-03-01_21:00,2023-03-01,21:00,2023-03-01 21:00:00+01:00,6,95.01085819288018,92.51628728932027,100.0,150.00000000000003,78.5930570953437,4,66.66666666666666,Other,Manufacturing,True
2023-03-02_19:30,2023-03-02,19:30,2023-03-02 19:30:00+01:00,8,23.687199970986207,20.467583678421647,26.84356289399415,100.0,45.39924539924541,6,75.0,Jobless Claims,Employment,True
2023-03-06_21:00,2023-03-06,21:00,2023-03-06 21:00:00+01:00,3,26.55913179216532,26.55913179216532,26.55913179216532,11.111111111111107,11.111111111111107,2,66.66666666666666,Other,Other,True
2023-03-09_19:30,2023-03-09,19:30,2023-03-09 19:30:00+01:00,4,26.467428118922996,25.339023793709526,26.84356289399415,8.205128205128204,5.880743728844994,2,50.0,Jobless Claims,Employment,True
2023-03-10_19:30,2023-03-10,19:30,2023-03-10 19:30:00+01:00,10,61.212723814909204,59.90047788837122,61.492477137506555,133.33333333333331,35.77460289004149,8,80.0,NFP,Employment,True
2023-03-14_17:30,2023-03-14,17:30,2023-03-14 17:30:00+01:00,9,44.82035621858594,42.012728389432944,46.131002713643156,24.999999999999993,3.5723782300263065,7,77.77777777777779,CPI,Inflation,True
2023-03-15_17:30,2023-03-15,17:30,2023-03-15 17:30:00+01:00,14,27.223355140362496,21.671326457943184,35.00725344868514,207.50000000000003,61.453782842671735,9,64.28571428571429,Retail Sales,Consumer,True
2023-03-24_18:45,2023-03-24,18:45,2023-03-24 18:45:00+01:00,6,41.766197340227556,30.82095851027352,63.305740150233156,6.53465346534653,5.71413524331156,4,66.66666666666666,Other,Manufacturing,True
2023-03-31_18:30,2023-03-31,18:30,2023-03-31 18:30:00+02:00,6,25.206393585313748,25.206393585313748,25.206393585313748,49.999999999999986,33.333333333333336,4,66.66666666666666,Other,Inflation,True
2023-04-04_20:00,2023-04-04,20:00,2023-04-04 20:00:00+02:00,5,24.98517644745619,22.62424343039249,26.55913179216532,39.99999999999999,28.169871794871796,3,60.0,Other,Other,True
2023-04-06_18:30,2023-04-06,18:30,2023-04-06 18:30:00+02:00,4,26.467428118922996,25.339023793709526,26.84356289399415,14.000000000000002,10.649205414949972,2,50.0,Jobless Claims,Employment,True
2023-04-07_18:30,2023-04-07,18:30,2023-04-07 18:30:00+02:00,10,61.212723814909204,59.90047788837122,61.492477137506555,120.0,17.63338112778452,8,80.0,NFP,Employment,True
2023-04-12_18:30,2023-04-12,18:30,2023-04-12 18:30:00+02:00,9,44.82035621858594,42.012728389432944,46.131002713643156,50.0,11.611843285476915,9,100.0,CPI,Inflation,True
2023-04-13_18:30,2023-04-13,18:30,2023-04-13 18:30:00+02:00,10,26.554488386089684,25.339023793709526,27.133173317859306,133.33333333333334,22.3672974113038,7,70.0,Jobless Claims,Inflation,True
2023-04-14_18:30,2023-04-14,18:30,2023-04-14 18:30:00+02:00,13,27.384143032545545,21.671326457943184,28.822567457072772,500.0,261.9047619047619,7,53.84615384615385,Retail Sales,Consumer,True
2023-04-14_19:15,2023-04-14,19:15,2023-04-14 19:15:00+02:00,7,19.84881685114106,19.558478311800545,20.23593490359507,400.0,225.25316455696202,4,57.14285714285714,Other,Manufacturing,True
2023-04-20_18:30,2023-04-20,18:30,2023-04-20 18:30:00+02:00,10,26.208317626467146,25.339023793709526,26.84356289399415,165.06024096385542,61.26616785079176,8,80.0,Jobless Claims,Employment,True
2023-04-26_18:30,2023-04-26,18:30,2023-04-26 18:30:00+02:00,10,24.438123200283393,20.88430992285662,27.83346081818901,357.14285714285717,233.6536918138042,8,80.0,Retail Sales,Other,True
2023-04-27_18:30,2023-04-27,18:30,2023-04-27 18:30:00+02:00,10,30.479883968799385,25.339023793709526,33.15485453538364,500.0,87.64464877942852,7,70.0,Jobless Claims,Employment,True
2023-05-01_20:00,2023-05-01,20:00,2023-05-01 20:00:00+02:00,6,95.01085819288018,92.51628728932027,100.0,199.99999999999997,102.30311355311355,4,66.66666666666666,Other,Manufacturing,True
2023-05-02_20:00,2023-05-02,20:00,2023-05-02 20:00:00+02:00,5,24.98517644745619,22.62424343039249,26.55913179216532,18.181818181818183,12.752073161280327,3,60.0,Other,Other,True
2023-05-04_14:30,2023-05-04,14:30,2023-05-04 14:30:00+02:00,7,24.83818386661739,20.467583678421647,26.84356289399415,14.545454545454541,8.285350150296528,4,57.14285714285714,Jobless Claims,Employment,True
2023-05-04_18:30,2023-05-04,18:30,2023-05-04 18:30:00+02:00,4,23.299384745697687,20.467583678421647,26.1836309445309,50.000000000000014,33.807266982622444,3,75.0,Other,Other,True
2023-05-05_14:30,2023-05-05,14:30,2023-05-05 14:30:00+02:00,8,61.14278548425987,59.90047788837122,61.492477137506555,66.66666666666667,32.56519274376417,7,87.5,NFP,Other,True
2023-05-11_18:30,2023-05-11,18:30,2023-05-11 18:30:00+02:00,7,26.645533468457,25.772522257896668,27.133173317859306,33.33333333333333,12.092720204965099,7,100.0,Jobless Claims,Inflation,True
2023-05-12_20:00,2023-05-12,20:00,2023-05-12 20:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,10.702341137123744,7.615460944468079,3,60.0,CPI,Consumer,True
2023-05-16_15:15,2023-05-16,15:15,2023-05-16 15:15:00+02:00,4,19.897206607697807,19.558478311800545,20.23593490359507,500.0,500.0,2,50.0,Other,Manufacturing,True
2023-05-18_14:30,2023-05-18,14:30,2023-05-18 14:30:00+02:00,4,26.06343532100754,25.339023793709526,26.84356289399415,65.38461538461537,33.032146032410395,4,100.0,Jobless Claims,Employment,True
2023-05-18_18:30,2023-05-18,18:30,2023-05-18 18:30:00+02:00,6,26.30490583010688,26.035577298163243,26.84356289399415,47.474747474747474,17.55956206077038,6,100.0,Jobless Claims,Other,True
2023-05-23_15:45,2023-05-23,15:45,2023-05-23 15:45:00+02:00,6,41.766197340227556,30.82095851027352,63.305740150233156,9.0,5.584283903675538,6,100.0,Other,Manufacturing,True
2023-05-23_16:00,2023-05-23,16:00,2023-05-23 16:00:00+02:00,4,18.272544095315965,14.616170103733737,20.88399757339171,87.5,51.908002765534526,3,75.0,Other,Manufacturing,True
2023-05-25_14:30,2023-05-25,14:30,2023-05-25 14:30:00+02:00,10,30.58973365640769,20.713211827077785,33.282053649144096,18.181818181818176,6.670995670995671,7,70.0,Jobless Claims,GDP/Growth,True
2023-05-25_18:30,2023-05-25,18:30,2023-05-25 18:30:00+02:00,9,28.72682845794855,23.19257246854641,33.282053649144096,500.0,147.37628355254856,7,77.77777777777779,Jobless Claims,Employment,True
2023-05-26_14:30,2023-05-26,14:30,2023-05-26 14:30:00+02:00,15,24.694213328626844,20.88430992285662,27.83346081818901,500.0,137.23623019295485,9,60.0,Retail Sales,Other,True
2023-06-01_14:30,2023-06-01,14:30,2023-06-01 14:30:00+02:00,4,23.875267358521786,20.467583678421647,26.84356289399415,30.0,15.388593380614658,4,100.0,Jobless Claims,Employment,True
2023-06-01_16:00,2023-06-01,16:00,2023-06-01 16:00:00+02:00,5,95.50977237359216,92.51628728932027,100.0,500.0,250.8564043407673,4,80.0,Other,Consumer,True
