side,eod_ts_local,eod_ts_utc,eod_country,eod_title,eod_importance,db_ts_local,db_ts_utc,db_country,db_title,db_importance,delta_min
MATCH_DB→EODHD,2025-09-11 16:15:00+02:00,2025-09-11 14:15:00+00:00,EU,,,2025-09-11 16:15:00+02:00,2025-09-11 12:15:00+00:00,EU,,2.0,0.0
MATCH_DB→EODHD,2025-09-11 16:15:00+02:00,2025-09-11 14:15:00+00:00,EU,,,2025-09-11 16:15:00+02:00,2025-09-11 12:15:00+00:00,EU,,2.0,0.0
MATCH_DB→EODHD,2025-09-11 16:15:00+02:00,2025-09-11 14:15:00+00:00,EU,,,2025-09-11 16:15:00+02:00,2025-09-11 12:15:00+00:00,EU,,2.0,0.0
MATCH_DB→EODHD,2025-09-11 16:15:00+02:00,2025-09-11 14:15:00+00:00,EU,,,2025-09-11 16:15:00+02:00,2025-09-11 12:15:00+00:00,EU,,3.0,0.0
MATCH_DB→EODHD,2025-09-11 16:15:00+02:00,2025-09-11 14:15:00+00:00,EU,,,2025-09-11 16:15:00+02:00,2025-09-11 12:15:00+00:00,EU,,3.0,0.0
MATCH_EODHD→DB,2025-09-11 16:15:00+02:00,2025-09-11 14:15:00+00:00,EU,,,2025-09-11 16:15:00+02:00,2025-09-11 12:15:00+00:00,EU,,2.0,0.0
ONLY_IN_DB,,,,,,2025-09-11 16:45:00+02:00,2025-09-11 12:45:00+00:00,DE,,1.0,
ONLY_IN_DB,,,,,,2025-09-11 16:45:00+02:00,2025-09-11 12:45:00+00:00,EU,,3.0,
ONLY_IN_DB,,,,,,2025-09-11 18:15:00+02:00,2025-09-11 14:15:00+00:00,EU,,3.0,
ONLY_IN_EODHD,2025-09-11 14:15:00+02:00,2025-09-11 12:15:00+00:00,EU,,,,,,,,
ONLY_IN_EODHD,2025-09-11 14:15:00+02:00,2025-09-11 12:15:00+00:00,EU,,,,,,,,
ONLY_IN_EODHD,2025-09-11 14:15:00+02:00,2025-09-11 12:15:00+00:00,EU,,,,,,,,
ONLY_IN_EODHD,2025-09-11 14:15:00+02:00,2025-09-11 12:15:00+00:00,EU,,,,,,,,
ONLY_IN_EODHD,2025-09-11 14:15:00+02:00,2025-09-11 12:15:00+00:00,EU,,,,,,,,
ONLY_IN_EODHD,2025-09-11 14:15:00+02:00,2025-09-11 12:15:00+00:00,EU,,,,,,,,
ONLY_IN_EODHD,2025-09-11 14:45:00+02:00,2025-09-11 12:45:00+00:00,EU,,,,,,,,
ONLY_IN_EODHD,2025-09-11 14:45:00+02:00,2025-09-11 12:45:00+00:00,DE,,,,,,,,
