date,wave1_pips,wave2_pips,total_pips,pullback1_ratio,pullback2_ratio,confidence,direction
2024-01-11,48.8,57.5,106.3,0.857,0.416,80.0,bearish
2024-01-12,18.4,33.7,52.1,0.549,0.32,80.0,bullish
2024-01-25,8.3,9.9,18.200000000000003,0.904,0.97,80.0,bullish
2024-02-01,12.5,13.9,26.4,0.464,0.453,85.0,bullish
2024-02-08,9.9,18.4,28.299999999999997,0.495,0.397,90.0,bearish
2024-02-15,26.0,35.9,61.9,0.673,0.37,80.0,bullish
2024-02-20,5.5,16.0,21.5,0.691,0.388,80.0,bullish
2024-02-21,4.1,10.9,15.0,0.78,0.312,75.0,bullish
2024-02-22,13.6,36.5,50.1,0.713,0.485,70.0,bearish
2024-02-23,1.7,4.6,6.3,1.0,0.457,80.0,bearish
2024-02-28,7.4,18.6,26.0,0.973,0.618,85.0,bullish
2024-02-29,16.5,18.1,34.6,0.939,0.26,80.0,bullish
2024-03-08,30.7,40.7,71.4,0.785,0.435,90.0,bullish
2024-03-15,6.3,10.0,16.3,0.508,0.5,85.0,bullish
2024-03-18,3.7,5.8,9.5,0.811,0.379,80.0,bearish
2024-03-25,8.5,13.0,21.5,0.329,0.385,85.0,bullish
2024-03-26,2.0,5.5,7.5,0.8,1.0,80.0,bearish
2024-03-29,5.1,11.2,16.299999999999997,0.353,0.616,85.0,bearish
2024-04-05,43.2,54.5,97.7,0.424,0.261,80.0,bearish
2024-04-08,5.1,25.6,30.700000000000003,0.745,0.223,75.0,bullish
2024-04-09,5.9,15.7,21.6,0.356,0.268,85.0,bullish
2024-04-11,20.4,30.1,50.5,0.804,0.684,85.0,bullish
2024-04-12,16.9,25.6,42.5,0.538,0.32,80.0,bearish
2024-04-17,4.9,18.5,23.4,0.918,0.562,75.0,bullish
2024-04-18,12.7,26.6,39.3,0.591,0.278,80.0,bearish
2024-04-19,11.3,13.1,24.4,0.876,0.511,85.0,bullish
2024-04-23,5.0,8.8,13.8,0.74,0.42,95.0,bearish
2024-04-24,4.9,11.4,16.3,0.633,0.377,85.0,bullish
2024-04-25,21.6,38.1,59.7,0.583,0.375,80.0,bearish
2024-04-29,21.3,30.2,51.5,0.371,0.195,80.0,bearish
2024-05-01,6.2,9.4,15.600000000000001,0.823,0.436,90.0,bullish
2024-05-06,2.6,7.4,10.0,0.654,0.676,80.0,bullish
2024-05-07,6.6,14.7,21.299999999999997,0.652,0.211,85.0,bullish
2024-05-14,11.9,25.7,37.6,0.748,0.245,85.0,bullish
2024-05-16,8.0,9.8,17.8,0.737,0.439,95.0,bearish
2024-05-20,5.3,12.3,17.6,0.981,0.276,85.0,bullish
2024-05-24,9.5,12.2,21.7,0.389,0.32,95.0,bullish
2024-05-28,1.8,18.9,20.7,0.556,0.45,70.0,bearish
2024-05-29,5.6,22.8,28.4,0.875,0.237,75.0,bearish
2024-05-30,10.6,17.5,28.1,0.387,0.229,95.0,bullish
2024-05-31,14.5,29.7,44.2,0.4,0.263,90.0,bullish
