start_time,amplitude_pips,direction,num_events,total_score,events_summary
2024-01-05T13:20:00.000000,67.60000000000099,bullish,12,689.5503640510527,"average_hourly_earnings, non_farm_payrolls, average_weekly_hours"
2024-01-11T13:40:00.000000,42.29999999999956,bullish,5,237.5207747747742,"inflation_rate, cpi, inflation_rate"
2024-01-25T13:05:00.000000,41.59999999999941,bearish,3,145.22200000000004,"ecb_interest_rate_decision, deposit_facility_rate, marginal_lending_rate"
2024-01-25T13:35:00.000000,46.99999999999926,bearish,3,117.1125050505047,"core_pce_prices, real_consumer_spending, ecb_press_conference"
2024-02-02T13:28:00.000000,93.19999999999995,bearish,10,609.0978932908204,"manufacturing_payrolls, nonfarm_payrolls_private, non_farm_payrolls"
2024-02-13T13:22:00.000000,99.0000000000002,bearish,6,282.05518653948076,"inflation_rate, cpi, inflation_rate"
2024-03-07T13:54:00.000000,40.89999999999927,bullish,1,36.081999999999546,ecb_press_conference
2024-03-08T13:29:00.000000,63.10000000000038,bullish,12,689.5503640510528,"manufacturing_payrolls, average_hourly_earnings, average_hourly_wages"
2024-03-12T12:38:00.000000,39.70000000000029,bearish,6,282.05518653948076,"inflation_rate, inflation_rate, cpi"
2024-03-20T18:00:00.000000,52.90000000000017,bullish,7,367.84831837607027,"interest_rate_projection___longer, fed_interest_rate_decision, fomc_economic_projections"
2024-03-20T18:30:00.000000,51.79999999999963,bullish,1,43.213999999999885,fed_press_conference
2024-05-01T17:57:00.000000,61.70000000000009,bullish,1,51.74600000000022,fed_interest_rate_decision
2024-05-01T18:27:00.000000,51.900000000000276,bullish,1,43.213999999999885,fed_press_conference
2024-05-03T12:29:00.000000,61.299999999999685,bullish,10,609.0978932908203,"government_payrolls, unemployment_rate, manufacturing_payrolls"
2024-06-06T12:10:00.000000,37.39999999999854,bullish,3,145.22200000000004,"deposit_facility_rate, marginal_lending_rate, ecb_interest_rate_decision"
2024-06-07T12:30:00.000000,81.99999999999986,bearish,12,689.550364051053,"average_weekly_hours, employment_change, government_payrolls"
2024-07-05T12:26:00.000000,41.29999999999967,bullish,12,689.5503640510528,"u_6_unemployment_rate, average_hourly_wages, unemployment_rate"
2024-07-11T12:28:00.000000,54.09999999999915,bullish,6,282.05518653948076,"cpi_s.a, core_inflation_rate, core_inflation_rate"
2024-08-02T12:39:00.000000,51.800000000001845,bullish,10,609.0978932908204,"average_hourly_earnings, average_hourly_earnings, unemployment_rate"
2024-09-06T12:33:00.000000,59.00000000000016,bearish,12,689.5503640510528,"average_weekly_hours, participation_rate, unemployment_rate"
2024-09-11T12:22:00.000000,45.399999999999885,bearish,6,282.05518653948076,"inflation_rate, core_inflation_rate, core_inflation_rate"
2024-09-18T17:56:00.000000,65.29999999999924,bullish,7,367.8483183760702,"interest_rate_projection___1st_yr, interest_rate_projection___longer, interest_rate_projection___cur"
2024-09-18T18:26:00.000000,69.09999999999971,bearish,1,43.213999999999885,fed_press_conference
2024-10-04T12:23:00.000000,75.30000000000037,bearish,10,609.0978932908203,"average_hourly_earnings, nonfarm_payrolls_private, average_weekly_hours"
2024-10-17T12:18:00.000000,55.29999999999813,bearish,3,145.22200000000004,"ecb_interest_rate_decision, deposit_facility_rate, marginal_lending_rate"
2024-10-17T12:48:00.000000,38.19999999999935,bearish,1,36.081999999999546,ecb_press_conference
2024-11-07T19:00:00.000000,36.90000000000193,bearish,1,51.74600000000022,fed_interest_rate_decision
2024-11-07T19:30:00.000000,42.50000000000087,bullish,2,89.60511111111063,"press_conference, fed_press_conference"
