movement_id,direction,impact_pips,pattern_type_v1,pattern_type_v2
0,DOWN,99.530000000001,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
1,UP,53.25000000000024,DOUBLE_WAVE,DOUBLE_WAVE_UP
2,DOWN,41.080000000000005,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
3,DOWN,58.849999999999184,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
4,UP,103.81000000000196,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
5,UP,44.83999999999932,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
6,UP,44.10000000000025,DOUBLE_WAVE,DOUBLE_WAVE_UP
7,UP,81.2799999999969,DOUBLE_WAVE,DOUBLE_WAVE_UP
8,UP,44.19999999999868,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
9,UP,45.2000000000008,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
10,DOWN,69.37999999999889,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
11,UP,51.62000000000111,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
12,DOWN,42.29000000000038,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
13,UP,48.92000000000118,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
14,UP,52.67000000000132,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
15,DOWN,41.16000000000008,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
16,DOWN,44.11000000000165,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
17,UP,95.43999999999777,DOUBLE_WAVE,DOUBLE_WAVE_UP
18,UP,43.96999999999984,SINGLE_WAVE_FORT,DOUBLE_WAVE_UP
19,DOWN,73.46000000000075,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
20,DOWN,110.55999999999956,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
21,UP,56.36000000000196,DOUBLE_WAVE,DOUBLE_WAVE_UP
22,DOWN,40.01000000000143,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
23,UP,73.54999999999778,SINGLE_WAVE_FORT,CRASH_RECOVERY_UP
24,DOWN,49.570000000001,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
25,DOWN,69.74999999999953,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
26,DOWN,40.240000000002496,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
27,UP,42.67999999999938,DOUBLE_WAVE,DOUBLE_WAVE_UP
28,UP,48.61000000000004,SINGLE_WAVE_FORT,DOUBLE_WAVE_UP
29,DOWN,74.61999999999858,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
30,UP,63.38999999999872,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
31,UP,63.00000000000195,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
32,DOWN,58.189999999997966,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
33,UP,61.8199999999991,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
34,DOWN,41.49999999999877,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_STANDARD_DOWN
35,DOWN,91.4199999999976,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
36,DOWN,58.31999999999837,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
37,UP,42.26000000000063,DOUBLE_WAVE,DOUBLE_WAVE_UP
38,DOWN,62.88000000000071,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
39,UP,120.75999999999976,DOUBLE_WAVE,DOUBLE_WAVE_UP
40,DOWN,46.850000000000506,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
41,DOWN,65.98000000000104,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
42,UP,48.10000000000203,SINGLE_WAVE_FORT,DOUBLE_WAVE_UP
43,UP,66.23999999999964,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
44,DOWN,47.21000000000419,SINGLE_WAVE_STANDARD,DOUBLE_WAVE_DOWN
45,DOWN,41.990000000000634,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
46,DOWN,48.17000000000071,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
47,UP,67.63999999999993,DOUBLE_WAVE,DOUBLE_WAVE_UP
48,UP,40.359999999997065,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
49,UP,46.67000000000199,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
50,DOWN,40.78999999999944,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
51,DOWN,43.02000000000028,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
52,UP,47.18,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
53,DOWN,47.22999999999811,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
54,UP,55.589999999998696,DOUBLE_WAVE,DOUBLE_WAVE_UP
55,DOWN,47.34999999999934,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
56,DOWN,41.400000000000325,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
57,UP,46.56999999999911,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
58,DOWN,46.120000000002825,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
59,DOWN,42.79000000000144,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
60,UP,40.79999999999862,DOUBLE_WAVE,DOUBLE_WAVE_UP
61,UP,48.150000000000134,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
62,DOWN,75.78000000000085,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
63,DOWN,43.11999999999871,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
64,DOWN,51.42999999999898,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
65,UP,61.84999999999885,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
66,DOWN,52.42999999999887,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
67,UP,42.05000000000014,DOUBLE_WAVE,DOUBLE_WAVE_UP
68,DOWN,40.2900000000006,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
69,DOWN,44.34000000000049,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
70,UP,42.0799999999999,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
71,DOWN,60.2999999999998,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
72,UP,64.13000000000002,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
73,UP,47.969999999997185,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
74,DOWN,74.32999999999579,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
75,DOWN,41.6699999999981,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
76,DOWN,70.74999999999943,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
77,UP,47.06000000000099,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
78,DOWN,51.22999999999989,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
79,UP,51.13999999999841,DOUBLE_WAVE,DOUBLE_WAVE_UP
80,UP,62.09999999999827,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
81,DOWN,45.349999999999554,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
82,DOWN,42.919999999999625,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
83,DOWN,68.25999999999999,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
84,UP,44.50999999999983,DOUBLE_WAVE,DOUBLE_WAVE_UP
85,DOWN,99.92000000000225,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
86,UP,50.98999999999965,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
87,DOWN,47.28999999999761,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
88,UP,78.70000000000044,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
89,UP,47.02000000000206,SINGLE_WAVE_FORT,CRASH_RECOVERY_UP
90,DOWN,40.300000000002,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
91,DOWN,40.2199999999997,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
92,UP,43.61999999999977,DOUBLE_WAVE,DOUBLE_WAVE_UP
93,DOWN,55.96999999999852,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
94,UP,40.66000000000125,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
95,DOWN,59.50000000000122,SINGLE_WAVE_STANDARD,DOUBLE_WAVE_DOWN
96,UP,64.96000000000058,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
97,UP,45.06000000000121,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
98,DOWN,63.38000000000177,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
99,UP,42.07000000000072,DOUBLE_WAVE,DOUBLE_WAVE_UP
100,DOWN,78.09999999999873,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
101,DOWN,59.91999999999997,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
102,DOWN,49.110000000001094,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
103,DOWN,83.71000000000129,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
104,UP,67.57000000000124,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
105,UP,44.07999999999967,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
106,DOWN,54.81000000000069,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
107,UP,48.06000000000088,DOUBLE_WAVE,DOUBLE_WAVE_UP
108,UP,50.89000000000121,DOUBLE_WAVE,DOUBLE_WAVE_UP
109,DOWN,55.03000000000257,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
110,UP,45.079999999999565,DOUBLE_WAVE,DOUBLE_WAVE_UP
111,UP,73.69999999999877,DOUBLE_WAVE,DOUBLE_WAVE_UP
112,UP,100.60999999999876,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
113,DOWN,40.300000000002,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
114,DOWN,44.34999999999967,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
