movement_id,datetime,direction,baseline_price,latency_minutes,movement_start_time,peak_time,peak_price,peak_minutes_from_start,impact_pips,has_pullback,pullback_time,pullback_price,pullback_pips,pullback_ratio,pullback_minutes_from_peak,stabilization_time,stabilization_minutes_from_peak,pattern_type,total_score,num_events
0,2023-01-03 08:37:00+01:00,DOWN,,9.0,2023-01-03 08:46:00+01:00,2023-01-03 10:09:00+01:00,1.05342,83.0,,True,2023-01-03 10:37:00+01:00,1.05562,21.999999999999797,27.499999999972246,28.0,,,SINGLE_WAVE_FORT_DOWN,20.298947368420823,2
3,2023-01-05 14:02:00+01:00,DOWN,,13.0,2023-01-05 14:15:00+01:00,2023-01-05 15:56:00+01:00,1.05358,101.0,,True,2023-01-05 15:59:00+01:00,1.05412,5.399999999999849,1.0800000000000889,3.0,,,SINGLE_WAVE_FORT_DOWN,146.6024181574923,13
4,2023-01-06 15:52:00+01:00,UP,,3.0,2023-01-06 15:55:00+01:00,2023-01-06 17:47:00+01:00,1.06224,112.0,,True,2023-01-06 17:50:00+01:00,1.06155,6.900000000000794,1.9166666666661527,3.0,,,SINGLE_WAVE_FORT_UP,215.20368695121792,10
5,2023-01-09 14:02:00+01:00,UP,,1.0,2023-01-09 14:03:00+01:00,2023-01-09 15:52:00+01:00,1.07386,109.0,,True,2023-01-09 15:59:00+01:00,1.07275,11.099999999999444,2.1764705882351403,7.0,,,SINGLE_WAVE_FORT_UP,55.86520124586857,6
8,2023-01-12 16:01:00+01:00,UP,,0.0,2023-01-12 16:01:00+01:00,2023-01-12 17:59:00+01:00,1.08261,118.0,,True,2023-01-12 18:00:00+01:00,1.08224,3.6999999999998145,2.1764705882351403,1.0,,,SINGLE_WAVE_FORT_UP,90.25369192211252,8
9,2023-01-12 18:03:00+01:00,UP,,5.0,2023-01-12 18:08:00+01:00,2023-01-12 19:04:00+01:00,1.08673,56.0,,True,2023-01-12 19:33:00+01:00,1.08465,20.800000000000818,12.235294117647289,29.0,,,SINGLE_WAVE_FORT_UP,74.4319202613093,5
10,2023-01-17 15:49:00+01:00,DOWN,,11.0,2023-01-17 16:00:00+01:00,2023-01-17 17:43:00+01:00,1.07864,103.0,,True,2023-01-17 17:49:00+01:00,1.07971,10.699999999999044,3.0571428571438903,6.0,,,SINGLE_WAVE_FORT_DOWN,53.76875123706618,7
11,2023-01-18 07:57:00+01:00,UP,,3.0,2023-01-18 08:00:00+01:00,2023-01-18 09:19:00+01:00,1.08518,79.0,,True,2023-01-18 09:50:00+01:00,1.08355,16.300000000000203,7.761904761903251,31.0,,,SINGLE_WAVE_FORT_UP,88.15594927536564,9
13,2023-01-18 14:25:00+01:00,UP,,0.0,2023-01-18 14:25:00+01:00,2023-01-18 15:25:00+01:00,1.08877,60.0,,True,2023-01-18 16:19:00+01:00,1.08432,44.500000000000654,10.113636363636605,54.0,,,SINGLE_WAVE_FORT_UP,254.2806142757584,16
14,2023-01-25 15:06:00+01:00,UP,,1.0,2023-01-25 15:07:00+01:00,2023-01-25 16:08:00+01:00,1.0924,61.0,,True,2023-01-25 17:06:00+01:00,1.0887,37.00000000000037,30.833333333302804,58.0,,,SINGLE_WAVE_FORT_UP,79.06318233618397,6
20,2023-02-03 14:15:00+01:00,DOWN,,4.0,2023-02-03 14:19:00+01:00,2023-02-03 16:11:00+01:00,1.08095,112.0,,True,2023-02-03 16:15:00+01:00,1.08407,31.200000000000117,28.36363636367967,4.0,,,SINGLE_WAVE_FORT_DOWN,309.40098045999684,10
22,2023-02-07 08:13:00+01:00,DOWN,,1.0,2023-02-07 08:14:00+01:00,2023-02-07 09:13:00+01:00,1.06974,59.0,,True,2023-02-07 10:12:00+01:00,1.0725,27.600000000000957,275.9999999982014,59.0,,,SINGLE_WAVE_FORT_DOWN,0.0,0
24,2023-02-10 10:11:00+01:00,DOWN,,1.0,2023-02-10 10:12:00+01:00,2023-02-10 11:11:00+01:00,1.0692,59.0,,True,2023-02-10 11:58:00+01:00,1.07115,19.500000000001183,6.093749999998503,47.0,,,SINGLE_WAVE_FORT_DOWN,37.462344294239905,3
26,2023-02-16 14:30:00+01:00,DOWN,,0.0,2023-02-16 14:30:00+01:00,2023-02-16 16:04:00+01:00,1.06547,94.0,,True,2023-02-16 16:30:00+01:00,1.06765,21.800000000000708,15.571428571425853,26.0,,,SINGLE_WAVE_FORT_DOWN,126.3469146065908,8
29,2023-03-07 16:00:00+01:00,DOWN,,0.0,2023-03-07 16:00:00+01:00,2023-03-07 17:35:00+01:00,1.05704,95.0,,True,2023-03-07 17:46:00+01:00,1.05836,13.199999999999878,7.764705882352711,11.0,,,SINGLE_WAVE_FORT_DOWN,130.074095238096,14
30,2023-03-10 14:32:00+01:00,UP,,0.0,2023-03-10 14:32:00+01:00,2023-03-10 16:31:00+01:00,1.06941,119.0,,True,2023-03-10 16:32:00+01:00,1.06918,2.2999999999995246,0.638888888888906,1.0,,,SINGLE_WAVE_FORT_UP,254.70499550202547,22
31,2023-03-13 03:12:00+01:00,UP,,2.0,2023-03-13 03:14:00+01:00,2023-03-13 04:12:00+01:00,1.07373,58.0,,True,2023-03-13 04:59:00+01:00,1.07167,20.600000000001728,3.961538461538215,47.0,,,SINGLE_WAVE_FORT_UP,19.769750045611815,3
33,2023-03-13 13:26:00+01:00,UP,,0.0,2023-03-13 13:26:00+01:00,2023-03-13 15:11:00+01:00,1.07248,105.0,,True,2023-03-13 15:26:00+01:00,1.06986,26.200000000000667,32.74999999996808,15.0,,,SINGLE_WAVE_FORT_UP,9.24205263157888,1
35,2023-03-15 11:25:00+01:00,DOWN,,1.0,2023-03-15 11:26:00+01:00,2023-03-15 13:11:00+01:00,1.0562,105.0,,True,2023-03-15 13:23:00+01:00,1.05825,20.499999999998852,14.642857142853291,12.0,,,SINGLE_WAVE_FORT_DOWN,128.0217229612519,13
41,2023-03-24 10:26:00+01:00,DOWN,,5.0,2023-03-24 10:31:00+01:00,2023-03-24 12:02:00+01:00,1.07133,91.0,,True,2023-03-24 12:24:00+01:00,1.07473,34.000000000000696,4.788732394364875,22.0,,,SINGLE_WAVE_FORT_DOWN,87.00386144179755,9
43,2023-04-04 15:52:00+02:00,UP,,8.0,2023-04-04 16:00:00+02:00,2023-04-04 16:57:00+02:00,1.09734,57.0,,True,2023-04-04 17:41:00+02:00,1.09523,21.100000000000563,10.047619047617236,44.0,,,SINGLE_WAVE_FORT_UP,133.5517128644605,11
45,2023-04-07 13:37:00+02:00,DOWN,,49.0,2023-04-07 14:26:00+02:00,2023-04-07 14:37:00+02:00,1.08764,11.0,,True,2023-04-07 14:48:00+02:00,1.09108,34.4000000000011,4.7777777777775725,11.0,,,SINGLE_WAVE_FORT_DOWN,68.33500083542299,7
46,2023-04-10 13:59:00+02:00,DOWN,,6.0,2023-04-10 14:05:00+02:00,2023-04-10 15:59:00+02:00,1.08382,114.0,,False,,,,,,,,SINGLE_WAVE_FORT_DOWN,9.451388888889252,1
48,2023-04-13 09:08:00+02:00,UP,,1.0,2023-04-13 09:09:00+02:00,2023-04-13 10:08:00+02:00,1.10252,59.0,,True,2023-04-13 11:03:00+02:00,1.10116,13.600000000000279,4.250000000001735,55.0,,,SINGLE_WAVE_FORT_UP,35.987508771929974,4
49,2023-04-13 14:05:00+02:00,UP,,4.0,2023-04-13 14:09:00+02:00,2023-04-13 15:50:00+02:00,1.10679,101.0,,True,2023-04-13 16:05:00+02:00,1.10565,11.399999999999189,16.285714285709755,15.0,,,SINGLE_WAVE_FORT_UP,165.02257953707812,15
50,2023-04-14 14:25:00+02:00,DOWN,,5.0,2023-04-14 14:30:00+02:00,2023-04-14 16:22:00+02:00,1.10006,112.0,,True,2023-04-14 16:23:00+02:00,1.10048,4.199999999998649,1.0769230769230331,1.0,,,SINGLE_WAVE_FORT_DOWN,48.32261861861954,5
51,2023-04-17 14:30:00+02:00,DOWN,,0.0,2023-04-17 14:30:00+02:00,2023-04-17 16:14:00+02:00,1.09195,104.0,,True,2023-04-17 16:19:00+02:00,1.09297,10.200000000000209,5.368421052627888,5.0,,,SINGLE_WAVE_FORT_DOWN,85.25466876102199,9
52,2023-04-20 14:25:00+02:00,UP,,5.0,2023-04-20 14:30:00+02:00,2023-04-20 16:08:00+02:00,1.09899,98.0,,True,2023-04-20 16:21:00+02:00,1.09803,9.599999999998499,2.666666666666872,13.0,,,SINGLE_WAVE_FORT_UP,105.59650171126646,11
53,2023-04-21 15:45:00+02:00,DOWN,,0.0,2023-04-21 15:45:00+02:00,2023-04-21 16:08:00+02:00,1.09427,23.0,,True,2023-04-21 16:56:00+02:00,1.09795,36.79999999999906,15.333333333331792,48.0,,,SINGLE_WAVE_FORT_DOWN,70.2512942612948,7
55,2023-04-27 14:30:00+02:00,DOWN,,0.0,2023-04-27 14:30:00+02:00,2023-04-27 15:47:00+02:00,1.09924,77.0,,True,2023-04-27 16:16:00+02:00,1.10234,31.000000000001027,8.157894736841367,29.0,,,SINGLE_WAVE_FORT_DOWN,194.8915069320986,15
56,2023-04-28 09:05:00+02:00,DOWN,,1.0,2023-04-28 09:06:00+02:00,2023-04-28 10:31:00+02:00,1.09768,85.0,,True,2023-04-28 11:00:00+02:00,1.09916,14.799999999999258,7.4000000000004444,29.0,,,SINGLE_WAVE_FORT_DOWN,188.28615874133612,16
57,2023-04-28 16:03:00+02:00,UP,,1.0,2023-04-28 16:04:00+02:00,2023-04-28 17:41:00+02:00,1.10452,97.0,,True,2023-04-28 17:47:00+02:00,1.10359,9.299999999998754,4.894736842106862,6.0,,,SINGLE_WAVE_FORT_UP,79.17412367858836,9
58,2023-05-01 15:47:00+02:00,DOWN,,12.0,2023-05-01 15:59:00+02:00,2023-05-01 17:42:00+02:00,1.09664,103.0,,True,2023-05-01 17:46:00+02:00,1.09708,4.3999999999999595,4.000000000006056,4.0,,,SINGLE_WAVE_FORT_DOWN,38.97045454545432,2
61,2023-05-03 19:12:00+02:00,UP,,8.0,2023-05-03 19:20:00+02:00,2023-05-03 20:02:00+02:00,1.10919,42.0,,True,2023-05-03 20:35:00+02:00,1.10377,54.199999999999804,3.6375838926174575,33.0,,,SINGLE_WAVE_FORT_UP,253.81288888889117,9
62,2023-05-04 14:15:00+02:00,DOWN,,0.0,2023-05-04 14:15:00+02:00,2023-05-04 14:55:00+02:00,1.10018,40.0,,True,2023-05-04 15:09:00+02:00,1.10554,53.600000000000314,4.660869565217482,14.0,,,SINGLE_WAVE_FORT_DOWN,487.93372436841304,29
65,2023-05-10 14:29:00+02:00,UP,,1.0,2023-05-10 14:30:00+02:00,2023-05-10 16:17:00+02:00,1.10071,107.0,,True,2023-05-10 16:29:00+02:00,1.09871,20.000000000000018,1.9230769230766438,12.0,,,SINGLE_WAVE_FORT_UP,118.35403724054068,11
66,2023-05-11 08:02:00+02:00,DOWN,,16.0,2023-05-11 08:18:00+02:00,2023-05-11 09:23:00+02:00,1.09243,65.0,,True,2023-05-11 09:51:00+02:00,1.09389,14.600000000000168,4.055555555556549,28.0,,,SINGLE_WAVE_FORT_DOWN,37.53089095744593,4
68,2023-05-31 15:52:00+02:00,DOWN,,2.0,2023-05-31 15:54:00+02:00,2023-05-31 17:19:00+02:00,1.06512,85.0,,True,2023-05-31 17:43:00+02:00,1.06674,16.199999999999548,6.230769230770807,24.0,,,SINGLE_WAVE_FORT_DOWN,216.07778576332137,17
69,2023-06-02 15:36:00+02:00,DOWN,,1.0,2023-06-02 15:37:00+02:00,2023-06-02 16:57:00+02:00,1.07214,80.0,,True,2023-06-02 17:08:00+02:00,1.073,8.599999999998609,2.9655172413798385,11.0,,,SINGLE_WAVE_FORT_DOWN,55.659166666665946,5
70,2023-06-05 15:10:00+02:00,UP,,36.0,2023-06-05 15:46:00+02:00,2023-06-05 16:10:00+02:00,1.07227,24.0,,True,2023-06-05 16:54:00+02:00,1.07056,17.100000000001003,2.7142857142853116,44.0,,,SINGLE_WAVE_FORT_UP,308.94801772514626,16
72,2023-06-15 14:09:00+02:00,UP,,3.0,2023-06-15 14:12:00+02:00,2023-06-15 16:07:00+02:00,1.09118,115.0,,True,2023-06-15 16:08:00+02:00,1.091,1.80000000000069,0.6666666666669407,1.0,,,SINGLE_WAVE_FORT_UP,654.4780523331166,33
73,2023-06-21 15:47:00+02:00,UP,,6.0,2023-06-21 15:53:00+02:00,2023-06-21 16:44:00+02:00,1.09642,51.0,,True,2023-06-21 17:11:00+02:00,1.09435,20.700000000000163,5.048780487804653,27.0,,,SINGLE_WAVE_FORT_UP,143.9828710407213,7
76,2023-06-29 14:14:00+02:00,DOWN,,16.0,2023-06-29 14:30:00+02:00,2023-06-29 15:44:00+02:00,1.08604,74.0,,True,2023-06-29 16:14:00+02:00,1.08836,23.200000000000998,3.5151515151511075,30.0,,,SINGLE_WAVE_FORT_DOWN,235.48680530021517,15
77,2023-06-30 14:08:00+02:00,UP,,3.0,2023-06-30 14:11:00+02:00,2023-06-30 16:01:00+02:00,1.09242,110.0,,True,2023-06-30 16:05:00+02:00,1.09181,6.099999999999994,1.150943396226589,4.0,,,SINGLE_WAVE_FORT_UP,351.45740627426966,24
78,2023-07-06 15:38:00+02:00,DOWN,,4.0,2023-07-06 15:42:00+02:00,2023-07-06 16:38:00+02:00,1.08339,56.0,,True,2023-07-06 17:36:00+02:00,1.08783,44.39999999999999,16.4444444444449,58.0,,,SINGLE_WAVE_FORT_DOWN,324.02756378677526,17
80,2023-07-12 14:20:00+02:00,UP,,4.0,2023-07-12 14:24:00+02:00,2023-07-12 16:19:00+02:00,1.11065,115.0,,True,2023-07-12 16:20:00+02:00,1.11016,4.899999999998794,0.8448275862066523,1.0,,,SINGLE_WAVE_FORT_UP,74.84404935826001,8
82,2023-07-20 16:05:00+02:00,DOWN,,2.0,2023-07-20 16:07:00+02:00,2023-07-20 17:50:00+02:00,1.11321,103.0,,True,2023-07-20 18:02:00+02:00,1.11383,6.200000000000649,15.499999999986123,12.0,,,SINGLE_WAVE_FORT_DOWN,88.7684172901148,6
83,2023-07-24 09:15:00+02:00,DOWN,,0.0,2023-07-24 09:15:00+02:00,2023-07-24 10:42:00+02:00,1.10659,87.0,,True,2023-07-24 11:13:00+02:00,1.10834,17.500000000001403,7.291666666666705,31.0,,,SINGLE_WAVE_FORT_DOWN,124.49453780829612,9
85,2023-07-27 14:16:00+02:00,DOWN,,0.0,2023-07-27 14:16:00+02:00,2023-07-27 15:45:00+02:00,1.09917,89.0,,True,2023-07-27 15:54:00+02:00,1.10159,24.200000000000887,7.1176470588236445,9.0,,,SINGLE_WAVE_FORT_DOWN,932.4877103853104,33
86,2023-07-28 15:41:00+02:00,UP,,8.0,2023-07-28 15:49:00+02:00,2023-07-28 16:24:00+02:00,1.10477,35.0,,True,2023-07-28 17:22:00+02:00,1.10223,25.399999999999867,5.644444444443644,58.0,,,SINGLE_WAVE_FORT_UP,133.84201787415205,10
87,2023-08-02 15:30:00+02:00,DOWN,,4.0,2023-08-02 15:34:00+02:00,2023-08-02 16:30:00+02:00,1.0918,56.0,,True,2023-08-02 17:30:00+02:00,1.0938,20.000000000000018,10.00000000000111,60.0,,,SINGLE_WAVE_FORT_DOWN,219.12880345912177,11
88,2023-08-04 14:16:00+02:00,UP,,8.0,2023-08-04 14:24:00+02:00,2023-08-04 15:41:00+02:00,1.10301,77.0,,True,2023-08-04 16:09:00+02:00,1.10026,27.500000000000302,18.333333333321985,28.0,,,SINGLE_WAVE_FORT_UP,631.1522638286606,21
91,2023-08-14 14:29:00+02:00,DOWN,,3.0,2023-08-14 14:32:00+02:00,2023-08-14 15:48:00+02:00,1.08749,76.0,,True,2023-08-14 16:18:00+02:00,1.0909,34.09999999999913,10.02941176470542,30.0,,,SINGLE_WAVE_FORT_DOWN,105.94241952708002,12
93,2023-08-23 09:30:00+02:00,DOWN,,0.0,2023-08-23 09:30:00+02:00,2023-08-23 11:26:00+02:00,1.08104,116.0,,True,2023-08-23 11:29:00+02:00,1.08185,8.099999999999774,40.500000000183185,3.0,,,SINGLE_WAVE_FORT_DOWN,267.40045499094657,19
94,2023-08-23 15:04:00+02:00,UP,,2.0,2023-08-23 15:06:00+02:00,2023-08-23 16:27:00+02:00,1.0854,81.0,,True,2023-08-23 16:41:00+02:00,1.08413,12.699999999998823,6.350000000000111,14.0,,,SINGLE_WAVE_FORT_UP,188.1913035473278,9
96,2023-08-29 15:23:00+02:00,UP,,12.0,2023-08-29 15:35:00+02:00,2023-08-29 16:06:00+02:00,1.08503,31.0,,True,2023-08-29 16:48:00+02:00,1.0823,27.29999999999899,27.300000000001997,42.0,,,SINGLE_WAVE_FORT_UP,178.9309613410896,9
97,2023-08-30 14:07:00+02:00,UP,,4.0,2023-08-30 14:11:00+02:00,2023-08-30 15:59:00+02:00,1.09459,108.0,,True,2023-08-30 16:04:00+02:00,1.09343,11.600000000000499,2.1886792452834456,5.0,,,SINGLE_WAVE_FORT_UP,348.1247803273127,15
98,2023-09-01 15:36:00+02:00,DOWN,,1.0,2023-09-01 15:37:00+02:00,2023-09-01 17:33:00+02:00,1.07888,116.0,,True,2023-09-01 17:35:00+02:00,1.07928,3.9999999999995595,3.3333333333358004,2.0,,,SINGLE_WAVE_FORT_DOWN,224.5901004851004,8
101,2023-09-20 19:04:00+02:00,DOWN,,34.0,2023-09-20 19:38:00+02:00,2023-09-20 20:04:00+02:00,1.0674,26.0,,True,2023-09-20 20:33:00+02:00,1.0718,44.00000000000182,4.074074074073518,29.0,,,SINGLE_WAVE_FORT_DOWN,395.9973064713083,9
102,2023-09-22 09:15:00+02:00,DOWN,,0.0,2023-09-22 09:15:00+02:00,2023-09-22 09:22:00+02:00,1.06151,7.0,,True,2023-09-22 09:30:00+02:00,1.06538,38.7000000000004,6.142857142855934,8.0,,,SINGLE_WAVE_FORT_DOWN,233.56040868454383,16
103,2023-10-06 14:01:00+02:00,DOWN,,4.0,2023-10-06 14:05:00+02:00,2023-10-06 14:51:00+02:00,1.04827,46.0,,True,2023-10-06 15:26:00+02:00,1.05229,40.19999999999912,5.025000000000444,35.0,,,SINGLE_WAVE_FORT_DOWN,658.2906339845332,27
104,2023-10-06 16:28:00+02:00,UP,,2.0,2023-10-06 16:30:00+02:00,2023-10-06 17:42:00+02:00,1.06001,72.0,,True,2023-10-06 18:22:00+02:00,1.05757,24.399999999999977,12.8421052631638,40.0,,,SINGLE_WAVE_FORT_UP,26.69066666666875,3
105,2023-10-10 09:55:00+02:00,UP,,4.0,2023-10-10 09:59:00+02:00,2023-10-10 11:29:00+02:00,1.06113,90.0,,True,2023-10-10 11:37:00+02:00,1.06007,10.599999999998388,13.25000000002151,8.0,,,SINGLE_WAVE_FORT_UP,109.29989285714578,9
106,2023-10-12 14:30:00+02:00,DOWN,,0.0,2023-10-12 14:30:00+02:00,2023-10-12 16:03:00+02:00,1.05474,93.0,,True,2023-10-12 16:11:00+02:00,1.05628,15.400000000000968,30.80000000007372,8.0,,,SINGLE_WAVE_FORT_DOWN,288.22200397459056,18
112,2023-11-14 14:17:00+01:00,UP,,1.0,2023-11-14 14:18:00+01:00,2023-11-14 16:12:00+01:00,1.08365,114.0,,True,2023-11-14 16:17:00+01:00,1.08284,8.099999999999774,6.230769230770807,5.0,,,SINGLE_WAVE_FORT_UP,147.09790091179678,9
113,2023-11-16 16:36:00+01:00,DOWN,,5.0,2023-11-16 16:41:00+01:00,2023-11-16 17:55:00+01:00,1.08466,74.0,,True,2023-11-16 18:31:00+01:00,1.0859,12.400000000001299,17.714285714283903,36.0,,,SINGLE_WAVE_FORT_DOWN,182.5760584093231,12
114,2023-11-22 14:30:00+01:00,DOWN,,0.0,2023-11-22 14:30:00+01:00,2023-11-22 16:14:00+01:00,1.08524,104.0,,True,2023-11-22 16:30:00+01:00,1.08645,12.099999999999334,5.0416666666660115,16.0,,,SINGLE_WAVE_FORT_DOWN,248.13751596368428,10
115,2023-11-30 08:42:00+01:00,DOWN,,1.0,2023-11-30 08:43:00+01:00,2023-11-30 10:04:00+01:00,1.09202,81.0,,True,2023-11-30 10:33:00+01:00,1.09383,18.100000000000893,5.838709677419032,29.0,,,SINGLE_WAVE_FORT_DOWN,297.63697415413435,32
117,2023-12-04 14:28:00+01:00,DOWN,,9.0,2023-12-04 14:37:00+01:00,2023-12-04 16:26:00+01:00,1.08126,109.0,,True,2023-12-04 16:28:00+01:00,1.08168,4.199999999998649,1.9090909090912762,2.0,,,SINGLE_WAVE_FORT_DOWN,45.50607462226352,4
118,2023-12-08 13:34:00+01:00,DOWN,,11.0,2023-12-08 13:45:00+01:00,2023-12-08 14:31:00+01:00,1.0724,46.0,,True,2023-12-08 14:50:00+01:00,1.07709,46.90000000000083,6.012820512820597,19.0,,,SINGLE_WAVE_FORT_DOWN,498.1321384731528,12
119,2023-12-08 15:34:00+01:00,UP,,26.0,2023-12-08 16:00:00+01:00,2023-12-08 16:19:00+01:00,1.0786,19.0,,True,2023-12-08 17:18:00+01:00,1.07541,31.90000000000026,9.114285714283902,59.0,,,SINGLE_WAVE_FORT_UP,156.10565878207214,9
120,2023-12-12 14:35:00+01:00,DOWN,,4.0,2023-12-12 14:39:00+01:00,2023-12-12 15:35:00+01:00,1.07673,56.0,,True,2023-12-12 16:25:00+01:00,1.07899,22.599999999999287,13.294117647058131,50.0,,,SINGLE_WAVE_FORT_DOWN,131.57879238221503,10
121,2023-12-13 19:51:00+01:00,UP,,9.0,2023-12-13 20:00:00+01:00,2023-12-13 21:09:00+01:00,1.08967,69.0,,True,2023-12-13 21:31:00+01:00,1.0865,31.69999999999895,5.372881355933224,22.0,,,SINGLE_WAVE_FORT_UP,411.06231837607015,8
122,2023-12-14 14:40:00+01:00,UP,,1.0,2023-12-14 14:41:00+01:00,2023-12-14 16:02:00+01:00,1.09973,81.0,,True,2023-12-14 16:36:00+01:00,1.09683,29.000000000001247,11.599999999996625,34.0,,,SINGLE_WAVE_FORT_UP,463.44927702200494,20
125,2023-12-21 11:42:00+01:00,UP,,3.0,2023-12-21 11:45:00+01:00,2023-12-21 13:36:00+01:00,1.0987,111.0,,True,2023-12-21 13:37:00+01:00,1.09852,1.80000000000069,17.999999999888978,1.0,,,SINGLE_WAVE_FORT_UP,42.81763638427519,5
