baseline_price,latency_minutes,movement_start_time,peak_time,peak_price,peak_minutes_from_start,impact_pips,direction,has_pullback,pullback_time,pullback_price,pullback_pips,pullback_ratio,pullback_minutes_from_peak,event_time,event_title,country,importance_n,empirical_score
1.0908,4.0,2023-02-01 19:04:00+01:00,2023-02-01 20:46:00+01:00,1.09862,102.0,78.19999999999938,UP,True,2023-02-01 20:51:00+01:00,1.09659,20.299999999999763,0.2595907928388737,5.0,2023-02-01 19:00:00+01:00,Fed Interest Rate Decision,US,2,51.74600000000022
1.09339,50.0,2023-02-03 14:20:00+01:00,2023-02-03 14:49:00+01:00,1.08267,29.0,107.20000000000063,DOWN,True,2023-02-03 15:30:00+01:00,1.08535,26.800000000000157,0.25,41.0,2023-02-03 13:30:00+01:00,Participation Rate,US,2,60.82783783783764
1.09339,50.0,2023-02-03 14:20:00+01:00,2023-02-03 14:49:00+01:00,1.08267,29.0,107.20000000000063,DOWN,True,2023-02-03 15:30:00+01:00,1.08535,26.800000000000157,0.25,41.0,2023-02-03 13:30:00+01:00,Non Farm Payrolls,US,2,61.61162162162137
1.09339,50.0,2023-02-03 14:20:00+01:00,2023-02-03 14:49:00+01:00,1.08267,29.0,107.20000000000063,DOWN,True,2023-02-03 15:30:00+01:00,1.08535,26.800000000000157,0.25,41.0,2023-02-03 13:30:00+01:00,Average Hourly Earnings,US,2,60.631392405062975
1.09339,50.0,2023-02-03 14:20:00+01:00,2023-02-03 14:49:00+01:00,1.08267,29.0,107.20000000000063,DOWN,True,2023-02-03 15:30:00+01:00,1.08535,26.800000000000157,0.25,41.0,2023-02-03 13:30:00+01:00,Nonfarm Payrolls Private,US,2,61.29945945945923
1.09339,50.0,2023-02-03 14:20:00+01:00,2023-02-03 14:49:00+01:00,1.08267,29.0,107.20000000000063,DOWN,True,2023-02-03 15:30:00+01:00,1.08535,26.800000000000157,0.25,41.0,2023-02-03 13:30:00+01:00,Average Weekly Hours,US,2,61.29945945945923
1.1031,1.0,2023-05-05 12:31:00+02:00,2023-05-05 14:30:00+02:00,1.09718,119.0,59.19999999999925,DOWN,False,,,,,,2023-05-05 12:30:00+02:00,Nonfarm Payrolls Private,US,2,61.29945945945923
1.1031,1.0,2023-05-05 12:31:00+02:00,2023-05-05 14:30:00+02:00,1.09718,119.0,59.19999999999925,DOWN,False,,,,,,2023-05-05 12:30:00+02:00,Unemployment Rate,US,2,60.17926829268247
1.1031,1.0,2023-05-05 12:31:00+02:00,2023-05-05 14:30:00+02:00,1.09718,119.0,59.19999999999925,DOWN,False,,,,,,2023-05-05 12:30:00+02:00,Participation Rate,US,2,60.82783783783764
1.1031,1.0,2023-05-05 12:31:00+02:00,2023-05-05 14:30:00+02:00,1.09718,119.0,59.19999999999925,DOWN,False,,,,,,2023-05-05 12:30:00+02:00,Average Weekly Hours,US,2,61.29945945945923
1.1031,1.0,2023-05-05 12:31:00+02:00,2023-05-05 14:30:00+02:00,1.09718,119.0,59.19999999999925,DOWN,False,,,,,,2023-05-05 12:30:00+02:00,Average Hourly Earnings,US,2,60.631392405062975
1.1031,1.0,2023-05-05 12:31:00+02:00,2023-05-05 14:30:00+02:00,1.09718,119.0,59.19999999999925,DOWN,False,,,,,,2023-05-05 12:30:00+02:00,Non Farm Payrolls,US,2,61.61162162162137
1.10249,120.0,2023-07-12 14:30:00+02:00,2023-07-12 14:30:00+02:00,1.10651,0.0,40.200000000001346,UP,False,,,,,,2023-07-12 12:30:00+02:00,Inflation Rate,US,2,48.84133333333301
1.05589,26.0,2023-10-06 12:56:00+02:00,2023-10-06 14:30:00+02:00,1.05182,94.0,40.70000000000018,DOWN,False,,,,,,2023-10-06 12:30:00+02:00,Manufacturing Payrolls,US,2,59.484594594594085
1.05589,26.0,2023-10-06 12:56:00+02:00,2023-10-06 14:30:00+02:00,1.05182,94.0,40.70000000000018,DOWN,False,,,,,,2023-10-06 12:30:00+02:00,Participation Rate,US,2,60.82783783783764
1.05589,26.0,2023-10-06 12:56:00+02:00,2023-10-06 14:30:00+02:00,1.05182,94.0,40.70000000000018,DOWN,False,,,,,,2023-10-06 12:30:00+02:00,Average Weekly Hours,US,2,61.29945945945923
1.05589,26.0,2023-10-06 12:56:00+02:00,2023-10-06 14:30:00+02:00,1.05182,94.0,40.70000000000018,DOWN,False,,,,,,2023-10-06 12:30:00+02:00,U-6 Unemployment Rate,US,2,63.960434782608424
1.05589,26.0,2023-10-06 12:56:00+02:00,2023-10-06 14:30:00+02:00,1.05182,94.0,40.70000000000018,DOWN,False,,,,,,2023-10-06 12:30:00+02:00,Average Hourly Earnings,US,2,60.631392405062975
1.05589,26.0,2023-10-06 12:56:00+02:00,2023-10-06 14:30:00+02:00,1.05182,94.0,40.70000000000018,DOWN,False,,,,,,2023-10-06 12:30:00+02:00,Unemployment Rate,US,2,60.17926829268247
1.05589,26.0,2023-10-06 12:56:00+02:00,2023-10-06 14:30:00+02:00,1.05182,94.0,40.70000000000018,DOWN,False,,,,,,2023-10-06 12:30:00+02:00,Government Payrolls,US,2,59.172432432431954
1.05589,26.0,2023-10-06 12:56:00+02:00,2023-10-06 14:30:00+02:00,1.05182,94.0,40.70000000000018,DOWN,False,,,,,,2023-10-06 12:30:00+02:00,Nonfarm Payrolls Private,US,2,61.29945945945923
1.05589,26.0,2023-10-06 12:56:00+02:00,2023-10-06 14:30:00+02:00,1.05182,94.0,40.70000000000018,DOWN,False,,,,,,2023-10-06 12:30:00+02:00,Non Farm Payrolls,US,2,61.61162162162137
1.07239,31.0,2023-11-14 14:01:00+01:00,2023-11-14 15:12:00+01:00,1.0823,71.0,99.10000000000085,UP,True,2023-11-14 15:25:00+01:00,1.08094,13.600000000000279,0.13723511604440122,13.0,2023-11-14 13:30:00+01:00,CPI,US,2,45.47810810810828
1.07239,31.0,2023-11-14 14:01:00+01:00,2023-11-14 15:12:00+01:00,1.0823,71.0,99.10000000000085,UP,True,2023-11-14 15:25:00+01:00,1.08094,13.600000000000279,0.13723511604440122,13.0,2023-11-14 13:30:00+01:00,CPI s.a,US,2,44.534411764706576
1.07239,31.0,2023-11-14 14:01:00+01:00,2023-11-14 15:12:00+01:00,1.0823,71.0,99.10000000000085,UP,True,2023-11-14 15:25:00+01:00,1.08094,13.600000000000279,0.13723511604440122,13.0,2023-11-14 13:30:00+01:00,Core Inflation Rate,US,2,47.17999999999994
1.07239,31.0,2023-11-14 14:01:00+01:00,2023-11-14 15:12:00+01:00,1.0823,71.0,99.10000000000085,UP,True,2023-11-14 15:25:00+01:00,1.08094,13.600000000000279,0.13723511604440122,13.0,2023-11-14 13:30:00+01:00,Inflation Rate,US,2,48.84133333333301
1.07843,37.0,2023-12-13 19:37:00+01:00,2023-12-13 20:51:00+01:00,1.08918,74.0,107.50000000000037,UP,True,2023-12-13 20:56:00+01:00,1.08793,12.499999999999734,0.11627906976743899,5.0,2023-12-13 19:00:00+01:00,Interest Rate Projection - 2nd Yr,US,2,53.94375000000029
1.07843,37.0,2023-12-13 19:37:00+01:00,2023-12-13 20:51:00+01:00,1.08918,74.0,107.50000000000037,UP,True,2023-12-13 20:56:00+01:00,1.08793,12.499999999999734,0.11627906976743899,5.0,2023-12-13 19:00:00+01:00,FOMC Economic Projections,US,2,52.21384615384632
1.07843,37.0,2023-12-13 19:37:00+01:00,2023-12-13 20:51:00+01:00,1.08918,74.0,107.50000000000037,UP,True,2023-12-13 20:56:00+01:00,1.08793,12.499999999999734,0.11627906976743899,5.0,2023-12-13 19:00:00+01:00,Interest Rate Projection - 1st Yr,US,2,53.94375000000029
1.07843,37.0,2023-12-13 19:37:00+01:00,2023-12-13 20:51:00+01:00,1.08918,74.0,107.50000000000037,UP,True,2023-12-13 20:56:00+01:00,1.08793,12.499999999999734,0.11627906976743899,5.0,2023-12-13 19:00:00+01:00,Interest Rate Projection - 3rd Yr,US,2,54.19822222222251
1.07843,37.0,2023-12-13 19:37:00+01:00,2023-12-13 20:51:00+01:00,1.08918,74.0,107.50000000000037,UP,True,2023-12-13 20:56:00+01:00,1.08793,12.499999999999734,0.11627906976743899,5.0,2023-12-13 19:00:00+01:00,Fed Interest Rate Decision,US,2,51.74600000000022
1.07843,37.0,2023-12-13 19:37:00+01:00,2023-12-13 20:51:00+01:00,1.08918,74.0,107.50000000000037,UP,True,2023-12-13 20:56:00+01:00,1.08793,12.499999999999734,0.11627906976743899,5.0,2023-12-13 19:00:00+01:00,Interest Rate Projection - Longer,US,2,51.96000000000027
