pattern_type,score_range,n_cases,mean_actual,std_actual,mean_predicted,mae,std_error,min_error,max_error,status
SINGLE_WAVE_FORT_UP,300-400,9,44.97111111111051,4.652283655354337,44.9711111111105,3.6888888888893083,3.712810426810089,0.04625000000091006,12.969999999999928,EXCELLENT
SINGLE_WAVE_FORT_DOWN,200-300,23,49.88173913043486,7.985630383858667,49.88173913043486,6.487075098814699,5.255207457624961,0.0018181818183506948,21.81681818181751,EXCELLENT
DOUBLE_WAVE_UP,400-500,3,49.18666666666737,5.513385731310265,49.18666666666738,7.7933333333324315,2.7673372681252286,5.529999999996932,11.689999999998648,EXCELLENT
DOUBLE_WAVE_DOWN,100-200,24,52.74500000000006,10.786944655461367,52.74500000000006,9.388695652173352,6.2087542927443,0.8295652173930534,28.54434782608766,EXCELLENT
DOUBLE_WAVE_UP,500+,12,55.6049999999995,10.563195933681326,55.6049999999995,10.371818181818554,5.0215662993906385,3.5727272727286774,19.739999999999206,EXCELLENT
DOUBLE_WAVE_UP,100-200,18,54.02222222222222,13.945312058001388,54.02222222222222,10.79699346405158,10.072169575482286,0.8176470588232689,43.85411764705646,EXCELLENT
SINGLE_WAVE_FORT_DOWN,400-500,6,72.51166666666661,11.521212923221261,72.51166666666661,11.92999999999956,6.987010805772341,3.9220000000011055,23.86599999999639,EXCELLENT
SINGLE_WAVE_FORT_UP,0-100,35,56.098380952380595,16.786370479845335,56.098380952380595,12.71222408963577,11.704732989775408,0.4751960784328233,53.66490196078496,EXCELLENT
DOUBLE_WAVE_UP,0-100,19,56.84736842105202,25.565942979737798,56.847368421052,14.098421052631469,23.01072493630551,0.7572222222229641,109.04166666666615,EXCELLENT
DOUBLE_WAVE_UP,200-300,19,56.02263157894752,19.196176111020534,56.022631578947525,14.275730994152052,14.379766787198182,0.35611111111302307,68.33388888888848,EXCELLENT
SINGLE_WAVE_FORT_DOWN,100-200,29,58.45103448275863,16.958345182936604,58.451034482758615,14.593965517241061,9.772936069070555,0.4132142857134369,41.25142857142802,EXCELLENT
DOUBLE_WAVE_DOWN,0-100,23,60.4150241545891,19.167818787383787,60.41502415458909,15.444980237154438,12.767828479631245,2.3261616161634464,52.0688383838396,EXCELLENT
SINGLE_WAVE_FORT_UP,100-200,25,57.10479999999993,20.070603203690908,57.10479999999993,16.006400000000095,13.449636457747136,0.8700000000008643,64.60958333333636,EXCELLENT
SINGLE_WAVE_FORT_DOWN,0-100,37,58.1321621621626,18.950047869173655,58.132162162162615,16.17510510510514,10.848853184794264,4.976666666667974,62.147499999999354,EXCELLENT
SINGLE_WAVE_FORT_DOWN,500+,14,71.88214285714271,19.45418433821662,71.88214285714272,16.450329670330195,12.973696872603258,1.3869230769234235,48.53461538461326,EXCELLENT
SINGLE_WAVE_FORT_DOWN,300-400,9,65.17555555555542,19.190138156593285,65.1755555555554,17.235833333333154,13.000264874438674,5.912499999999866,51.05749999999966,EXCELLENT
DOUBLE_WAVE_DOWN,200-300,17,57.210000000000214,21.691818734259567,57.21000000000022,17.297499999999403,15.231099635080248,0.9456249999993602,69.83812499999769,EXCELLENT
DOUBLE_WAVE_DOWN,500+,10,58.574999999999605,18.271746632437523,58.574999999999605,17.432222222222048,10.406076335072422,4.883333333333745,41.261111111111525,EXCELLENT
SINGLE_WAVE_FORT_UP,400-500,7,59.11714285714385,20.889665739160787,59.117142857143854,17.562857142856974,16.896898436025552,0.09666666666723245,55.09333333333254,EXCELLENT
SINGLE_WAVE_FORT_UP,500+,19,64.21157894736875,29.45171664430446,64.21157894736875,18.559707602339945,24.939852002631806,0.08611111111143543,117.76666666666497,EXCELLENT
SINGLE_WAVE_FORT_UP,200-300,19,62.91210526315772,31.776329916092198,62.91210526315771,23.68859649122842,23.746469197803567,0.5044444444432798,98.38611111111322,ACCEPTABLE
DOUBLE_WAVE_DOWN,300-400,9,75.4066666666669,33.651577806827234,75.4066666666669,26.660833333334082,26.878058437083133,3.02999999999831,97.08000000000246,ACCEPTABLE
DOUBLE_WAVE_UP,300-400,5,63.579999999999515,30.508182508959504,63.579999999999515,29.79499999999979,23.80238643497717,3.2874999999998806,74.48749999999947,ACCEPTABLE
