date,total_events,us_events,high_impact_us,max_score
2025-12-30,1,1,1,45.77832801413763
2025-12-10,13,13,11,75.71116767335741
2025-12-05,17,17,9,67.6438161052937
2025-12-01,6,6,6,100.0
2025-11-21,9,9,1,63.305740150233156
2025-11-19,3,3,1,45.77832801413763
2025-11-13,10,10,4,45.13412286023265
2025-11-07,15,15,9,67.6438161052937
2025-11-03,6,6,6,100.0
2025-10-29,4,4,1,48.517963191030475
2025-10-24,10,10,1,63.305740150233156
2025-10-17,28,28,10,61.492477137506555
2025-10-15,11,11,10,46.131002713643156
2025-10-14,2,2,1,100.0
2025-10-08,3,3,1,45.77832801413763
2025-10-03,26,26,9,67.6438161052937
2025-10-01,11,11,8,100.0
2025-09-23,12,12,2,63.305740150233156
2025-09-17,17,17,13,75.71116767335741
2025-09-11,21,21,11,46.131002713643156
2025-09-05,13,13,12,67.6438161052937
2025-09-02,9,9,8,100.0
2025-08-21,22,22,2,63.305740150233156
2025-08-20,2,2,1,45.77832801413763
2025-08-12,14,14,11,46.131002713643156
2025-08-01,25,25,17,100.0
2025-07-30,13,13,2,48.517963191030475
2025-07-24,17,17,2,63.305740150233156
2025-07-15,13,13,11,46.131002713643156
2025-07-09,5,5,1,45.77832801413763
2025-07-03,52,52,12,67.6438161052937
2025-07-01,11,11,8,100.0
2025-06-18,22,22,11,64.67768311660907
2025-06-11,14,14,11,46.131002713643156
2025-06-06,15,15,12,67.6438161052937
2025-06-02,9,9,8,100.0
2025-05-28,5,5,1,45.77832801413763
2025-05-13,11,11,11,46.131002713643156
2025-05-07,3,3,2,48.517963191030475
2025-05-02,23,23,12,67.6438161052937
2025-05-01,17,17,8,100.0
2025-04-23,8,8,2,63.305740150233156
2025-04-10,21,21,11,46.131002713643156
2025-04-09,5,5,1,45.77832801413763
2025-04-04,11,11,10,61.492477137506555
2025-04-01,12,12,8,100.0
2025-03-24,7,7,2,63.305740150233156
2025-03-19,12,12,11,64.67768311660907
2025-03-12,8,8,5,45.13412286023265
2025-03-07,9,9,8,61.492477137506555
