datetime,open,high,low,close
2025-09-11 14:20:00+02:00,1.17441,1.17444,1.17403,1.1741
2025-09-11 14:21:00+02:00,1.17412,1.17418,1.1741,1.17417
2025-09-11 14:22:00+02:00,1.17418,1.17428,1.17409,1.17414
2025-09-11 14:23:00+02:00,1.17414,1.17418,1.17405,1.17405
2025-09-11 14:24:00+02:00,1.17402,1.17402,1.1734,1.17362
2025-09-11 14:25:00+02:00,1.17363,1.1737,1.17308,1.17314
2025-09-11 14:26:00+02:00,1.17313,1.17333,1.17304,1.17309
2025-09-11 14:27:00+02:00,1.17309,1.17346,1.17296,1.17328
2025-09-11 14:28:00+02:00,1.17327,1.17338,1.17307,1.1731
2025-09-11 14:29:00+02:00,1.17313,1.17331,1.17301,1.17321
2025-09-11 14:30:00+02:00,1.17321,1.17332,1.17296,1.17312
2025-09-11 14:31:00+02:00,1.17311,1.17339,1.17311,1.17334
2025-09-11 14:32:00+02:00,1.17333,1.17376,1.17333,1.17373
2025-09-11 14:33:00+02:00,1.17376,1.1738,1.17352,1.17359
2025-09-11 14:34:00+02:00,1.17357,1.17376,1.17348,1.17354
2025-09-11 14:35:00+02:00,1.17356,1.17373,1.17351,1.17358
2025-09-11 14:36:00+02:00,1.1736,1.1738,1.17358,1.17375
2025-09-11 14:37:00+02:00,1.17377,1.17379,1.17351,1.17372
2025-09-11 14:38:00+02:00,1.17375,1.17379,1.17359,1.17374
2025-09-11 14:39:00+02:00,1.17376,1.17381,1.17368,1.17377
2025-09-11 14:40:00+02:00,1.17377,1.17387,1.17367,1.17373
2025-09-11 14:41:00+02:00,1.1737,1.17376,1.17357,1.1737
2025-09-11 14:42:00+02:00,1.17372,1.17376,1.17353,1.17356
2025-09-11 14:43:00+02:00,1.17354,1.17354,1.17329,1.17332
2025-09-11 14:44:00+02:00,1.17331,1.17345,1.1732,1.17343
2025-09-11 14:45:00+02:00,1.17343,1.17365,1.17321,1.17331
2025-09-11 14:46:00+02:00,1.17333,1.17369,1.17333,1.17352
2025-09-11 14:47:00+02:00,1.17355,1.17355,1.17336,1.17342
2025-09-11 14:48:00+02:00,1.17343,1.17354,1.17339,1.17352
2025-09-11 14:49:00+02:00,1.17352,1.17371,1.17344,1.17347
2025-09-11 14:50:00+02:00,1.17348,1.17371,1.17348,1.17355
2025-09-11 14:51:00+02:00,1.17354,1.17357,1.17327,1.17334
2025-09-11 14:52:00+02:00,1.17335,1.17337,1.17322,1.17325
2025-09-11 14:53:00+02:00,1.17323,1.17327,1.17286,1.17292
2025-09-11 14:54:00+02:00,1.17293,1.17293,1.17262,1.17265
2025-09-11 14:55:00+02:00,1.17264,1.17287,1.17256,1.17287
2025-09-11 14:56:00+02:00,1.17285,1.17306,1.17278,1.17285
2025-09-11 14:57:00+02:00,1.17284,1.17286,1.17275,1.17285
2025-09-11 14:58:00+02:00,1.17285,1.17307,1.17283,1.17299
2025-09-11 14:59:00+02:00,1.17301,1.17304,1.17279,1.17282
2025-09-11 15:00:00+02:00,1.17282,1.17285,1.17268,1.17274
2025-09-11 15:01:00+02:00,1.17273,1.17281,1.17272,1.1728
2025-09-11 15:02:00+02:00,1.1728,1.17299,1.17275,1.17287
2025-09-11 15:03:00+02:00,1.1729,1.17316,1.1729,1.17304
2025-09-11 15:04:00+02:00,1.17305,1.17305,1.17263,1.17268
2025-09-11 15:05:00+02:00,1.17269,1.17296,1.17269,1.17292
2025-09-11 15:06:00+02:00,1.17295,1.17307,1.1729,1.17301
2025-09-11 15:07:00+02:00,1.17301,1.17315,1.173,1.17312
2025-09-11 15:08:00+02:00,1.17312,1.17328,1.17297,1.1731
2025-09-11 15:09:00+02:00,1.17311,1.1733,1.17311,1.17321
2025-09-11 15:10:00+02:00,1.17323,1.17348,1.17323,1.17348
2025-09-11 15:11:00+02:00,1.17346,1.17348,1.17321,1.17333
2025-09-11 15:12:00+02:00,1.17333,1.1734,1.17328,1.17329
2025-09-11 15:13:00+02:00,1.17328,1.17349,1.17326,1.17343
2025-09-11 15:14:00+02:00,1.17341,1.17367,1.1734,1.17367
2025-09-11 15:15:00+02:00,1.17368,1.17379,1.17367,1.17368
2025-09-11 15:16:00+02:00,1.1737,1.17384,1.17365,1.17384
2025-09-11 15:17:00+02:00,1.17383,1.17395,1.17379,1.17393
2025-09-11 15:18:00+02:00,1.17391,1.17411,1.17391,1.17409
2025-09-11 15:19:00+02:00,1.17409,1.17409,1.17393,1.17398
2025-09-11 15:20:00+02:00,1.17399,1.1742,1.17398,1.1742
2025-09-11 15:21:00+02:00,1.17421,1.17447,1.17418,1.17446
2025-09-11 15:22:00+02:00,1.17446,1.17464,1.17417,1.17421
2025-09-11 15:23:00+02:00,1.17421,1.17448,1.17414,1.17448
2025-09-11 15:24:00+02:00,1.17446,1.17463,1.17435,1.1744
2025-09-11 15:25:00+02:00,1.17443,1.17445,1.17428,1.17432
2025-09-11 15:26:00+02:00,1.17432,1.17443,1.174,1.17405
2025-09-11 15:27:00+02:00,1.17404,1.17425,1.17404,1.17418
2025-09-11 15:28:00+02:00,1.17417,1.17426,1.17376,1.17376
2025-09-11 15:29:00+02:00,1.17376,1.17387,1.1737,1.17381
2025-09-11 15:30:00+02:00,1.17376,1.17377,1.17349,1.17366
