date,event_timestamp,event_title,impact_pips,ttr_minutes,price_start,price_peak,num_candles,peak_time,window_minutes,impact_old_method,difference_pips,difference_pct
2025-10-15,2025-10-15 14:30:00,Core Inflation Rate,23.800000000000487,76.0,1.16238,1.16476,121,2025-10-15 15:46:00,120,23.900000000001143,-0.10000000000065512,-0.4184100418437252
2025-09-11,2025-09-11 14:30:00,Core Inflation Rate,14.299999999998203,52.0,1.17321,1.17464,121,2025-09-11 15:22:00,120,14.299999999998205,-1.7763568394002505e-15,-1.2422075800003311e-14
2025-08-12,2025-08-12 14:30:00,Core Inflation Rate,43.999999999999595,74.0,1.16534,1.16974,121,2025-08-12 15:44:00,120,43.89999999999894,0.10000000000065512,0.22779043280332012
2025-07-15,2025-07-15 14:30:00,Core Inflation Rate,3.1000000000003247,10.0,1.16222,1.16253,121,2025-07-15 14:40:00,120,20.800000000000814,-17.70000000000049,-85.09615384615287
2025-06-11,2025-06-11 14:30:00,Core Inflation Rate,19.100000000000783,75.0,1.14715,1.14906,121,2025-06-11 15:45:00,120,19.100000000000783,0.0,0.0
2025-05-13,2025-05-13 14:30:00,Core Inflation Rate,40.40000000000043,91.0,1.11382,1.11786,121,2025-05-13 16:01:00,120,40.10000000000069,0.29999999999974136,0.748129675809816
2025-04-10,2025-04-10 14:30:00,Core Inflation Rate,93.30000000000061,73.0,1.1136,1.12293,121,2025-04-10 15:43:00,120,93.19999999999996,0.10000000000064801,0.10729613733975113
2025-02-12,2025-02-12 14:30:00,Core Inflation Rate,61.59999999999943,120.0,1.03597,1.04213,121,2025-02-12 16:30:00,120,36.300000000000225,25.29999999999921,69.69696969696709
2025-01-15,2025-01-15 14:30:00,Core Inflation Rate,4.699999999999704,3.0,1.03264,1.03311,121,2025-01-15 14:33:00,120,67.39999999999968,-62.699999999999974,-93.02670623145441
2024-12-11,2024-12-11 14:30:00,Core Inflation Rate,14.600000000000168,84.0,1.04975,1.05121,121,2024-12-11 15:54:00,120,16.999999999998128,-2.3999999999979593,-14.117647058813079
2024-11-13,2024-11-13 14:30:00,Core Inflation Rate,21.600000000001618,22.0,1.05723,1.05939,121,2024-11-13 14:52:00,120,21.700000000000053,-0.09999999999843467,-0.460829493080343
2024-10-10,2024-10-10 14:30:00,Core Inflation Rate,7.399999999999629,69.0,1.09226,1.093,121,2024-10-10 15:39:00,120,8.799999999999919,-1.40000000000029,-15.90909090909435
2024-09-11,2024-09-11 14:30:00,Core Inflation Rate,8.900000000000574,101.0,1.10089,1.10178,121,2024-09-11 16:11:00,120,8.00000000000134,0.8999999999992347,11.249999999988551
2024-08-14,2024-08-14 14:30:00,Core Inflation Rate,7.999999999999119,10.0,1.10395,1.10475,121,2024-08-14 14:40:00,120,18.399999999998418,-10.399999999999299,-56.52173913043583
2024-07-11,2024-07-11 14:30:00,Core Inflation Rate,9.600000000000719,40.0,1.08714,1.0881,121,2024-07-11 15:10:00,120,9.500000000000064,0.10000000000065512,1.0526315789542573
2024-06-12,2024-06-12 14:30:00,Core Inflation Rate,10.000000000001119,35.0,1.08425,1.08525,121,2024-06-12 15:05:00,120,10.00000000000112,-1.7763568394002505e-15,-1.7763568394000514e-14
2024-05-15,2024-05-15 14:30:00,Core Inflation Rate,26.399999999999757,64.0,1.08481,1.08745,121,2024-05-15 15:34:00,120,26.30000000000132,0.09999999999843823,0.3802281368761719
2024-04-10,2024-04-10 14:30:00,Core Inflation Rate,4.499999999998394,8.0,1.07593,1.07638,121,2024-04-10 14:38:00,120,25.999999999999357,-21.500000000000963,-82.69230769231343
2024-03-12,2024-03-12 13:30:00,Core Inflation Rate,4.900000000001015,22.0,1.09147,1.09196,121,2024-03-12 13:52:00,120,6.900000000000794,-1.9999999999997797,-28.985507246370286
2024-02-13,2024-02-13 14:30:00,Core Inflation Rate,4.500000000000615,5.0,1.07225,1.0727,121,2024-02-13 14:35:00,120,9.5999999999985,-5.099999999997886,-53.12499999998628
2024-02-09,2024-02-09 14:30:00,Core Inflation Rate,2.9999999999996696,10.0,1.07858,1.07888,121,2024-02-09 14:40:00,120,5.999999999999339,-2.9999999999996696,-50.0
2024-01-11,2024-01-11 14:30:00,Core Inflation Rate,15.499999999999403,14.0,1.09476,1.09631,121,2024-01-11 14:44:00,120,15.399999999998748,0.10000000000065512,0.6493506493549562
