date,event_timestamp,event_title,impact_correct_pips,direction,price_event,price_peak,num_candles,window_minutes,impact_s99_faux,difference_pips,difference_pct
2025-10-15,2025-10-15 14:30:00+0200,Core Inflation Rate,23.900000000001143,UP,1.16237,1.16476,121,120,23.900000000001143,0.0,0.0
2025-09-11,2025-09-11 14:30:00+0200,Core Inflation Rate,14.299999999998203,UP,1.17321,1.17464,121,120,14.299999999998205,-1.7763568394002505e-15,-1.2422075800003311e-14
2025-08-12,2025-08-12 14:30:00+0200,Core Inflation Rate,43.89999999999894,UP,1.16535,1.16974,121,120,43.89999999999894,0.0,0.0
2025-07-15,2025-07-15 14:30:00+0200,Core Inflation Rate,20.800000000000818,DOWN,1.16219,1.16011,121,120,20.800000000000814,3.552713678800501e-15,1.708035422500174e-14
2025-06-11,2025-06-11 14:30:00+0200,Core Inflation Rate,19.100000000000783,UP,1.14715,1.14906,121,120,19.100000000000783,0.0,0.0
2025-05-13,2025-05-13 14:30:00+0200,Core Inflation Rate,40.500000000001094,UP,1.11381,1.11786,121,120,40.10000000000069,0.4000000000004036,0.9975062344149543
2025-04-10,2025-04-10 14:30:00+0200,Core Inflation Rate,93.19999999999995,UP,1.11361,1.12293,121,120,93.19999999999996,-1.4210854715202004e-14,-1.5247698192276836e-14
2025-02-12,2025-02-12 14:30:00+0100,Core Inflation Rate,61.500000000000995,UP,1.03598,1.04213,121,120,36.300000000000225,25.20000000000077,69.42148760330747
2025-01-15,2025-01-15 14:30:00+0100,Core Inflation Rate,67.39999999999968,DOWN,1.03265,1.02591,121,120,67.39999999999968,0.0,0.0
2024-12-11,2024-12-11 14:30:00+0100,Core Inflation Rate,16.999999999998128,DOWN,1.04974,1.04804,121,120,16.999999999998128,0.0,0.0
2024-11-13,2024-11-13 14:30:00+0100,Core Inflation Rate,21.700000000000053,UP,1.05722,1.05939,121,120,21.700000000000053,0.0,0.0
2024-10-10,2024-10-10 14:30:00+0200,Core Inflation Rate,8.799999999999919,DOWN,1.09226,1.09138,121,120,8.799999999999919,0.0,0.0
2024-09-11,2024-09-11 14:30:00+0200,Core Inflation Rate,8.900000000000574,UP,1.10089,1.10178,121,120,8.00000000000134,0.8999999999992347,11.249999999988551
2024-08-14,2024-08-14 14:30:00+0200,Core Inflation Rate,23.299999999999432,DOWN,1.10397,1.10164,121,120,18.399999999998418,4.900000000001015,26.6304347826165
2024-07-11,2024-07-11 14:30:00+0200,Core Inflation Rate,9.500000000000064,UP,1.08715,1.0881,121,120,9.500000000000064,0.0,0.0
2024-06-12,2024-06-12 14:30:00+0200,Core Inflation Rate,10.000000000001119,UP,1.08425,1.08525,121,120,10.00000000000112,-1.7763568394002505e-15,-1.7763568394000514e-14
2024-05-15,2024-05-15 14:30:00+0200,Core Inflation Rate,26.300000000001322,UP,1.08482,1.08745,121,120,26.30000000000132,3.552713678800501e-15,1.3508417029659021e-14
2024-04-10,2024-04-10 14:30:00+0200,Core Inflation Rate,30.29999999999866,DOWN,1.07595,1.07292,121,120,25.999999999999357,4.299999999999304,16.538461538459273
2024-03-12,2024-03-12 13:30:00+0100,Core Inflation Rate,6.900000000000794,DOWN,1.09145,1.09076,121,120,6.900000000000794,0.0,0.0
2024-02-13,2024-02-13 14:30:00+0100,Core Inflation Rate,9.999999999998899,DOWN,1.07225,1.07125,121,120,9.5999999999985,0.40000000000039826,4.166666666671466
2024-02-09,2024-02-09 14:30:00+0100,Core Inflation Rate,6.500000000000394,DOWN,1.07859,1.07794,121,120,5.999999999999339,0.5000000000010552,8.333333333351838
2024-01-11,2024-01-11 14:30:00+0100,Core Inflation Rate,15.399999999998748,UP,1.09477,1.09631,121,120,15.399999999998748,0.0,0.0
2023-12-12,2023-12-12 14:30:00+0100,Core Inflation Rate,8.300000000001084,UP,1.07876,1.07959,121,120,8.099999999999774,0.20000000000131024,2.4691358024853804
2023-11-14,2023-11-14 14:30:00+0100,Core Inflation Rate,25.999999999999357,UP,1.08382,1.08642,121,120,25.999999999999357,0.0,0.0
2023-10-12,2023-10-12 14:30:00+0200,Core Inflation Rate,8.20000000000043,DOWN,1.05528,1.05446,121,120,8.20000000000043,0.0,0.0
2023-09-13,2023-09-13 14:30:00+0200,Core Inflation Rate,14.499999999999513,UP,1.07315,1.0746,118,120,13.499999999999623,0.9999999999998899,7.407407407406798
2023-08-10,2023-08-10 14:30:00+0200,Core Inflation Rate,19.800000000000928,DOWN,1.10285,1.10087,121,120,19.800000000000928,0.0,0.0
2023-07-12,2023-07-12 14:30:00+0200,Inflation Rate,31.399999999999206,UP,1.11,1.11314,121,120,7.399999999999629,23.999999999999577,324.32432432433484
2023-06-13,2023-06-13 14:30:00+0200,Core Inflation Rate,14.400000000001079,UP,1.07947,1.08091,121,120,14.40000000000108,-1.7763568394002505e-15,-1.2335811384723036e-14
2023-06-13,2023-06-13 14:30:00+0200,Core Inflation Rate,14.400000000001079,UP,1.07947,1.08091,121,120,9.700000000001374,4.699999999999704,48.45360824741277
2023-06-13,2023-06-13 14:30:00+0200,Core Inflation Rate,14.400000000001079,UP,1.07947,1.08091,121,120,14.40000000000108,-1.7763568394002505e-15,-1.2335811384723036e-14
2023-06-13,2023-06-13 14:30:00+0200,Core Inflation Rate,14.400000000001079,UP,1.07947,1.08091,121,120,9.700000000001374,4.699999999999704,48.45360824741277
