year,date,time,datetime,price_start,price_peak,impact_pips,duration_min,direction
2024,2024-01-05,12:31,2024-01-05 12:31:00+01:00,1.08779,1.09495,71.6,59.0,1
2024,2024-01-31,18:47,2024-01-31 18:47:00+01:00,1.08633,1.07956,-67.7,46.0,-1
2024,2024-02-02,12:16,2024-02-02 12:16:00+01:00,1.08856,1.07953,-90.3,47.0,-1
2024,2024-02-13,12:28,2024-02-13 12:28:00+01:00,1.07943,1.07019,-92.4,37.0,-1
2024,2024-04-10,12:29,2024-04-10 12:29:00+02:00,1.08643,1.07636,-100.7,44.0,-1
2024,2024-05-03,12:09,2024-05-03 12:09:00+02:00,1.07444,1.08089,64.5,30.0,1
2024,2024-06-07,12:29,2024-06-07 12:29:00+02:00,1.08986,1.08229,-75.7,34.0,-1
2024,2024-06-12,12:29,2024-06-12 12:29:00+02:00,1.0767,1.08354,68.4,60.0,1
2024,2024-08-02,12:22,2024-08-02 12:22:00+02:00,1.083,1.08999,69.9,56.0,1
2024,2024-08-23,13:45,2024-08-23 13:45:00+02:00,1.11074,1.11831,75.7,49.0,1
2024,2024-09-06,12:50,2024-09-06 12:50:00+02:00,1.11332,1.10669,-66.3,59.0,-1
2024,2024-09-18,18:56,2024-09-18 18:56:00+02:00,1.11647,1.10976,-67.1,54.0,-1
2024,2024-10-04,12:29,2024-10-04 12:29:00+02:00,1.10328,1.09597,-73.1,27.0,-1
2024,2024-11-05,22:56,2024-11-05 22:56:00+01:00,1.09369,1.08337,-103.2,50.0,-1
2024,2024-11-06,01:02,2024-11-06 01:02:00+01:00,1.0834,1.07485,-85.5,60.0,-1
2024,2024-11-13,13:12,2024-11-13 13:12:00+01:00,1.06345,1.05585,-76.0,55.0,-1
2024,2024-11-22,07:14,2024-11-22 07:14:00+01:00,1.04968,1.03401,-156.7,60.0,-1
2024,2024-11-25,22:19,2024-11-25 22:19:00+01:00,1.04987,1.04265,-72.2,56.0,-1
2024,2024-12-18,17:49,2024-12-18 17:49:00+01:00,1.04884,1.03756,-112.8,60.0,-1
2024,2024-12-30,12:01,2024-12-30 12:01:00+01:00,1.04519,1.03809,-71.0,60.0,-1
2025,2025-01-06,10:03,2025-01-06 10:03:00+01:00,1.0334,1.04299,95.9,30.0,1
2025,2025-01-10,12:19,2025-01-10 12:19:00+01:00,1.03118,1.02242,-87.6,15.0,-1
2025,2025-01-20,12:22,2025-01-20 12:22:00+01:00,1.03132,1.04047,91.5,41.0,1
2025,2025-04-02,20:21,2025-04-02 20:21:00+02:00,1.09125,1.08154,-97.1,25.0,-1
2025,2025-04-03,09:26,2025-04-03 09:26:00+02:00,1.10222,1.11249,102.7,47.0,1
2025,2025-04-04,07:11,2025-04-04 07:11:00+02:00,1.10657,1.09782,-87.5,49.0,-1
2025,2025-04-04,10:06,2025-04-04 10:06:00+02:00,1.09651,1.10499,84.8,60.0,1
2025,2025-04-06,21:25,2025-04-06 21:25:00+02:00,1.08867,1.09918,105.1,58.0,1
2025,2025-04-09,17:20,2025-04-09 17:20:00+02:00,1.10606,1.09173,-143.3,58.0,-1
2025,2025-04-10,14:46,2025-04-10 14:46:00+02:00,1.11406,1.12255,84.9,56.0,1
2025,2025-04-10,23:44,2025-04-10 23:44:00+02:00,1.12263,1.13719,145.6,48.0,1
2025,2025-04-11,07:50,2025-04-11 07:50:00+02:00,1.13473,1.14718,124.5,60.0,1
2025,2025-04-11,09:50,2025-04-11 09:50:00+02:00,1.14165,1.13313,-85.2,53.0,-1
2025,2025-04-22,21:27,2025-04-22 21:27:00+02:00,1.14182,1.13216,-96.6,60.0,-1
2025,2025-05-12,06:56,2025-05-12 06:56:00+02:00,1.12217,1.10995,-122.2,57.0,-1
2025,2025-07-16,14:39,2025-07-16 14:39:00+02:00,1.15642,1.17216,157.4,51.0,1
2025,2025-07-30,18:35,2025-07-30 18:35:00+02:00,1.15025,1.14169,-85.6,30.0,-1
2025,2025-08-01,12:26,2025-08-01 12:26:00+02:00,1.13925,1.15687,176.2,60.0,1
2025,2025-08-22,13:58,2025-08-22 13:58:00+02:00,1.15982,1.17188,120.6,60.0,1
2025,2025-09-17,18:08,2025-09-17 18:08:00+02:00,1.19119,1.18216,-90.3,46.0,-1
