ts_utc,event_title,country,tranche,surprise_pct,empirical_score,amplification_factor,impact_v87,impact_v871,impact_reel,direction_reelle,ecart_pct_v87,ecart_pct_v871,amelioration_pct
2025-04-23 15:45:00+02:00,S&P Global Manufacturing PMI,US,0-5%,3.26,71.84,1.0,17.45,17.45,52.3,DOWN,66.6,66.6,0.0
2025-07-24 10:30:00+02:00,S&P Global Manufacturing PMI,GB,0-5%,0.42,55.0,1.0,12.1,12.1,9.8,DOWN,23.5,23.5,0.0
2024-03-01 11:00:00+01:00,Inflation Rate,EU,0-5%,4.0,57.93,1.0,13.03,13.03,20.5,DOWN,36.4,36.4,0.0
2024-12-11 14:30:00+01:00,Inflation Rate,US,0-5%,0.0,81.7,1.0,20.58,20.58,22.4,UP,8.1,8.1,0.0
2025-08-01 14:30:00+02:00,Unemployment Rate,US,0-5%,0.0,86.4,1.0,22.07,22.07,118.9,UP,81.4,81.4,0.0
2023-01-04 09:50:00+01:00,S&P Global Composite PMI,FR,0-5%,2.29,69.75,1.0,16.79,16.79,12.5,UP,34.3,34.3,0.0
2023-10-02 10:30:00+02:00,S&P Global/CIPS Manufacturing PMI,GB,0-5%,0.23,58.29,1.0,13.15,13.15,18.5,DOWN,28.9,28.9,0.0
2024-09-23 10:00:00+02:00,HCOB Composite PMI,EU,0-5%,3.36,63.94,1.0,14.94,14.94,17.32,DOWN,13.7,13.7,0.0
2025-04-01 09:50:00+02:00,HCOB Manufacturing PMI,FR,0-5%,0.82,66.24,1.0,15.67,15.67,14.3,UP,9.6,9.6,0.0
2023-06-13 14:30:00+02:00,Inflation Rate,US,0-5%,2.44,81.7,1.0,20.58,20.58,18.7,DOWN,10.1,10.1,0.0
2024-04-24 03:30:00+02:00,RBA Weighted Median CPI,AU,5-10%,7.32,36.48,1.93,6.22,11.98,3.8,DOWN,63.7,215.4,-151.7
2025-02-21 09:15:00+01:00,HCOB Services PMI,FR,5-10%,9.0,68.83,2.6,16.49,42.87,11.7,UP,41.0,266.4,-225.4
2023-05-05 12:30:00+02:00,Inflation Rate,CH,5-10%,7.14,57.48,1.86,12.89,23.94,9.3,DOWN,38.6,157.4,-118.8
2024-07-17 00:45:00+02:00,Inflation Rate,NZ,5-10%,5.71,32.27,1.29,4.88,6.28,2.4,UP,103.4,161.6,-58.1
2024-02-22 09:15:00+01:00,HCOB Manufacturing PMI,FR,5-10%,7.59,66.24,2.03,15.67,31.88,20.1,DOWN,22.0,58.6,-36.6
2023-04-28 15:00:00+02:00,GDP Growth Rate,EU,5-10%,7.14,51.44,1.86,10.97,20.37,30.6,UP,64.1,33.4,30.7
2024-07-31 11:00:00+02:00,Inflation Rate,EU,5-10%,8.33,57.93,2.33,13.03,30.41,3.85,UP,238.5,689.8,-451.3
2025-06-03 11:00:00+02:00,Core Inflation Rate,EU,5-10%,8.0,56.98,2.2,12.73,28.01,7.4,UP,72.0,278.5,-206.4
2023-03-24 13:30:00+01:00,S&P Global Services PMI,DE,5-10%,5.69,69.19,1.27,16.61,21.17,21.9,UP,24.2,3.3,20.8
2022-10-04 05:30:00+02:00,RBA Interest Rate Decision,AU,5-10%,8.77,41.43,2.51,7.79,19.55,17.6,UP,55.7,11.1,44.7
2022-10-28 15:00:00+02:00,Harmonised Inflation Rate,IT,10-50%,29.29,57.88,9.02,13.02,117.41,14.5,UP,10.2,709.7,-699.5
2023-03-10 19:30:00+01:00,Nonfarm Payrolls Private,US,10-50%,26.19,85.72,8.69,21.86,189.92,15.3,DOWN,42.9,1141.3,-1098.4
2024-04-30 10:00:00+02:00,GDP Growth Rate YoY Adv,IT,10-50%,50.0,61.96,10.43,14.31,149.23,10.1,DOWN,41.7,1377.6,-1335.9
2023-09-29 08:00:00+02:00,GDP Growth Rate,GB,10-50%,50.0,55.37,10.43,12.22,127.41,13.1,UP,6.7,872.6,-865.9
2024-08-16 08:00:00+02:00,Retail Sales ex Fuel,GB,10-50%,12.5,49.93,5.51,10.49,57.76,3.15,DOWN,233.1,1733.6,-1500.6
2025-01-30 14:30:00+01:00,GDP Growth Rate,US,10-50%,11.54,79.91,4.86,20.01,97.33,54.9,UP,63.5,77.3,-13.7
2023-07-27 14:30:00+02:00,GDP Growth Rate QoQ Adv,US,10-50%,33.33,79.55,9.38,19.9,186.72,61.8,DOWN,67.8,202.1,-134.3
2025-03-17 13:30:00+01:00,Retail Sales,US,10-50%,11.43,78.48,4.77,19.56,93.39,13.3,DOWN,47.1,602.1,-555.1
2022-09-16 08:00:00+02:00,Retail Sales,GB,10-50%,28.57,50.25,8.95,10.59,94.79,14.9,UP,28.9,536.2,-507.2
2023-09-01 10:00:00+02:00,GDP Growth Rate,IT,10-50%,33.33,59.12,9.38,13.41,125.84,5.8,DOWN,131.2,2069.6,-1938.4
